Date,Price,Open,High,Low,Vol.,Change %
2019-01-04,41056.0,41056.0,41056.0,41056.0,,241.0
2019-01-05,37467.0,37467.0,37467.0,37467.0,,267.0
2019-01-06,39261.5,39261.5,39261.5,39261.5,,254.0
2019-01-07,35033.0,35033.0,35033.0,35033.0,,278.0
2019-01-08,31000.0,31000.0,31000.0,31000.0,,78.0
2019-01-09,36139.0,36139.0,36139.0,36139.0,,216.0
2019-01-10,29050.0,29050.0,29050.0,29050.0,,148.0
2019-01-11,28500.0,28500.0,28500.0,28500.0,,112.0
2019-01-12,30895.75,30895.75,30895.75,30895.75,,154.0
2019-01-13,30895.75,30895.75,30895.75,30895.75,,154.0
2019-01-14,29516.666666666668,29516.666666666668,29516.666666666668,29516.666666666668,,112.66666666666667
2019-01-15,28775.0,28775.0,28775.0,28775.0,,130.0
2019-01-16,28775.0,28775.0,28775.0,28775.0,,130.0
2019-01-17,28500.0,28500.0,28500.0,28500.0,,112.0
2019-01-18,,,,,,
2019-01-19,,,,,,
2019-01-20,,,,,,
2019-01-21,,,,,,
2019-01-22,,,,,,
2019-01-23,,,,,,
2019-01-24,,,,,,
2019-01-25,,,,,,
2019-01-26,,,,,,
2019-01-27,,,,,,
2019-01-28,,,,,,
2019-01-29,,,,,,
2019-01-30,,,,,,
2019-01-31,,,,,,
2019-02-01,,,,,,
2019-02-02,,,,,,
2019-02-03,,,,,,
2019-02-04,41280.0,41280.0,41280.0,41280.0,,55.0
2019-02-05,36400.0,36400.0,36400.0,36400.0,,285.0
2019-02-06,38840.0,38840.0,38840.0,38840.0,,170.0
2019-02-07,33600.0,33600.0,33600.0,33600.0,,409.0
2019-02-08,30800.0,30800.0,30800.0,30800.0,,65.0
2019-02-09,29900.0,29900.0,29900.0,29900.0,,14.0
2019-02-10,29025.0,29025.0,29025.0,29025.0,,9.0
2019-02-11,31945.0,31945.0,31945.0,31945.0,,156.4
2019-02-12,27900.0,27900.0,27900.0,27900.0,,17.0
2019-02-13,30245.0,30245.0,30245.0,30245.0,,102.8
2019-02-14,29406.25,29406.25,29406.25,29406.25,,26.25
2019-02-15,28941.666666666668,28941.666666666668,28941.666666666668,28941.666666666668,,13.333333333333334
2019-02-16,28462.5,28462.5,28462.5,28462.5,,13.0
2019-02-17,27900.0,27900.0,27900.0,27900.0,,17.0
2019-02-18,27900.0,27900.0,27900.0,27900.0,,17.0
2019-02-19,,,,,,
2019-02-20,,,,,,
2019-02-21,,,,,,
2019-02-22,,,,,,
2019-02-23,,,,,,
2019-02-24,,,,,,
2019-02-25,,,,,,
2019-02-26,,,,,,
2019-02-27,,,,,,
2019-02-28,,,,,,
2019-03-01,,,,,,
2019-03-02,,,,,,
2019-03-03,,,,,,
2019-03-04,41280.0,41280.0,41280.0,41280.0,,0.0
2019-03-05,35400.0,35400.0,35400.0,35400.0,,275.0
2019-03-06,38392.0,38392.0,38392.0,38392.0,,737.0
2019-03-07,32200.0,32200.0,32200.0,32200.0,,417.0
2019-03-08,36818.0,36818.0,36818.0,36818.0,,357.25
2019-03-09,29900.0,29900.0,29900.0,29900.0,,0.0
2019-03-10,29025.0,29025.0,29025.0,29025.0,,0.0
2019-03-11,32983.4,32983.4,32983.4,32983.4,,285.8
2019-03-12,27900.0,27900.0,27900.0,27900.0,,0.0
2019-03-13,39083.0,39083.0,39083.0,39083.0,,0.0
2019-03-14,39163.0,39163.0,39163.0,39163.0,,20.0
2019-03-15,39163.0,39163.0,39163.0,39163.0,,0.0
2019-03-16,34866.8,34866.8,34866.8,34866.8,,4.0
2019-03-17,36327.25,36327.25,36327.25,36327.25,,5.0
2019-03-18,39833.0,39833.0,39833.0,39833.0,,171.0
2019-03-19,39833.0,39833.0,39833.0,39833.0,,0.0
2019-03-20,39833.0,39833.0,39833.0,39833.0,,0.0
2019-03-21,40000.0,40000.0,40000.0,40000.0,,42.0
2019-03-22,40000.0,40000.0,40000.0,40000.0,,0.0
2019-03-23,39899.8,39899.8,39899.8,39899.8,,42.6
2019-03-24,39899.8,39899.8,39899.8,39899.8,,42.6
2019-03-25,40000.0,40000.0,40000.0,40000.0,,0.0
2019-03-26,40000.0,40000.0,40000.0,40000.0,,0.0
2019-03-27,40000.0,40000.0,40000.0,40000.0,,0.0
2019-03-28,39800.0,39800.0,39800.0,39800.0,,50.0
2019-03-29,40089.0,40089.0,40089.0,40089.0,,73.0
2019-03-30,39977.8,39977.8,39977.8,39977.8,,24.6
2019-03-31,39977.8,39977.8,39977.8,39977.8,,24.6
2019-04-01,39972.25,39972.25,39972.25,39972.25,,30.75
2019-04-02,39963.0,39963.0,39963.0,39963.0,,41.0
2019-04-03,39944.5,39944.5,39944.5,39944.5,,61.5
2019-04-04,41280.0,41280.0,41280.0,41280.0,,0.0
2019-04-05,41280.0,41280.0,41280.0,41280.0,,0.0
2019-04-06,38392.0,38392.0,38392.0,38392.0,,0.0
2019-04-07,32200.0,32200.0,32200.0,32200.0,,0.0
2019-04-08,37290.666666666664,37290.666666666664,37290.666666666664,37290.666666666664,,0.0
2019-04-09,29900.0,29900.0,29900.0,29900.0,,0.0
2019-04-10,29025.0,29025.0,29025.0,29025.0,,0.0
2019-04-11,28500.0,28500.0,28500.0,28500.0,,0.0
2019-04-12,27900.0,27900.0,27900.0,27900.0,,0.0
2019-04-13,29505.0,29505.0,29505.0,29505.0,,0.0
2019-04-14,28831.25,28831.25,28831.25,28831.25,,0.0
2019-04-15,40405.0,40405.0,40405.0,40405.0,,121.0
2019-04-16,39283.0,39283.0,39283.0,39283.0,,278.0
2019-04-17,39275.0,39275.0,39275.0,39275.0,,2.0
2019-04-18,39275.0,39275.0,39275.0,39275.0,,0.0
2019-04-19,39559.5,39559.5,39559.5,39559.5,,100.25
2019-04-20,39559.5,39559.5,39559.5,39559.5,,100.25
2019-04-21,39559.5,39559.5,39559.5,39559.5,,100.25
2019-04-22,39277.666666666664,39277.666666666664,39277.666666666664,39277.666666666664,,93.33333333333333
2019-04-23,39275.0,39275.0,39275.0,39275.0,,0.0
2019-04-24,39200.0,39200.0,39200.0,39200.0,,19.0
2019-04-25,39000.0,39000.0,39000.0,39000.0,,51.0
2019-04-26,38825.0,38825.0,38825.0,38825.0,,45.0
2019-04-27,39075.0,39075.0,39075.0,39075.0,,28.75
2019-04-28,39075.0,39075.0,39075.0,39075.0,,28.75
2019-04-29,38600.0,38600.0,38600.0,38600.0,,58.0
2019-04-30,38495.0,38495.0,38495.0,38495.0,,27.0
2019-05-01,38730.0,38730.0,38730.0,38730.0,,45.25
2019-05-02,38640.0,38640.0,38640.0,38640.0,,43.333333333333336
2019-05-03,38547.5,38547.5,38547.5,38547.5,,42.5
2019-05-04,41500.0,41500.0,41500.0,41500.0,,53.0
