Date,Price,Open,High,Low,Vol.,Change %
2014-06-16,1840.25,1840.25,1840.25,1840.25,19.29,0.34
2014-06-17,1852.0,1852.0,1852.0,1852.0,45.55,0.64
2014-06-18,1874.5,1874.5,1874.5,1874.5,26.12,1.21
2014-06-19,1890.5,1890.5,1890.5,1890.5,26.66,0.85
2014-06-20,1888.5,1888.5,1888.5,1888.5,18.51,0.11
2014-06-21,1869.15,1869.15,1869.15,1869.15,27.226,0.63
2014-06-22,1869.15,1869.15,1869.15,1869.15,27.226,0.63
2014-06-23,1892.5,1892.5,1892.5,1892.5,22.22,0.21
2014-06-24,1901.0,1901.0,1901.0,1901.0,37.67,0.45
2014-06-25,1903.5,1903.5,1903.5,1903.5,31.27,0.13
2014-06-26,1898.0,1898.0,1898.0,1898.0,20.2,0.29
2014-06-27,1885.0,1885.0,1885.0,1885.0,20.93,0.68
2014-06-28,1896.0,1896.0,1896.0,1896.0,26.458,0.352
2014-06-29,1896.0,1896.0,1896.0,1896.0,26.458,0.352
2014-06-30,1890.75,1890.75,1890.75,1890.75,21.54,0.31
2014-07-01,1884.5,1884.5,1884.5,1884.5,39.69,0.33
2014-07-02,1926.0,1926.0,1926.0,1926.0,45.56,2.2
2014-07-03,1936.0,1936.0,1936.0,1936.0,30.87,0.52
2014-07-04,1921.5,1921.5,1921.5,1921.5,12.31,0.75
2014-07-05,1911.75,1911.75,1911.75,1911.75,29.994,0.8220000000000001
2014-07-06,1911.75,1911.75,1911.75,1911.75,29.994,0.8220000000000001
2014-07-07,1919.5,1919.5,1919.5,1919.5,24.45,0.1
2014-07-08,1938.0,1938.0,1938.0,1938.0,51.28,0.96
2014-07-09,1937.75,1937.75,1937.75,1937.75,27.04,0.01
2014-07-10,1922.25,1922.25,1922.25,1922.25,36.71,0.8
2014-07-11,1939.0,1939.0,1939.0,1939.0,32.13,0.87
2014-07-12,1931.3,1931.3,1931.3,1931.3,34.322,0.548
2014-07-13,1931.3,1931.3,1931.3,1931.3,34.322,0.548
2014-07-14,1938.5,1938.5,1938.5,1938.5,40.9,0.03
2014-07-15,1960.0,1960.0,1960.0,1960.0,42.6,1.11
2014-07-16,1970.5,1970.5,1970.5,1970.5,25.15,0.54
2014-07-17,1990.0,1990.0,1990.0,1990.0,9.67,0.99
2014-07-18,1982.75,1982.75,1982.75,1982.75,14.56,0.36
2014-07-19,1968.35,1968.35,1968.35,1968.35,26.576,0.606
2014-07-20,1968.35,1968.35,1968.35,1968.35,26.576,0.606
2014-07-21,2021.0,2021.0,2021.0,2021.0,7.58,1.93
2014-07-22,2044.5,2044.5,2044.5,2044.5,8.86,1.16
2014-07-23,2017.25,2017.25,2017.25,2017.25,11.75,1.33
2014-07-24,2027.0,2027.0,2027.0,2027.0,12.66,0.48
2014-07-25,1998.0,1998.0,1998.0,1998.0,9.07,1.43
2014-07-26,2021.55,2021.55,2021.55,2021.55,9.983999999999998,1.266
2014-07-27,2021.55,2021.55,2021.55,2021.55,9.983999999999998,1.266
2014-07-28,2015.0,2015.0,2015.0,2015.0,9.87,0.85
2014-07-29,1981.25,1981.25,1981.25,1981.25,9.28,1.67
2014-07-30,2021.0,2021.0,2021.0,2021.0,11.09,2.01
2014-07-31,1988.5,1988.5,1988.5,1988.5,23.41,1.61
2014-08-01,1973.5,1973.5,1973.5,1973.5,17.33,0.75
2014-08-02,1995.85,1995.85,1995.85,1995.85,14.195999999999998,1.378
2014-08-03,1995.85,1995.85,1995.85,1995.85,14.195999999999998,1.378
2014-08-04,2025.0,2025.0,2025.0,2025.0,38.84,2.61
2014-08-05,2008.0,2008.0,2008.0,2008.0,61.81,0.84
2014-08-06,2020.0,2020.0,2020.0,2020.0,18.32,0.6
2014-08-07,2022.5,2022.5,2022.5,2022.5,56.78,0.12
2014-08-08,2020.25,2020.25,2020.25,2020.25,23.68,0.11
2014-08-09,2019.15,2019.15,2019.15,2019.15,39.886,0.8560000000000001
2014-08-10,2019.15,2019.15,2019.15,2019.15,39.886,0.8560000000000001
2014-08-11,2026.75,2026.75,2026.75,2026.75,26.45,0.32
2014-08-12,2044.25,2044.25,2044.25,2044.25,34.16,0.86
2014-08-13,2017.5,2017.5,2017.5,2017.5,22.99,1.31
2014-08-14,1988.75,1988.75,1988.75,1988.75,14.36,1.43
2014-08-15,1992.0,1992.0,1992.0,1992.0,14.63,0.16
2014-08-16,2013.85,2013.85,2013.85,2013.85,22.517999999999997,0.8160000000000001
2014-08-17,2013.85,2013.85,2013.85,2013.85,22.517999999999997,0.8160000000000001
2014-08-18,2009.75,2009.75,2009.75,2009.75,18.5,0.89
2014-08-19,2039.0,2039.0,2039.0,2039.0,51.35,1.46
2014-08-20,2077.0,2077.0,2077.0,2077.0,19.47,1.86
2014-08-21,2060.25,2060.25,2060.25,2060.25,11.54,0.81
2014-08-22,2064.75,2064.75,2064.75,2064.75,14.76,0.22
2014-08-23,2050.15,2050.15,2050.15,2050.15,23.124,1.048
2014-08-24,2050.15,2050.15,2050.15,2050.15,23.124,1.048
2014-08-25,2060.25,2060.25,2060.25,2060.25,24.28,1.0875
2014-08-26,2083.5,2083.5,2083.5,2083.5,13.01,0.91
2014-08-27,2087.25,2087.25,2087.25,2087.25,23.51,0.18
2014-08-28,2083.5,2083.5,2083.5,2083.5,17.69,0.18
2014-08-29,2098.5,2098.5,2098.5,2098.5,26.51,0.72
2014-08-30,2088.1875,2088.1875,2088.1875,2088.1875,20.18,0.4975
2014-08-31,2088.1875,2088.1875,2088.1875,2088.1875,20.18,0.4975
2014-09-01,2096.0,2096.0,2096.0,2096.0,16.09,0.12
2014-09-02,2107.25,2107.25,2107.25,2107.25,22.17,0.54
2014-09-03,2078.5,2078.5,2078.5,2078.5,27.76,1.36
2014-09-04,2104.5,2104.5,2104.5,2104.5,24.3,1.25
2014-09-05,2090.25,2090.25,2090.25,2090.25,45.93,0.68
2014-09-06,2095.3,2095.3,2095.3,2095.3,27.25,0.79
2014-09-07,2095.3,2095.3,2095.3,2095.3,27.25,0.79
2014-09-08,2092.75,2092.75,2092.75,2092.75,28.17,0.12
2014-09-09,2063.5,2063.5,2063.5,2063.5,29.03,1.4
2014-09-10,2053.0,2053.0,2053.0,2053.0,26.57,0.51
2014-09-11,2034.0,2034.0,2034.0,2034.0,89.08,0.93
2014-09-12,2022.5,2022.5,2022.5,2022.5,46.03,0.57
2014-09-13,2053.15,2053.15,2053.15,2053.15,43.776,0.7060000000000001
2014-09-14,2053.15,2053.15,2053.15,2053.15,43.776,0.7060000000000001
2014-09-15,1982.75,1982.75,1982.75,1982.75,31.56,1.97
2014-09-16,2025.5,2025.5,2025.5,2025.5,50.91,2.16
2014-09-17,1999.0,1999.0,1999.0,1999.0,68.13,1.31
2014-09-18,1982.5,1982.5,1982.5,1982.5,28.55,0.83
2014-09-19,1977.0,1977.0,1977.0,1977.0,23.4,0.28
2014-09-20,1993.35,1993.35,1993.35,1993.35,40.51,1.31
2014-09-21,1993.35,1993.35,1993.35,1993.35,40.51,1.31
2014-09-22,1976.75,1976.75,1976.75,1976.75,23.73,0.01
2014-09-23,1966.5,1966.5,1966.5,1966.5,19.36,0.52
2014-09-24,1974.5,1974.5,1974.5,1974.5,18.45,0.41
2014-09-25,1950.25,1950.25,1950.25,1950.25,18.26,1.23
2014-09-26,1946.0,1946.0,1946.0,1946.0,19.67,0.22
2014-09-27,1962.8,1962.8,1962.8,1962.8,19.894,0.47800000000000004
2014-09-28,1962.8,1962.8,1962.8,1962.8,19.894,0.47800000000000004
2014-09-29,1961.25,1961.25,1961.25,1961.25,16.23,0.78
2014-09-30,1958.25,1958.25,1958.25,1958.25,29.19,0.15
2014-10-01,1918.25,1918.25,1918.25,1918.25,44.49,2.04
2014-10-02,1887.25,1887.25,1887.25,1887.25,41.87,1.62
2014-10-03,1912.0,1912.0,1912.0,1912.0,43.35,1.31
2014-10-04,1927.4,1927.4,1927.4,1927.4,35.025999999999996,1.1800000000000002
2014-10-05,1927.4,1927.4,1927.4,1927.4,35.025999999999996,1.1800000000000002
2014-10-06,1927.5,1927.5,1927.5,1927.5,33.68,0.81
2014-10-07,1953.0,1953.0,1953.0,1953.0,60.14,1.32
2014-10-08,1937.75,1937.75,1937.75,1937.75,48.02,0.78
2014-10-09,1949.0,1949.0,1949.0,1949.0,36.26,0.58
2014-10-10,1929.5,1929.5,1929.5,1929.5,40.25,1.0
2014-10-11,1939.35,1939.35,1939.35,1939.35,43.67,0.898
2014-10-12,1939.35,1939.35,1939.35,1939.35,43.67,0.898
2014-10-13,1943.5,1943.5,1943.5,1943.5,39.13,0.73
2014-10-14,1951.0,1951.0,1951.0,1951.0,18.81,0.39
2014-10-15,1919.5,1919.5,1919.5,1919.5,20.95,1.61
2014-10-16,1912.5,1912.5,1912.5,1912.5,14.38,0.36
2014-10-17,1971.0,1971.0,1971.0,1971.0,32.99,3.06
2014-10-18,1939.5,1939.5,1939.5,1939.5,25.252000000000002,1.23
2014-10-19,1939.5,1939.5,1939.5,1939.5,25.252000000000002,1.23
2014-10-20,1971.5,1971.5,1971.5,1971.5,17.87,0.03
2014-10-21,1991.0,1991.0,1991.0,1991.0,71.72,0.99
2014-10-22,2016.0,2016.0,2016.0,2016.0,34.01,1.26
2014-10-23,1991.0,1991.0,1991.0,1991.0,15.51,1.24
2014-10-24,1969.0,1969.0,1969.0,1969.0,19.96,1.1
2014-10-25,1987.7,1987.7,1987.7,1987.7,31.814000000000004,0.924
2014-10-26,1987.7,1987.7,1987.7,1987.7,31.814000000000004,0.924
2014-10-27,1984.5,1984.5,1984.5,1984.5,15.24,0.79
2014-10-28,1998.5,1998.5,1998.5,1998.5,11.55,0.71
2014-10-29,2035.0,2035.0,2035.0,2035.0,19.18,1.83
2014-10-30,2035.0,2035.0,2035.0,2035.0,27.75,0.0
2014-10-31,2047.0,2047.0,2047.0,2047.0,37.72,0.59
2014-11-01,2020.0,2020.0,2020.0,2020.0,22.288,0.784
2014-11-02,2020.0,2020.0,2020.0,2020.0,22.288,0.784
2014-11-03,2077.0,2077.0,2077.0,2077.0,43.51,1.47
