Date,Price,Open,High,Low,Vol.,Change %
2012-01-03,1624.0,1624.0,1624.0,1624.0,,6.56
2012-01-04,1552.0,1552.0,1552.0,1552.0,,4.43
2012-01-05,1426.0,1426.0,1426.0,1426.0,,8.12
2012-01-06,1347.0,1347.0,1347.0,1347.0,,5.54
2012-01-07,1487.25,1487.25,1487.25,1487.25,,6.1625
2012-01-08,1487.25,1487.25,1487.25,1487.25,,6.1625
2012-01-09,1308.0,1308.0,1308.0,1308.0,,2.9
2012-01-10,1258.0,1258.0,1258.0,1258.0,,3.82
2012-01-11,1193.0,1193.0,1193.0,1193.0,,5.17
2012-01-12,1105.0,1105.0,1105.0,1105.0,,7.38
2012-01-13,1053.0,1053.0,1053.0,1053.0,,4.71
2012-01-14,1183.4,1183.4,1183.4,1183.4,,4.796
2012-01-15,1183.4,1183.4,1183.4,1183.4,,4.796
2012-01-16,1013.0,1013.0,1013.0,1013.0,,3.8
2012-01-17,974.0,974.0,974.0,974.0,,3.85
2012-01-18,926.0,926.0,926.0,926.0,,4.93
2012-01-19,893.0,893.0,893.0,893.0,,3.56
2012-01-20,862.0,862.0,862.0,862.0,,3.47
2012-01-21,933.6,933.6,933.6,933.6,,3.9219999999999997
2012-01-22,933.6,933.6,933.6,933.6,,3.9219999999999997
2012-01-23,841.0,841.0,841.0,841.0,,2.44
2012-01-24,807.0,807.0,807.0,807.0,,4.04
2012-01-25,784.0,784.0,784.0,784.0,,2.85
2012-01-26,753.0,753.0,753.0,753.0,,3.95
2012-01-27,726.0,753.0,753.0,726.0,,3.59
2012-01-28,782.2,787.6,787.6,782.2,,3.374
2012-01-29,782.2,787.6,787.6,782.2,,3.374
2012-01-30,702.0,702.0,702.0,702.0,,3.31
2012-01-31,680.0,680.0,680.0,680.0,,3.13
2012-02-01,662.0,662.0,662.0,662.0,,2.65
2012-02-02,651.0,651.0,651.0,651.0,,1.66
2012-02-03,647.0,647.0,647.0,647.0,,0.61
2012-02-04,668.4,668.4,668.4,668.4,,2.272
2012-02-05,668.4,668.4,668.4,668.4,,2.272
2012-02-06,648.0,648.0,648.0,648.0,,0.15
2012-02-07,660.0,660.0,660.0,660.0,,1.85
2012-02-08,676.0,676.0,676.0,676.0,,2.42
2012-02-09,695.0,695.0,695.0,695.0,,2.81
2012-02-10,715.0,715.0,715.0,715.0,,2.88
2012-02-11,678.8,678.8,678.8,678.8,,2.022
2012-02-12,678.8,678.8,678.8,678.8,,2.022
2012-02-13,729.0,729.0,729.0,729.0,,1.96
2012-02-14,734.0,734.0,734.0,734.0,,0.69
2012-02-15,731.0,731.0,731.0,731.0,,0.41
2012-02-16,723.0,723.0,723.0,723.0,,1.09
2012-02-17,717.0,717.0,717.0,717.0,,0.83
2012-02-18,726.8,726.8,726.8,726.8,,0.9960000000000001
2012-02-19,726.8,726.8,726.8,726.8,,0.9960000000000001
2012-02-20,715.0,715.0,715.0,715.0,,0.28
2012-02-21,706.0,706.0,706.0,706.0,,1.26
2012-02-22,704.0,704.0,704.0,704.0,,0.28
2012-02-23,706.0,706.0,706.0,706.0,,0.28
2012-02-24,718.0,718.0,718.0,718.0,,1.7
2012-02-25,709.8,709.8,709.8,709.8,,0.76
2012-02-26,709.8,709.8,709.8,709.8,,0.76
2012-02-27,730.0,730.0,730.0,730.0,,1.67
2012-02-28,738.0,738.0,738.0,738.0,,1.1
2012-02-29,750.0,750.0,750.0,750.0,,1.63
2012-03-01,763.0,763.0,763.0,763.0,,1.73
2012-03-02,771.0,771.0,771.0,771.0,,1.05
2012-03-03,750.4,750.4,750.4,750.4,,1.436
2012-03-04,750.4,750.4,750.4,750.4,,1.436
2012-03-05,782.0,782.0,782.0,782.0,,1.43
2012-03-06,787.0,787.0,787.0,787.0,,0.64
2012-03-07,798.0,798.0,798.0,798.0,,1.4
2012-03-08,812.0,812.0,812.0,812.0,,1.75
2012-03-09,824.0,824.0,824.0,824.0,,1.48
2012-03-10,800.6,800.6,800.6,800.6,,1.3399999999999999
2012-03-11,800.6,800.6,800.6,800.6,,1.3399999999999999
2012-03-12,837.0,837.0,837.0,837.0,,1.58
2012-03-13,844.0,844.0,844.0,844.0,,0.84
2012-03-14,855.0,855.0,855.0,855.0,,1.3
2012-03-15,866.0,866.0,866.0,866.0,,1.29
2012-03-16,874.0,874.0,874.0,874.0,,0.92
2012-03-17,855.2,855.2,855.2,855.2,,1.1860000000000002
2012-03-18,855.2,855.2,855.2,855.2,,1.1860000000000002
2012-03-19,879.0,879.0,879.0,879.0,,0.57
2012-03-20,884.0,884.0,884.0,884.0,,0.57
2012-03-21,896.0,896.0,896.0,896.0,,1.36
2012-03-22,902.0,902.0,902.0,902.0,,0.67
2012-03-23,908.0,908.0,908.0,908.0,,0.67
2012-03-24,893.8,893.8,893.8,893.8,,0.768
2012-03-25,893.8,893.8,893.8,893.8,,0.768
2012-03-26,912.0,912.0,912.0,912.0,,0.44
2012-03-27,917.0,917.0,917.0,917.0,,0.55
2012-03-28,922.0,922.0,922.0,922.0,,0.55
2012-03-29,930.0,930.0,930.0,930.0,,0.87
2012-03-30,934.0,934.0,934.0,934.0,,0.43
2012-03-31,923.0,923.0,923.0,923.0,,0.5680000000000001
2012-04-01,923.0,923.0,923.0,923.0,,0.5680000000000001
2012-04-02,934.0,934.0,934.0,934.0,,0.0
2012-04-03,931.0,931.0,931.0,931.0,,0.32
2012-04-04,926.0,926.0,926.0,926.0,,0.54
2012-04-05,928.0,928.0,928.0,928.0,,0.22
2012-04-06,929.75,929.75,929.75,929.75,,0.27
2012-04-07,929.75,929.75,929.75,929.75,,0.27
2012-04-08,929.75,929.75,929.75,929.75,,0.27
2012-04-09,928.3333333333334,928.3333333333334,928.3333333333334,928.3333333333334,,0.36000000000000004
2012-04-10,928.0,928.0,928.0,928.0,,0.0
2012-04-11,944.0,944.0,944.0,944.0,,1.72
2012-04-12,960.0,960.0,960.0,960.0,,1.69
2012-04-13,972.0,972.0,972.0,972.0,,1.25
2012-04-14,951.0,951.0,951.0,951.0,,1.165
2012-04-15,951.0,951.0,951.0,951.0,,1.165
2012-04-16,975.0,975.0,975.0,975.0,,0.31
2012-04-17,989.0,989.0,989.0,989.0,,1.44
2012-04-18,1006.0,1006.0,1006.0,1006.0,,1.72
2012-04-19,1028.0,1028.0,1028.0,1028.0,,2.19
2012-04-20,1067.0,1067.0,1067.0,1067.0,,3.79
2012-04-21,1013.0,1013.0,1013.0,1013.0,,1.89
2012-04-22,1013.0,1013.0,1013.0,1013.0,,1.89
2012-04-23,1090.0,1090.0,1090.0,1090.0,,2.16
2012-04-24,1116.0,1116.0,1116.0,1116.0,,2.39
2012-04-25,1137.0,1137.0,1137.0,1137.0,,1.88
2012-04-26,1148.0,1148.0,1148.0,1148.0,,0.97
2012-04-27,1156.0,1156.0,1156.0,1156.0,,0.7
