Date,Price,Open,High,Low,Vol.,Change %
2016-01-04,4607.5,4715.5,4731.5,4591.5,11.56,1.72
2016-01-05,4645.0,4615.0,4678.5,4595.5,10.27,0.81
2016-01-06,4618.0,4628.5,4647.5,4592.5,10.48,0.58
2016-01-07,4485.5,4624.0,4636.0,4430.0,18.81,2.87
2016-01-08,4473.0,4487.5,4561.5,4472.0,13.66,0.28
2016-01-09,4565.8,4614.1,4651.0,4536.3,12.956,1.252
2016-01-10,4565.8,4614.1,4651.0,4536.3,12.956,1.252
2016-01-11,4384.0,4452.5,4461.5,4381.0,12.9,1.99
2016-01-12,4356.0,4392.0,4410.5,4350.0,11.38,0.64
2016-01-13,4357.0,4372.0,4408.5,4356.0,11.35,0.02
2016-01-14,4404.5,4367.0,4429.5,4330.0,12.46,1.09
2016-01-15,4330.5,4412.5,4413.0,4317.0,11.64,1.68
2016-01-16,4366.4,4399.2,4424.6,4346.8,11.946000000000002,1.084
2016-01-17,4366.4,4399.2,4424.6,4346.8,11.946000000000002,1.084
2016-01-18,4376.5,4345.0,4393.5,4330.0,10.41,1.06
2016-01-19,4397.0,4379.5,4474.0,4365.0,12.78,0.47
2016-01-20,4382.0,4398.0,4411.0,4347.5,11.33,0.34
2016-01-21,4436.5,4395.5,4440.5,4353.0,13.21,1.24
2016-01-22,4442.0,4439.5,4483.5,4417.0,11.69,0.12
2016-01-23,4406.8,4391.5,4440.5,4362.5,11.884,0.6460000000000001
2016-01-24,4406.8,4391.5,4440.5,4362.5,11.884,0.6460000000000001
2016-01-25,4431.5,4445.0,4471.0,4406.0,11.29,0.24
2016-01-26,4524.0,4419.0,4544.0,4408.0,13.08,2.09
2016-01-27,4577.0,4521.5,4594.5,4505.0,13.79,1.17
2016-01-28,4538.0,4561.5,4584.0,4515.0,13.44,0.85
2016-01-29,4568.0,4544.0,4579.0,4527.5,10.66,0.66
2016-01-30,4527.7,4498.2,4554.5,4472.3,12.452,1.002
2016-01-31,4527.7,4498.2,4554.5,4472.3,12.452,1.002
2016-02-01,4562.0,4562.0,4562.5,4496.0,10.61,0.13
2016-02-02,4545.0,4552.0,4627.0,4525.5,10.73,0.37
2016-02-03,4639.0,4531.0,4644.0,4519.0,12.88,2.07
2016-02-04,4690.5,4645.0,4719.5,4631.0,13.62,1.11
2016-02-05,4615.0,4685.0,4696.0,4612.5,11.62,1.61
2016-02-06,4610.3,4595.0,4649.8,4556.8,11.892,1.058
2016-02-07,4610.3,4595.0,4649.8,4556.8,11.892,1.058
2016-02-08,4619.5,4618.5,4648.5,4573.0,9.17,0.1
2016-02-09,4507.0,4606.0,4646.0,4467.0,11.3,2.44
2016-02-10,4462.0,4507.5,4523.0,4430.0,9.54,1.0
2016-02-11,4443.0,4465.5,4496.5,4433.0,10.42,0.43
2016-02-12,4491.5,4455.0,4514.5,4448.0,7.42,1.09
2016-02-13,4504.6,4530.5,4565.7,4470.2,9.569999999999999,1.012
2016-02-14,4504.6,4530.5,4565.7,4470.2,9.569999999999999,1.012
2016-02-15,4565.0,4547.0,4614.0,4542.0,9.0,1.64
2016-02-16,4547.0,4573.0,4610.5,4546.0,10.45,0.39
2016-02-17,4591.5,4562.0,4607.5,4534.0,9.52,0.98
2016-02-18,4591.0,4583.0,4599.5,4552.0,7.75,0.01
2016-02-19,4605.0,4575.0,4631.0,4561.0,8.94,0.3
2016-02-20,4579.9,4568.0,4612.5,4547.0,9.132,0.664
2016-02-21,4579.9,4568.0,4612.5,4547.0,9.132,0.664
2016-02-22,4680.0,4620.5,4700.5,4620.5,10.55,1.63
2016-02-23,4658.5,4673.0,4678.0,4629.0,9.75,0.46
2016-02-24,4665.0,4651.0,4668.5,4580.0,11.44,0.14
2016-02-25,4608.0,4670.0,4675.5,4577.5,11.77,1.22
