Date,Price,Open,High,Low,Vol.,Change %
2016-06-16,2249.5,2249.5,2249.5,2249.5,,1.76
2016-06-17,2258.7,2258.7,2258.7,2258.7,,0.41
2016-06-18,2254.1,2254.1,2254.1,2254.1,,1.085
2016-06-19,2254.1,2254.1,2254.1,2254.1,,1.085
2016-06-20,2295.4,2295.4,2295.4,2295.4,,1.62
2016-06-21,2303.4,2303.4,2303.4,2303.4,,0.35
2016-06-22,2315.0,2315.0,2315.0,2315.0,,0.5
2016-06-23,2338.1,2338.1,2338.1,2338.1,,1.0
2016-06-24,2301.7,2301.7,2301.7,2301.7,,1.56
2016-06-25,2310.7200000000003,2310.7200000000003,2310.7200000000003,2310.7200000000003,,1.006
2016-06-26,2310.7200000000003,2310.7200000000003,2310.7200000000003,2310.7200000000003,,1.006
2016-06-27,2290.5,2290.5,2290.5,2290.5,,0.49
2016-06-28,2343.8,2343.8,2343.8,2343.8,,2.33
2016-06-29,2359.9,2359.9,2359.9,2359.9,,0.69
2016-06-30,2369.3,2369.3,2369.3,2369.3,,0.4
2016-07-01,2410.8,2410.8,2410.8,2410.8,,1.75
2016-07-02,2354.86,2354.86,2354.86,2354.86,,1.1320000000000001
2016-07-03,2354.86,2354.86,2354.86,2354.86,,1.1320000000000001
2016-07-04,2404.2,2404.2,2404.2,2404.2,,0.27
2016-07-05,2373.7,2373.7,2373.7,2373.7,,1.27
2016-07-06,2362.0,2362.0,2362.0,2362.0,,0.49
2016-07-07,2334.7,2334.7,2334.7,2334.7,,1.16
2016-07-08,2356.9,2356.9,2356.9,2356.9,,0.95
2016-07-09,2366.3,2366.3,2366.3,2366.3,,0.828
2016-07-10,2366.3,2366.3,2366.3,2366.3,,0.828
2016-07-11,2364.0,2364.0,2364.0,2364.0,,0.3
2016-07-12,2417.5,2417.5,2417.5,2417.5,,2.26
2016-07-13,2429.9,2429.9,2429.9,2429.9,,0.51
2016-07-14,2441.1,2441.1,2441.1,2441.1,,0.46
2016-07-15,2429.7,2429.7,2429.7,2429.7,,0.47
2016-07-16,2416.4399999999996,2416.4399999999996,2416.4399999999996,2416.4399999999996,,0.8
2016-07-17,2416.4399999999996,2416.4399999999996,2416.4399999999996,2416.4399999999996,,0.8
2016-07-18,2434.2,2434.2,2434.2,2434.2,,0.19
2016-07-19,2442.9,2442.9,2442.9,2442.9,,0.36
2016-07-20,2433.1,2433.1,2433.1,2433.1,,0.4
2016-07-21,2431.8,2431.8,2431.8,2431.8,,0.05
2016-07-22,2412.7,2412.7,2412.7,2412.7,,0.79
2016-07-23,2430.94,2430.94,2430.94,2430.94,,0.358
2016-07-24,2430.94,2430.94,2430.94,2430.94,,0.358
2016-07-25,2406.9,2406.9,2406.9,2406.9,,0.24
2016-07-26,2404.5,2404.5,2404.5,2404.5,,0.1
2016-07-27,2376.4,2376.4,2376.4,2376.4,,1.17
2016-07-28,2403.1,2403.1,2403.1,2403.1,,1.12
2016-07-29,2427.9,2427.9,2427.9,2427.9,,1.03
2016-07-30,2403.7599999999998,2403.7599999999998,2403.7599999999998,2403.7599999999998,,0.732
2016-07-31,2403.7599999999998,2403.7599999999998,2403.7599999999998,2403.7599999999998,,0.732
2016-08-01,2417.7,2417.7,2417.7,2417.7,,0.42
2016-08-02,2418.4,2418.4,2418.4,2418.4,,0.03
2016-08-03,2417.6,2417.6,2417.6,2417.6,,0.03
2016-08-04,2395.7,2395.7,2395.7,2395.7,,0.91
2016-08-05,2398.3,2398.3,2398.3,2398.3,,0.11
2016-08-06,2409.54,2409.54,2409.54,2409.54,,0.3
2016-08-07,2409.54,2409.54,2409.54,2409.54,,0.3
2016-08-08,2404.5,2404.5,2404.5,2404.5,,0.26
2016-08-09,2398.1,2398.1,2398.1,2398.1,,0.27
2016-08-10,2415.0,2415.0,2415.0,2415.0,,0.7
2016-08-11,2421.7,2421.7,2421.7,2421.7,,0.28
2016-08-12,2389.1,2389.1,2389.1,2389.1,,1.35
2016-08-13,2405.68,2405.68,2405.68,2405.68,,0.5720000000000001
2016-08-14,2405.68,2405.68,2405.68,2405.68,,0.5720000000000001
2016-08-15,2406.6,2406.6,2406.6,2406.6,,0.73
2016-08-16,2419.8,2419.8,2419.8,2419.8,,0.55
2016-08-17,2412.4,2412.4,2412.4,2412.4,,0.31
2016-08-18,2423.0,2423.0,2423.0,2423.0,,0.44
2016-08-19,2414.5,2414.5,2414.5,2414.5,,0.35
2016-08-20,2415.2599999999998,2415.2599999999998,2415.2599999999998,2415.2599999999998,,0.4760000000000001
2016-08-21,2415.2599999999998,2415.2599999999998,2415.2599999999998,2415.2599999999998,,0.4760000000000001
2016-08-22,2398.3,2398.3,2398.3,2398.3,,0.67
2016-08-23,2393.4,2393.4,2393.4,2393.4,,0.2
2016-08-24,2360.1,2360.1,2360.1,2360.1,,1.39
2016-08-25,2358.1,2358.1,2358.1,2358.1,,0.08
2016-08-26,2357.8,2357.8,2357.8,2357.8,,0.01
2016-08-27,2373.54,2373.54,2373.54,2373.54,,0.4699999999999999
2016-08-28,2373.54,2373.54,2373.54,2373.54,,0.4699999999999999
2016-08-29,2367.35,2367.35,2367.35,2367.35,,0.41999999999999993
2016-08-30,2350.3,2350.3,2350.3,2350.3,,0.32
2016-08-31,2348.3,2348.3,2348.3,2348.3,,0.09
2016-09-01,2360.5,2360.5,2360.5,2360.5,,0.52
2016-09-02,2360.3,2360.3,2360.3,2360.3,,0.01
2016-09-03,2354.8500000000004,2354.8500000000004,2354.8500000000004,2354.8500000000004,,0.235
2016-09-04,2354.8500000000004,2354.8500000000004,2354.8500000000004,2354.8500000000004,,0.235
2016-09-05,2357.0,2357.0,2357.0,2357.0,,0.14
2016-09-06,2353.4,2353.4,2353.4,2353.4,,0.15
2016-09-07,2362.4,2362.4,2362.4,2362.4,,0.38
2016-09-08,2366.3,2366.3,2366.3,2366.3,,0.17
2016-09-09,2348.4,2348.4,2348.4,2348.4,,0.76
2016-09-10,2357.5000000000005,2357.5000000000005,2357.5000000000005,2357.5000000000005,,0.32
2016-09-11,2357.5000000000005,2357.5000000000005,2357.5000000000005,2357.5000000000005,,0.32
2016-09-12,2336.9,2336.9,2336.9,2336.9,,0.49
2016-09-13,2330.9,2330.9,2330.9,2330.9,,0.26
2016-09-14,2376.9,2376.9,2376.9,2376.9,,1.97
2016-09-15,2369.5,2369.5,2369.5,2369.5,,0.31
2016-09-16,2370.5,2370.5,2370.5,2370.5,,0.04
2016-09-17,2356.94,2356.94,2356.94,2356.94,,0.614
2016-09-18,2356.94,2356.94,2356.94,2356.94,,0.614
2016-09-19,2383.4,2383.4,2383.4,2383.4,,0.54
2016-09-20,2396.1,2396.1,2396.1,2396.1,,0.53
2016-09-21,2384.7,2384.7,2384.7,2384.7,,0.48
2016-09-22,2434.4,2434.4,2434.4,2434.4,,2.08
2016-09-23,2432.8,2432.8,2432.8,2432.8,,0.07
2016-09-24,2406.2799999999997,2406.2799999999997,2406.2799999999997,2406.2799999999997,,0.74
2016-09-25,2406.2799999999997,2406.2799999999997,2406.2799999999997,2406.2799999999997,,0.74
2016-09-26,2438.8,2438.8,2438.8,2438.8,,0.25
2016-09-27,2429.5,2429.5,2429.5,2429.5,,0.38
2016-09-28,2446.8,2446.8,2446.8,2446.8,,0.71
2016-09-29,2459.1,2459.1,2459.1,2459.1,,0.5
2016-09-30,2473.8,2473.8,2473.8,2473.8,,0.6
2016-10-01,2449.6,2449.6,2449.6,2449.6,,0.488
2016-10-02,2449.6,2449.6,2449.6,2449.6,,0.488
2016-10-03,2460.4,2460.4,2460.4,2460.4,,0.54
