id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1655788327675604992,"https://twitter.com/Swandi82172890/statuses/1655788327675604992","https://twitter.com/Swandi82172890/statuses/1655788327675604992","Swandi82172890","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-09 00:14:35","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1418340648600498179,"https://pbs.twimg.com/profile_images/1431797718372913152/bSta_CRF_normal.jpg",16366,3619,2633,"2021-07-22 18:42:39","🇲🇨🇲🇨Akun NKRI, cinta Indonesia yuk #folback Semeton🇲🇨🇲🇨","","",
2,1655787863987085312,"https://twitter.com/Swandi82172890/statuses/1655787863987085312","https://twitter.com/Swandi82172890/statuses/1655787863987085312","Swandi82172890","RT @natalia453640: Jelang puncak Musra, Ganjar meraih suara terbanyak, Prabowo kedua dan Airlangga Hartanto ketiga. Makin optimis #GanjarMe…","Jelang puncak Musra, Ganjar meraih suara terbanyak, Prabowo kedua dan Airlangga Hartanto ketiga. Makin optimis #GanjarMenangTotal melihat makin banyaknya dukungan kepada beliau https://t.co/ilhjMd0h6M","2023-05-09 00:12:44","Twitter for Android",0,8,"in","","retweet","",0,0,"natalia453640",798071046469365762,1655765395725512705,1418340648600498179,"https://pbs.twimg.com/profile_images/1431797718372913152/bSta_CRF_normal.jpg",16366,3619,2633,"2021-07-22 18:42:39","🇲🇨🇲🇨Akun NKRI, cinta Indonesia yuk #folback Semeton🇲🇨🇲🇨","","",
3,1655787704590946305,"https://twitter.com/Mima_Jelita/statuses/1655787704590946305","https://twitter.com/Mima_Jelita/statuses/1655787704590946305","Mima_Jelita","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-09 00:12:06","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1514990564428894210,"https://pbs.twimg.com/profile_images/1597975017790152704/w_BpIxGK_normal.jpg",9071,1157,1338,"2022-04-15 11:35:03","""Saya berdiri bersama kaum tertindas. Perjuangan anti-kolonial adalah perjuangan kemanusiaan""","","",
4,1655784889957126146,"https://twitter.com/B1nt4ng_K1r4r4/statuses/1655784889957126146","https://twitter.com/B1nt4ng_K1r4r4/statuses/1655784889957126146","B1nt4ng_K1r4r4","RT @natalia453640: Jelang puncak Musra, Ganjar meraih suara terbanyak, Prabowo kedua dan Airlangga Hartanto ketiga. Makin optimis #GanjarMe…","Jelang puncak Musra, Ganjar meraih suara terbanyak, Prabowo kedua dan Airlangga Hartanto ketiga. Makin optimis #GanjarMenangTotal melihat makin banyaknya dukungan kepada beliau https://t.co/ilhjMd0h6M","2023-05-09 00:00:55","Twitter for Android",0,8,"in","","retweet","",0,0,"natalia453640",798071046469365762,1655765395725512705,1375462822285516820,"https://pbs.twimg.com/profile_images/1642114469806620672/vkttds4g_normal.jpg",18825,4791,4962,"2021-03-26 11:01:34","🇮🇩 PRO NKRI 🇲🇨   #JalinPersatuan","Wonosobo, Indonesia","",
5,1655784148085379072,"https://twitter.com/B1nt4ng_K1r4r4/statuses/1655784148085379072","https://twitter.com/B1nt4ng_K1r4r4/statuses/1655784148085379072","B1nt4ng_K1r4r4","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:57:58","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1375462822285516820,"https://pbs.twimg.com/profile_images/1642114469806620672/vkttds4g_normal.jpg",18825,4791,4962,"2021-03-26 11:01:34","🇮🇩 PRO NKRI 🇲🇨   #JalinPersatuan","Wonosobo, Indonesia","",
6,1655781809152741392,"https://twitter.com/Just_Niens/statuses/1655781809152741392","https://twitter.com/Just_Niens/statuses/1655781809152741392","Just_Niens","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:48:40","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1345007913996206080,"https://pbs.twimg.com/profile_images/1430866659967836165/DrT_Kzzn_normal.jpg",10475,916,995,"2021-01-01 09:04:20","Anti ruwet, loss gak rewel.                                                               NKRI 🇮🇩 is my country","Surabaya ","",
7,1655780822518235136,"https://twitter.com/YumaAr_/statuses/1655780822518235136","https://twitter.com/YumaAr_/statuses/1655780822518235136","YumaAr_","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:44:45","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1297177103184482305,"https://pbs.twimg.com/profile_images/1442640932478746626/LnNyDVpa_normal.jpg",50391,2141,2574,"2020-08-22 10:23:10","Telah datang yg Haq. Dan hancur lah kebatilan.  Sesungguhnya yg Bathil #Pasti Hancur. #GASRI Jalin Persatuan. #ProNKRI   Salam #TEGAR","Kota Palembang, Sumatera Selat","",
8,1655779697266151424,"https://twitter.com/L0ve1ndonesia/statuses/1655779697266151424","https://twitter.com/L0ve1ndonesia/statuses/1655779697266151424","L0ve1ndonesia","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:40:17","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1328950529997811715,"https://pbs.twimg.com/profile_images/1431979555590316033/T24njErT_normal.jpg",23811,4442,4867,"2020-11-18 01:38:01","Dadi uwong kui kudu iso rumongso, nanging ojo rumongso iso. NKRI. Bhineka Tunggal Ika. #TertawakanDirimuSebelumDitertawakanOrangLain","","",
9,1655779538041966592,"https://twitter.com/Aryprasetyo85/statuses/1655779538041966592","https://twitter.com/Aryprasetyo85/statuses/1655779538041966592","Aryprasetyo85","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:39:39","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,435004096,"https://pbs.twimg.com/profile_images/1432989250132189186/_R5CIxDk_normal.jpg",312930,18325,68294,"2011-12-12 10:29:46","","Central Java, Indonesia","",
10,1655778008463208448,"https://twitter.com/n3wbie__/statuses/1655778008463208448","https://twitter.com/n3wbie__/statuses/1655778008463208448","n3wbie__","RT @Dwi_Ekaputri: Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya…","Jelang Puncak Musra  Ganjar raih suara terbanyak,  Prabowo kedua,  Airlangga Hartanto ketiga,   Kok Anies gak ada ? 😂 Ya karena memang masyarakat Indonesia selain laskar 212 dan Demokrat gak ada yg menginginkan, Kader Nasdem aja banyak yg gak pilih dia 😂😝 #GanjarMenangTotal https://t.co/eU4dzrbinG","2023-05-08 23:33:34","Twitter for Android",0,9,"in","","retweet","",0,0,"Dwi_Ekaputri",1234721976276541441,1655777966046216192,1432738215824277505,"https://pbs.twimg.com/profile_images/1432738339065524225/LUCp1Du0_normal.jpg",14546,4868,6210,"2021-08-31 12:13:15","Tak ada yg abadi","","",
