"From,To,Africa,,""North America"",,""South America"",,""Asia (ex China)"",,""Western & Central Europe"",,""Russia & Eastern Europe"",,Oceania,,""Gulf Cooperation Council"",,""China (Estimated)"",,""Estimated Unreported to IAI"",,Total,,""Daily Average"","
"1973-01-01,1973-02-01,20,,419,,19,,120,,220,,,,27,,,,,,165,,990,,31.9,"
"1973-02-01,1973-03-01,18,,391,,17,,110,,204,,,,24,,,,,,165,,929,,33.2,"
"1973-03-01,1973-04-01,18,,434,,17,,123,,230,,,,26,,,,,,165,,1013,,32.7,"
"1973-04-01,1973-05-01,18,,415,,19,,119,,223,,,,27,,,,,,165,,986,,32.9,"
"1973-05-01,1973-06-01,20,,428,,19,,123,,235,,,,28,,,,,,165,,1018,,32.8,"
"1973-06-01,1973-07-01,21,,416,,19,,119,,228,,,,27,,,,,,165,,995,,33.2,"
"1973-07-01,1973-08-01,23,,425,,19,,124,,229,,,,28,,,,,,165,,1013,,32.7,"
"1973-08-01,1973-09-01,23,,411,,19,,117,,232,,,,29,,,,,,165,,996,,32.1,"
"1973-09-01,1973-10-01,22,,407,,19,,114,,226,,,,27,,,,,,165,,980,,32.7,"
"1973-10-01,1973-11-01,22,,428,,20,,125,,241,,,,27,,,,,,165,,1028,,33.2,"
"1973-11-01,1973-12-01,22,,422,,21,,123,,238,,,,26,,,,,,165,,1017,,33.9,"
"1973-12-01,1974-01-01,22,,443,,21,,122,,251,,,,28,,,,,,165,,1052,,33.9,"
"1974-01-01,1974-02-01,22,,450,,21,,118,,258,,,,27,,,,,,211,,1107,,35.7,"
"1974-02-01,1974-03-01,19,,419,,19,,107,,235,,,,24,,,,,,211,,1034,,36.9,"
"1974-03-01,1974-04-01,21,,469,,22,,119,,262,,,,28,,,,,,211,,1132,,36.5,"
"1974-04-01,1974-05-01,21,,457,,21,,116,,256,,,,27,,,,,,211,,1109,,37.0,"
"1974-05-01,1974-06-01,23,,470,,22,,122,,267,,,,28,,,,,,211,,1143,,36.9,"
"1974-06-01,1974-07-01,23,,452,,21,,121,,260,,,,28,,,,,,211,,1116,,37.2,"
"1974-07-01,1974-08-01,25,,460,,22,,127,,271,,,,28,,,,,,211,,1144,,36.9,"
"1974-08-01,1974-09-01,25,,452,,21,,129,,269,,,,29,,,,,,211,,1136,,36.6,"
"1974-09-01,1974-10-01,24,,443,,20,,125,,264,,,,28,,,,,,211,,1115,,37.2,"
"1974-10-01,1974-11-01,25,,463,,23,,129,,268,,,,28,,,,,,211,,1147,,37.0,"
"1974-11-01,1974-12-01,25,,455,,22,,124,,265,,,,26,,,,,,211,,1128,,37.6,"
"1974-12-01,1975-01-01,25,,464,,22,,126,,275,,,,29,,,,,,211,,1152,,37.2,"
"1975-01-01,1975-02-01,24,,445,,23,,121,,276,,,,28,,,,,,217,,1134,,36.6,"
"1975-02-01,1975-03-01,22,,366,,21,,108,,245,,,,25,,,,,,217,,1004,,35.9,"
"1975-03-01,1975-04-01,24,,394,,23,,114,,268,,,,28,,,,,,217,,1068,,34.5,"
"1975-04-01,1975-05-01,23,,370,,22,,113,,259,,,,26,,,,,,217,,1030,,34.3,"
