,Date,Year,Month,Price_LME,Price_BADI,Price_Aluminum,Price_Copper,Price_Alumina,Price_USD,Price_oil,From,To,Africa,North America,South America,Asia (ex China),Western & Central Europe,Russia & Eastern Europe,Oceania,Gulf Cooperation Council,China (Estimated),Estimated Unreported to IAI,Total,Daily Average
0,2016-07,2016,7,2401.374193548387,703.7290322580644,1639.6967741935484,2.2059072580645163,1.3590645161290322,96.51032258064517,96.51032258064517,2016-07,2016-08-01,144.0,336.0,115.0,299.0,315.0,335.0,169.0,439.0,2744.0,150.0,5046.0,162.8
1,2016-08,2016,8,2396.5835483870965,673.0387096774194,1650.6149193548388,2.1490290322580647,1.348,95.36051612903226,95.36051612903226,2016-08,2016-09-01,145.0,334.0,114.0,301.0,317.0,334.0,168.0,441.0,2798.0,150.0,5102.0,164.6
2,2016-09,2016,9,2384.1180000000004,817.8666666666667,1600.385,2.1340266666666663,1.3802666666666668,95.49839999999999,95.49839999999999,2016-09,2016-10-01,141.0,325.0,112.0,293.0,310.0,325.0,164.0,431.0,2833.0,150.0,5084.0,169.5
3,2016-10,2016,10,2428.3187096774195,871.1612903225806,1669.7032258064517,2.148667741935484,1.5058064516129033,97.55767741935485,97.55767741935485,2016-10,2016-11-01,148.0,337.0,118.0,299.0,320.0,337.0,170.0,447.0,2811.0,150.0,5137.0,165.7
4,2016-11,2016,11,2678.58,1063.96,1735.0866666666666,2.466231666666667,1.6520666666666666,99.69059999999999,99.69059999999999,2016-11,2016-12-01,139.0,326.0,111.0,301.0,313.0,327.0,164.0,432.0,2882.0,150.0,5145.0,171.5
5,2016-12,2016,12,2742.0609139784947,1034.583458781362,1720.3969086021507,2.571631451612903,1.759502688172043,101.98496774193549,101.98496774193549,2016-12,2017-01-01,143.0,338.0,120.0,313.0,322.0,339.0,150.0,446.0,2975.0,150.0,5296.0,170.8
6,2017-01,2017,1,2766.7781720430107,912.9795250896058,1778.1586021505375,2.6168782258064516,1.8346397849462364,101.28703225806451,101.28703225806451,2017-01,2017-02-01,143.0,337.0,117.0,315.0,320.0,339.0,151.0,446.0,3260.0,150.0,5578.0,179.9
7,2017-02,2017,2,2867.1542857142854,757.7214285714286,1866.6785714285713,2.7067375,1.9375,100.66250000000001,100.66250000000001,2017-02,2017-03-01,130.0,304.0,105.0,289.0,290.0,306.0,131.0,407.0,2814.0,150.0,4926.0,175.9
8,2017-03,2017,3,2843.9645161290323,1123.1612903225807,1909.5741935483873,2.651416129032258,1.8379032258064516,100.82309677419354,100.82309677419354,2017-03,2017-04-01,142.0,337.0,118.0,336.0,320.0,338.0,148.0,454.0,3017.0,150.0,5360.0,172.9
9,2017-04,2017,4,2788.9642777777776,1232.5216666666668,1932.4979166666667,2.6000324999999997,1.7929861111111112,100.06333333333333,100.06333333333333,2017-04,2017-05-01,138.0,326.0,116.0,318.0,312.0,327.0,142.0,418.0,3066.0,150.0,5313.0,177.1
10,2017-05,2017,5,2746.2122580645164,979.8048387096775,1918.2713709677419,2.556846774193548,1.8206451612903225,98.27883870967742,98.27883870967742,2017-05,2017-06-01,141.0,335.0,120.0,319.0,321.0,338.0,144.0,429.0,3135.0,150.0,5432.0,175.2
11,2017-06,2017,6,2751.4263333333333,857.9066666666666,1891.9524999999999,2.6053216666666668,1.9297499999999999,97.00233333333334,97.00233333333334,2017-06,2017-07-01,140.0,323.0,114.0,311.0,310.0,327.0,149.0,426.0,3231.0,150.0,5481.0,182.7
12,2017-07,2017,7,2872.103870967742,905.6193548387097,1918.1903225806452,2.7281725806451615,1.9653548387096775,95.02625806451613,95.02625806451613,2017-07,2017-08-01,142.0,334.0,119.0,324.0,320.0,339.0,156.0,445.0,2996.0,150.0,5325.0,171.8
13,2017-08,2017,8,3085.585,1139.9290322580646,2031.9129032258065,2.9600290322580647,2.004032258064516,93.20587096774194,93.20587096774194,2017-08,2017-09-01,143.0,336.0,118.0,337.0,320.0,339.0,160.0,423.0,2950.0,150.0,5276.0,170.2
14,2017-09,2017,9,3165.7663333333335,1351.9633333333334,2117.9925,3.009459166666667,2.166,92.32573333333333,92.32573333333333,2017-09,2017-10-01,138.0,324.0,111.0,342.0,310.0,329.0,157.0,404.0,2906.0,150.0,5171.0,172.4
15,2017-10,2017,10,3244.687096774194,1481.3806451612904,2147.9451612903226,3.104258064516129,2.291677419354839,93.66438709677419,93.66438709677419,2017-10,2017-11-01,142.0,335.0,119.0,352.0,320.0,342.0,161.0,428.0,2856.0,150.0,5205.0,167.9
16,2017-11,2017,11,3242.808,1452.0866666666666,2115.7833333333333,3.109460833333334,2.3022,94.02386666666666,94.02386666666666,2017-11,2017-12-01,139.0,322.0,110.0,345.0,311.0,332.0,155.0,424.0,2650.0,150.0,4938.0,164.6
