,Harga Aluminium,Harga Minyak Mentah,Index Harga Alumina,Harga Tembaga,Nilai Dollar US,Index Baltik,Bursa Logam London
2016-06-16,1604.75,46.21,3.82,2.05,94.57,598.0,2249.5
2016-06-17,1615.0,47.98,3.9,2.05,94.21,587.0,2258.7
2016-06-18,1633.15,48.33,3.85,2.12,94.57,598.0,2303.4
2016-06-19,1633.15,48.33,3.85,2.12,94.57,598.0,2303.4
2016-06-20,1633.15,49.37,3.96,2.09,93.61,582.0,2295.4
2016-06-21,1635.5,48.85,3.94,2.12,94.02,580.0,2303.4
2016-06-22,1635.25,49.13,3.92,2.14,93.72,585.0,2315.0
2016-06-23,1643.25,50.11,4.09,2.16,93.53,596.0,2338.1
2016-06-24,1618.75,47.64,3.85,2.11,95.45,609.0,2301.7
2016-06-25,1633.15,48.33,3.85,2.12,94.57,598.0,2303.4
2016-06-26,1633.15,48.33,3.85,2.12,94.57,598.0,2303.4
2016-06-27,1596.75,46.33,3.64,2.12,96.54,616.0,2290.5
2016-06-28,1625.0,47.85,3.7,2.17,96.25,627.0,2343.8
2016-06-29,1637.25,49.88,3.79,2.19,95.77,640.0,2359.9
2016-06-30,1651.25,48.33,3.84,2.2,96.14,660.0,2369.3
2016-07-01,1666.25,48.99,3.97,2.22,95.65,677.0,2410.8
2016-07-02,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-03,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-04,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-05,1655.5,46.6,3.91,2.18,96.17,692.0,2373.7
2016-07-06,1652.75,47.43,3.96,2.15,96.05,694.0,2362.0
2016-07-07,1637.75,45.14,3.86,2.12,96.33,699.0,2334.7
2016-07-08,1663.5,45.41,3.99,2.12,96.3,703.0,2356.9
2016-07-09,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-10,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-11,1651.5,44.76,4.18,2.15,96.57,704.0,2364.0
2016-07-12,1674.0,46.8,4.26,2.21,96.44,711.0,2417.5
2016-07-13,1670.5,44.75,4.32,2.24,96.22,726.0,2429.9
2016-07-14,1680.5,45.68,4.34,2.24,96.08,738.0,2441.1
2016-07-15,1664.75,45.95,4.4,2.23,96.58,745.0,2429.7
2016-07-16,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-17,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-18,1654.75,45.24,4.38,2.24,96.56,748.0,2434.2
2016-07-19,1647.0,44.65,4.18,2.26,97.06,746.0,2442.9
2016-07-20,1625.25,44.94,4.06,2.25,97.2,736.0,2433.1
2016-07-21,1601.0,44.75,4.01,2.26,97.0,726.0,2431.8
2016-07-22,1611.25,44.19,4.0,2.24,97.47,718.0,2412.7
2016-07-23,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-24,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-25,1604.75,43.13,3.86,2.22,97.29,709.0,2406.9
2016-07-26,1591.5,42.92,3.86,2.23,97.16,696.0,2404.5
2016-07-27,1591.5,41.92,3.99,2.19,97.05,679.0,2376.4
2016-07-28,1608.25,41.14,3.98,2.21,96.74,665.0,2403.1
2016-07-29,1644.0,41.6,4.0,2.23,95.53,656.0,2427.9
2016-07-30,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-07-31,1649.25,44.849999999999994,4.0,2.225,96.565,706.5,2411.75
2016-08-01,1633.5,40.06,4.01,2.2,95.71,650.0,2417.7
2016-08-02,1623.0,39.51,3.99,2.21,95.06,645.0,2418.4
2016-08-03,1640.0,40.83,4.01,2.2,95.56,641.0,2417.6
2016-08-04,1619.75,41.93,4.12,2.18,95.76,636.0,2395.7
2016-08-05,1642.0,41.8,4.14,2.16,96.19,636.0,2398.3
2016-08-06,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-07,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-08,1639.25,43.02,4.16,2.17,96.4,636.0,2404.5
2016-08-09,1638.25,42.77,4.08,2.15,96.18,631.0,2398.1
2016-08-10,1643.0,41.71,4.06,2.18,95.65,638.0,2415.0
2016-08-11,1649.0,43.49,4.09,2.19,95.86,653.0,2421.7
2016-08-12,1651.0,44.49,4.02,2.14,95.72,671.0,2389.1
2016-08-13,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-14,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-15,1672.5,45.74,4.01,2.16,95.63,681.0,2406.6
2016-08-16,1693.0,46.58,4.05,2.18,94.79,687.0,2419.8
2016-08-17,1694.75,46.79,4.06,2.16,94.72,685.0,2412.4
2016-08-18,1683.5,48.22,4.17,2.17,94.16,682.0,2423.0
2016-08-19,1667.25,48.52,4.12,2.17,94.51,683.0,2414.5
2016-08-20,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-21,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-22,1667.5,47.05,4.03,2.15,94.52,687.0,2398.3
2016-08-23,1669.25,48.1,4.1,2.12,94.54,692.0,2393.4
2016-08-24,1645.75,46.77,4.07,2.08,94.79,706.0,2360.1
2016-08-25,1643.75,47.33,4.12,2.08,94.77,718.0,2358.1
2016-08-26,1641.5,47.64,4.14,2.08,95.57,720.0,2357.8
2016-08-27,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-28,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-29,1643.375,45.22,4.075,2.16,95.6,681.5,2401.4
2016-08-30,1627.75,46.35,4.1,2.07,96.05,715.0,2350.3
2016-08-31,1610.75,44.7,4.03,2.08,96.02,711.0,2348.3
2016-09-01,1611.0,43.16,3.86,2.07,95.65,712.0,2360.5
2016-09-02,1590.0,44.44,4.13,2.08,95.84,720.0,2360.3
2016-09-03,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-04,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-05,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-06,1585.0,44.83,4.36,2.09,94.82,745.0,2353.4
2016-09-07,1588.75,45.5,4.3,2.1,94.96,773.0,2362.4
2016-09-08,1586.25,47.62,4.18,2.1,95.03,792.0,2366.3
2016-09-09,1573.5,45.88,4.1,2.09,95.34,804.0,2348.4
2016-09-10,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-11,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-12,1562.5,46.29,4.06,2.1,95.09,804.0,2336.9
2016-09-13,1559.5,44.9,3.92,2.1,95.63,796.0,2330.9
2016-09-14,1579.5,43.58,3.92,2.15,95.33,756.0,2376.9
2016-09-15,1566.5,43.91,3.89,2.16,95.29,764.0,2369.5
2016-09-16,1570.5,43.03,3.9,2.16,96.11,800.0,2370.5
2016-09-17,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-18,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-19,1577.25,43.3,3.97,2.15,95.84,836.0,2383.4
2016-09-20,1576.25,43.44,3.99,2.16,96.02,865.0,2396.1
2016-09-21,1584.0,45.34,4.17,2.15,95.66,903.0,2384.7
2016-09-22,1635.25,46.32,4.27,2.19,95.45,937.0,2434.4
2016-09-23,1638.75,44.48,4.26,2.2,95.48,941.0,2432.8
2016-09-24,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-25,1586.25,44.9,4.17,2.15,95.45,804.0,2376.9
2016-09-26,1662.0,45.93,4.22,2.2,95.3,934.0,2438.8
2016-09-27,1652.25,44.67,4.21,2.17,95.44,930.0,2429.5
2016-09-28,1666.25,47.05,4.4,2.18,95.43,912.0,2446.8
2016-09-29,1672.5,47.83,4.38,2.19,95.53,888.0,2459.1
2016-09-30,1674.5,48.24,4.45,2.21,95.46,875.0,2473.8
2016-10-01,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-02,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-03,1678.0,48.81,4.39,2.19,95.69,864.0,2460.4
2016-10-04,1669.25,48.69,4.34,2.17,96.17,860.0,2444.6
2016-10-05,1675.25,49.83,4.31,2.16,96.12,869.0,2439.1
2016-10-06,1677.5,50.44,4.34,2.16,96.77,915.0,2431.8
2016-10-07,1675.5,49.81,4.38,2.16,96.63,921.0,2436.0
2016-10-08,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-09,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-10,1689.0,51.35,4.45,2.2,96.93,922.0,2465.1
2016-10-11,1677.25,50.79,4.54,2.19,97.69,922.0,2436.1
2016-10-12,1683.0,50.18,4.4,2.18,97.97,906.0,2440.5
2016-10-13,1689.75,50.44,4.37,2.12,97.52,885.0,2412.3
2016-10-14,1672.0,50.35,4.57,2.11,98.02,892.0,2400.2
2016-10-15,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-16,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-17,1657.0,49.94,4.54,2.11,97.89,894.0,2392.7
2016-10-18,1642.0,50.29,4.56,2.11,97.89,890.0,2391.8
2016-10-19,1631.75,51.6,4.67,2.1,97.92,872.0,2391.6
2016-10-20,1612.25,50.43,4.62,2.1,98.31,849.0,2375.5
2016-10-21,1625.25,50.85,4.58,2.09,98.69,842.0,2369.9
2016-10-22,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-23,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-24,1630.5,50.52,4.71,2.09,98.76,831.0,2382.7
2016-10-25,1669.0,49.96,4.83,2.14,98.72,813.0,2432.3
2016-10-26,1679.5,49.18,4.86,2.15,98.63,802.0,2435.4
2016-10-27,1699.5,49.72,4.66,2.16,98.89,798.0,2458.6
2016-10-28,1720.0,48.7,4.68,2.2,98.35,834.0,2486.6
2016-10-29,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-30,1675.5,50.18,4.56,2.16,97.92,869.0,2435.4
2016-10-31,1735.25,46.86,4.74,2.21,98.44,857.0,2502.2
2016-11-01,1736.5,46.67,4.74,2.23,97.7,838.0,2519.5
2016-11-02,1727.5,45.34,4.7,2.23,97.4,834.0,2508.9
2016-11-03,1732.5,44.66,4.61,2.25,97.16,849.0,2534.9
2016-11-04,1722.0,44.07,4.64,2.27,97.06,855.0,2535.5
2016-11-05,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-06,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-07,1726.25,44.89,5.04,2.31,97.78,870.0,2578.5
2016-11-08,1729.75,44.98,5.09,2.38,97.86,911.0,2616.7
2016-11-09,1751.5,45.27,4.97,2.46,98.5,954.0,2672.6
2016-11-10,1768.5,44.66,5.06,2.55,98.78,974.0,2732.4
2016-11-11,1742.5,43.41,5.07,2.51,99.06,1045.0,2696.4
2016-11-12,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-13,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-14,1732.5,43.32,4.96,2.52,100.11,1065.0,2712.4
2016-11-15,1735.0,45.81,5.0,2.51,100.23,1084.0,2702.6
2016-11-16,1697.5,45.57,4.92,2.47,100.41,1145.0,2651.7
2016-11-17,1688.5,45.42,4.96,2.49,100.89,1231.0,2666.3
2016-11-18,1694.75,45.69,4.93,2.47,101.21,1257.0,2644.5
2016-11-19,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-20,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-21,1722.25,47.49,4.94,2.52,101.05,1240.0,2707.0
2016-11-22,1760.25,48.03,5.07,2.55,101.04,1232.0,2737.7
2016-11-23,1778.0,47.96,5.01,2.61,101.7,1224.0,2789.1
2016-11-24,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-25,1756.75,46.06,5.11,2.67,101.49,1181.0,2840.5
2016-11-26,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-27,1732.5,45.42,4.97,2.51,100.23,1084.0,2696.4
2016-11-28,1746.0,47.08,5.11,2.66,101.33,1184.0,2856.7
2016-11-29,1720.0,45.23,5.05,2.61,100.93,1202.0,2758.6
