id,kode_provinsi,nama_provinsi,perangkat_daerah,tingkat_pendidikan,jumlah_pppk,satuan,tahun
1,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,SD,0,ORANG,2021
2,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,SMP,0,ORANG,2021
3,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,SMA,0,ORANG,2021
4,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,SMK,0,ORANG,2021
5,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,D1,0,ORANG,2021
6,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,D2,0,ORANG,2021
7,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,D3,0,ORANG,2021
8,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,D4,0,ORANG,2021
9,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,S1,2,ORANG,2021
10,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,S2,0,ORANG,2021
11,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,S3,0,ORANG,2021
12,32,JAWA BARAT,DINAS PENDIDIKAN,SD,0,ORANG,2021
13,32,JAWA BARAT,DINAS PENDIDIKAN,SMP,0,ORANG,2021
14,32,JAWA BARAT,DINAS PENDIDIKAN,SMA,0,ORANG,2021
15,32,JAWA BARAT,DINAS PENDIDIKAN,SMK,0,ORANG,2021
16,32,JAWA BARAT,DINAS PENDIDIKAN,D1,0,ORANG,2021
17,32,JAWA BARAT,DINAS PENDIDIKAN,D2,0,ORANG,2021
18,32,JAWA BARAT,DINAS PENDIDIKAN,D3,0,ORANG,2021
19,32,JAWA BARAT,DINAS PENDIDIKAN,D4,11,ORANG,2021
20,32,JAWA BARAT,DINAS PENDIDIKAN,S1,617,ORANG,2021
21,32,JAWA BARAT,DINAS PENDIDIKAN,S2,48,ORANG,2021
22,32,JAWA BARAT,DINAS PENDIDIKAN,S3,0,ORANG,2021
23,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,SD,0,ORANG,2021
24,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,SMP,0,ORANG,2021
25,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,SMA,26,ORANG,2021
26,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,SMK,32,ORANG,2021
27,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,D1,0,ORANG,2021
28,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,D2,0,ORANG,2021
29,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,D3,0,ORANG,2021
30,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,D4,1,ORANG,2021
31,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,S1,13,ORANG,2021
32,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,S2,0,ORANG,2021
33,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,S3,0,ORANG,2021
