id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1663033437156958210,"https://twitter.com/shawchow/statuses/1663033437156958210","https://twitter.com/shawchow/statuses/1663033437156958210","shawchow","@irduaoroma @grant_17 @Skyscanner Borobudur temple in Jawa, Indonesia.","@irduaoroma @grant_17 @Skyscanner Borobudur temple in Jawa, Indonesia.","2023-05-29 00:04:03","Twitter for iPhone",0,0,"in","","reply","irduaoroma",17747205,1662899814227406850,"",0,0,41380067,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",97,178,26,"2009-05-20 11:27:01","","Houston, TX","",
2,1662987443568775169,"https://twitter.com/bustomi_lim/statuses/1662987443568775169","https://twitter.com/bustomi_lim/statuses/1662987443568775169","bustomi_lim","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 21:01:18","Twitter for Android",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,188603975,"https://pbs.twimg.com/profile_images/1659841959949918208/Y-fc6jPH_normal.jpg",209,8,44,"2010-09-08 23:37:24","simply person","ÜT: -6.1777041,106.617844","",
3,1662934329704546306,"https://twitter.com/Blessin76525630/statuses/1662934329704546306","https://twitter.com/Blessin76525630/statuses/1662934329704546306","Blessin76525630","RT @AviveAPP: Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life,…","Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life, teaching, and enlightenment, and a source of inspiration for art, literature, and spirituality.  #AviveFamily #AviveCitizens $VV https://t.co/x6d4xD2icy","2023-05-28 17:30:14","Twitter for Android",0,141,"en","","quote","",0,0,"AviveAPP",1633681073531150337,1659940324146565123,1645427185224753153,"https://pbs.twimg.com/profile_images/1645427286605168644/MpzOHkIH_normal.png",217,10,7,"2023-04-10 10:03:30","","","",
4,1662851179230146560,"https://twitter.com/EengRohend49373/statuses/1662851179230146560","https://twitter.com/EengRohend49373/statuses/1662851179230146560","EengRohend49373","RT @AviveAPP: Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life,…","Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life, teaching, and enlightenment, and a source of inspiration for art, literature, and spirituality.  #AviveFamily #AviveCitizens $VV https://t.co/x6d4xD2icy","2023-05-28 11:59:50","Twitter Web App",0,141,"en","","quote","",0,0,"AviveAPP",1633681073531150337,1659940324146565123,1650903747537813504,"https://pbs.twimg.com/profile_images/1650903889418555392/fWkkgsB6_normal.png",14,10,0,"2023-04-25 12:45:34","","","",
5,1662818845806166017,"https://twitter.com/JuhariIwanto/statuses/1662818845806166017","https://twitter.com/JuhariIwanto/statuses/1662818845806166017","JuhariIwanto","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 09:51:21","Twitter Web App",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,1505670889257705472,"https://pbs.twimg.com/profile_images/1652116531659292676/-thObU-U_normal.jpg",75,222,179,"2022-03-20 18:21:55","Namaku Juhari Iwanto","","",
6,1662799428481335296,"https://twitter.com/AshokJangi73423/statuses/1662799428481335296","https://twitter.com/AshokJangi73423/statuses/1662799428481335296","AshokJangi73423","RT @AviveAPP: Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life,…","Borobudur temple is a living museum, with countless reliefs, sculptures, and inscriptions, telling stories of Buddha\'s life, teaching, and enlightenment, and a source of inspiration for art, literature, and spirituality.  #AviveFamily #AviveCitizens $VV https://t.co/x6d4xD2icy","2023-05-28 08:34:11","Twitter for Android",0,141,"en","","quote","",0,0,"AviveAPP",1633681073531150337,1659940324146565123,1662428466627715073,"https://pbs.twimg.com/profile_images/1662428687772401665/d6xi_t6o_normal.png",283,235,20,"2023-05-27 08:00:59","","","",
7,1662783877407186945,"https://twitter.com/liriksoe/statuses/1662783877407186945","https://twitter.com/liriksoe/statuses/1662783877407186945","liriksoe","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 07:32:24","Twitter for Android",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,154002393,"https://pbs.twimg.com/profile_images/1367108337096028162/q6AS8DLl_normal.jpg",67079,1331,999,"2010-06-09 23:26:50","Percaya Indonesia akan lebih baik","","",
8,1662780765514645508,"https://twitter.com/DuladiPm/statuses/1662780765514645508","https://twitter.com/DuladiPm/statuses/1662780765514645508","DuladiPm","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 07:20:02","Twitter Web App",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,1475595147048067076,"https://pbs.twimg.com/profile_images/1642425444548112384/IGaHQY8d_normal.jpg",246,234,235,"2021-12-27 17:31:29","Percayalah kepada Hatimu.  Followers sejati hanyalah amalanmu. Jika sekiranya bermanfaat bertemanlah","","",
9,1662747657922818048,"https://twitter.com/wagerudlof/statuses/1662747657922818048","https://twitter.com/wagerudlof/statuses/1662747657922818048","wagerudlof","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 05:08:28","Twitter for Android",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,948600377372327937,"https://pbs.twimg.com/profile_images/1658318450085994496/fMfd17sO_normal.jpg",51160,289,396,"2018-01-03 12:02:08","enlightened apes.","","",
10,1662741729915830273,"https://twitter.com/DubesWakanda/statuses/1662741729915830273","https://twitter.com/DubesWakanda/statuses/1662741729915830273","DubesWakanda","RT @seatodaynews: A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in M…","A group of monks from Thailand, Malaysia and Indonesia, continued the Thudong ritual journey to the Borobudur Temple in Magelang regency, Central Java. The monk’s entourage then stayed for a night at Saint Anthony of Padua Catholic church in Kendal regency. #SEAToday https://t.co/SYavw38V3Q","2023-05-28 04:44:55","Twitter for Android",0,31,"en","","retweet","",0,0,"seatodaynews",1314830750533865472,1662730427579224064,59683059,"https://pbs.twimg.com/profile_images/1377168207031623685/gJHY7KKz_normal.jpg",146593,1,1304,"2009-07-23 23:53:45","🇲🇨  Stay at 🏡 ®  Wash your 🤲 🇺🇦 Slava Ukraine 🇺🇦 #StandWithUkraine 🇺🇦 🇲🇨","Shangri-La ","",
