,tweetid,guid,author,title,description,pubdate,favorite_count,retweet_count,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_location,capres,Sentiment
28,1667075132186316801,https://twitter.com/ElfizaEnny/statuses/1667075132186316801,ElfizaEnny,RT @tvOneNews: AHY sebut Ada Pihak Ingin Melakukan Penggembosan Anies Baswedan: Jegal Koalisi Perubahan https://t.co/zCX5oMrvpE,AHY sebut Ada Pihak Ingin Melakukan Penggembosan Anies Baswedan: Jegal Koalisi Perubahan https://t.co/zCX5oMrvpE,2023-06-09 03:44:18,0,30,retweet,,0,0,tvOneNews,55507370,1667035567643832321,1033993501694779393,https://pbs.twimg.com/profile_images/1664993385487405056/C3CKWq6W_normal.jpg,177636,7611,8298,2018-08-27 04:23:56,Pekanbaru,Anies Baswedan,neutral
50,1667074704426041344,https://twitter.com/wagooner_1/statuses/1667074704426041344,wagooner_1,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 03:42:36,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,1618180374143852545,https://pbs.twimg.com/profile_images/1663174377326915584/GKcEkW8A_normal.jpg,634,97,9,2023-01-25 04:35:17,Surabaya,Anies Baswedan,neutral
57,1667074495545487363,https://twitter.com/Masartono/statuses/1667074495545487363,Masartono,"RT @alisyarief: AHY Masuk Bursa Cawapres PDIP, Demokrat Menjawab, Capres Kami Anies Baswedan Bukan Ganjar https://t.co/ySRmv3WxZV","AHY Masuk Bursa Cawapres PDIP, Demokrat Menjawab, Capres Kami Anies Baswedan Bukan Ganjar https://t.co/ySRmv3WxZV",2023-06-09 03:41:47,0,315,retweet,,0,0,alisyarief,30201110,1666359563703173120,1293478285,https://pbs.twimg.com/profile_images/1435117890705891329/VLtzMLki_normal.jpg,89508,199,558,2013-03-23 23:43:33,Kota Bekasi,Anies Baswedan,neutral
59,1667074470643908609,https://twitter.com/Rintart_bluhers/statuses/1667074470643908609,Rintart_bluhers,"RT @HmfaqihA: Inilah kehebatan dari seorang Novel Bamukmin,mau jadi Cawapres Anies Baswedan krn didukung jutaan umat sekaligus mendukung Pr…","Inilah kehebatan dari seorang Novel Bamukmin,mau jadi Cawapres Anies Baswedan krn didukung jutaan umat sekaligus mendukung Prabowo Subianto.
=""sekali berlayar dua pulau terpaui""=
Sebenarnya saya Pribadi dukung Novel Bamukmin jadi Cawapresnya Anie Baswedan.

Ayo support Novel https://t.co/O16CQYqXQC",2023-06-09 03:41:41,0,2,retweet,,0,0,HmfaqihA,1167268507282591744,1667074020238561280,1121235155291521024,https://pbs.twimg.com/profile_images/1539632033780998145/xnmQj_3a_normal.jpg,32094,4473,4105,2019-04-24 22:11:07,Palembang,Anies Baswedan,positive
106,1667074024290263040,https://twitter.com/enryusan/statuses/1667074024290263040,enryusan,"RT @Yurissa_Samosir: Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merub…","Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merubah jakarta menjadi lebih baik 🥰 https://t.co/icxWMpyD0H",2023-06-09 03:39:54,0,248,retweet,,0,0,Yurissa_Samosir,1456283686312103939,1666819345413185537,213876392,https://pbs.twimg.com/profile_images/1552762154461323279/S8VsCo-j_normal.jpg,9860,824,254,2010-11-09 19:42:35,Jakarta Utara,Anies Baswedan,positive
132,1667073382519799809,https://twitter.com/husodo165/statuses/1667073382519799809,husodo165,"Akhirnya China Komunis XI JIN Ping menagih hutang ke Indonesia setelah tahu nama *Anies Rasyid Baswedan* mendunia China menagih mau dibayar dengan uang atau 200 jt rakyat Tiongkok Komunis menetap secara permanen di Ind. terutama di Kalimantan, akhirnya kebohongan pasti terbongkar https://t.co/nNPDm3UqcU","Akhirnya China Komunis XI JIN Ping menagih hutang ke Indonesia setelah tahu nama *Anies Rasyid Baswedan* mendunia China menagih mau dibayar dengan uang atau 200 jt rakyat Tiongkok Komunis menetap secara permanen di Ind. terutama di Kalimantan, akhirnya kebohongan pasti terbongkar https://t.co/nNPDm3UqcU",2023-06-09 03:37:21,0,0,original,,0,0,,0,0,116688767,https://pbs.twimg.com/profile_images/1356820771381727232/sR41qH-e_normal.jpg,12031,13,111,2010-02-23 03:46:40,Surabaya,Anies Baswedan,negative
133,1667073325611503616,https://twitter.com/syarifptk/statuses/1667073325611503616,syarifptk,"RT @geloraco: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP Gegara Bertemu Anies Baswedan
https://t.co/aEOvws8Cvp","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP Gegara Bertemu Anies Baswedan
https://t.co/aEOvws8Cvp",2023-06-09 03:37:08,0,19,retweet,,0,0,geloraco,3319260420,1667052636745666561,1870397982,https://pbs.twimg.com/profile_images/1651854113473449984/XJv-LeHF_normal.jpg,129643,2517,2201,2013-09-16 02:01:40,Jakarta Barat,Anies Baswedan,neutral
160,1667072659908354048,https://twitter.com/golbachgoals/statuses/1667072659908354048,golbachgoals,Menurut Ade akan terjadi perpindahan suara pendukung Anies Baswedan yang jika dikatakan gagal nyapres lantaran ada masalah internal partai koalisi digadang menjadi salah satu efek melejitnya elektabilitas Prabowo. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,Menurut Ade akan terjadi perpindahan suara pendukung Anies Baswedan yang jika dikatakan gagal nyapres lantaran ada masalah internal partai koalisi digadang menjadi salah satu efek melejitnya elektabilitas Prabowo. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,2023-06-09 03:34:29,0,0,reply,golbachgoals,909824927695589376,1667072656984903687,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
161,1667072636269268996,https://twitter.com/golbachgoals/statuses/1667072636269268996,golbachgoals,Dilakukannya survei itu sebagai gambaran jika Anies Baswedan gagal menjadi calon Presiden 2024 akibat terjadi masalah di internal partai koalisi pengusung. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,Dilakukannya survei itu sebagai gambaran jika Anies Baswedan gagal menjadi calon Presiden 2024 akibat terjadi masalah di internal partai koalisi pengusung. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,2023-06-09 03:34:23,0,0,reply,golbachgoals,909824927695589376,1667072632393719808,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
165,1667072488017371136,https://twitter.com/gunardi_saja/statuses/1667072488017371136,gunardi_saja,"RT @Malika6027: Mbk Yeni Wachid bicara tentang Pak Anies Baswedan...

InsyaAllah para Nahdiyyin dan Gusdurian siap mendukung Perubahan yg d…","Mbk Yeni Wachid bicara tentang Pak Anies Baswedan...

InsyaAllah para Nahdiyyin dan Gusdurian siap mendukung Perubahan yg digagas oleh Pak Anies dan tiga partai koalisi pendukungnya.. https://t.co/WTnBHCq1GQ",2023-06-09 03:33:48,0,136,retweet,,0,0,Malika6027,1603593688005115905,1666755194875699200,994781397356335104,https://pbs.twimg.com/profile_images/1443385685545684992/Eth60mMt_normal.jpg,12035,10149,11014,2018-05-10 23:29:02,Malang,Anies Baswedan,neutral
