CustomerID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
,United States,California,Los Angeles,90003.0,"33.964131, -118.272783",33.964131,-118.272783
9237-HQITU,,California,Los Angeles,90005.0,"34.059281, -118.30742",34.059281,-118.30742
,United States,California,Los Angeles,90006.0,"34.048013, -118.293953",34.048013,-118.293953
7892-POOKP,United States,,Los Angeles,90010.0,,34.062125,-118.315709
0280-XJGEX,United States,California,Los Angeles,90015.0,"34.039224, -118.266293",34.039224,-118.266293
4190-MFLUW,United States,California,Los Angeles,90020.0,"34.066367, -118.309868",34.066367,-118.309868
8779-QRDMV,United States,California,Los Angeles,90022.0,,,-118.156582
1066-JKSGK,United States,California,Los Angeles,90024.0,"34.066303, -118.435479",34.066303,-118.435479
6467-CHFZW,United States,California,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843
8665-UTDHZ,United States,California,Los Angeles,90029.0,"34.089953, -118.294824",34.089953,-118.294824
8773-HHUOZ,United States,California,Los Angeles,90032.0,,34.078821,
6047-YHPVI,United States,California,Los Angeles,90039.0,"34.110845, -118.259595",34.110845,-118.259595
5380-WJKOV,United States,California,Los Angeles,90041.0,"34.137412, -118.207607",34.137412,-118.207607
,United States,California,Los Angeles,90042.0,,,-118.192754
7760-OYPDY,United States,,,90056.0,"33.987945, -118.370442",,-118.370442
9420-LOJKX,United States,California,Los Angeles,90061.0,"33.92128, -118.274186",33.92128,-118.274186
7495-OOKFY,,California,Los Angeles,90063.0,"34.044271, -118.185237",34.044271,-118.185237
1658-BYGOY,United States,California,Los Angeles,90065.0,"34.108833, -118.229715",34.108833,
5698-BQJOH,United States,,Beverly Hills,90211.0,"34.063947, -118.383001",34.063947,
5919-TMRGD,United States,,,90255.0,"33.97803, -118.217141",33.97803,-118.217141
9191-MYQKX,United States,,Lynwood,90262.0,"33.923573, -118.200669",33.923573,-118.200669
8637-XJIVR,United States,California,Marina Del Rey,90292.0,"33.977468, -118.445475",33.977468,-118.445475
0278-YXOOG,United States,California,Inglewood,90301.0,"33.956445, -118.358634",33.956445,-118.358634
4598-XLKNJ,United States,California,Inglewood,90303.0,"33.936291, -118.332639",,-118.332639
3192-NQECA,United States,California,Santa Monica,90403.0,"34.031529, -118.491156",34.031529,-118.491156
0486-HECZI,United States,California,Torrance,90504.0,"33.867257, -118.330794",33.867257,-118.330794
4846-WHAFZ,United States,California,Whittier,90602.0,"33.972119, -118.020188",33.972119,-118.020188
5299-RULOA,United States,California,Whittier,,"33.976678, -118.065875",33.976678,-118.065875
0404-SWRVG,,,La Habra,90631.0,"33.940619, -117.9513",33.940619,-117.9513
4412-YLTKF,United States,California,Pico Rivera,90660.0,,33.989524,-118.089299
6207-WIOLX,United States,California,Avalon,90704.0,,33.391181,
3091-FYHKI,United States,California,Harbor City,90710.0,"33.798266, -118.300237",,-118.300237
2372-HWUHI,United States,California,Lakewood,,"33.840524, -118.148403",33.840524,
0390-DCFDQ,United States,California,Los Alamitos,90720.0,"33.79499, -118.065591",,-118.065591
4080-OGPJL,,California,San Pedro,90731.0,"33.736387, -118.284363",,-118.284363
2135-RXIHG,United States,California,Carson,90745.0,"33.822295, -118.26411",33.822295,-118.26411
,United States,California,Long Beach,90804.0,"33.783047, -118.1486",33.783047,-118.1486
0867-MKZVY,United States,California,Altadena,91001.0,"34.196837, -118.142236",,-118.142236
3376-BMGFE,United States,,Monrovia,91016.0,"34.1528, -118.000482",34.1528,
3445-HXXGF,United States,California,Sierra Madre,91024.0,"34.168686, -118.057505",34.168686,-118.057505
,United States,California,Tujunga,91042.0,,34.296574,
0691-JVSYA,United States,California,Pasadena,91103.0,"34.167465, -118.165327",,-118.165327
2656-FMOKZ,United States,California,Pasadena,,"34.139402, -118.128658",34.139402,-118.128658
2070-FNEXE,United States,California,Pasadena,,"34.159007, -118.087353",34.159007,-118.087353
6317-YPKDH,United States,California,Glendale,,"34.167926, -118.267539",,-118.267539
9367-WXLCH,United States,California,Glendale,91204.0,"34.136306, -118.26036",34.136306,-118.26036
1918-ZBFQJ,United States,,,91206.0,"34.162515, -118.203869",,-118.203869
,United States,California,Glendale,,"34.182378, -118.262922",34.182378,
2472-OVKUP,,California,Canoga Park,91304.0,"34.224377, -118.632656",34.224377,-118.632656
1285-OKIPP,United States,California,Mission Hills,91345.0,"34.266389, -118.459744",34.266389,-118.459744
,United States,California,Santa Clarita,91350.0,"34.502432, -118.41459",34.502432,-118.41459
7841-TZDMQ,United States,,Sun Valley,,"34.231053, -118.338307",34.231053,-118.338307
9408-SSNVZ,United States,California,Stevenson Ranch,91381.0,"34.364153, -118.615583",34.364153,-118.615583
0742-MOABM,United States,California,,,"34.223768, -118.445461",34.223768,
2232-DMLXU,United States,California,Van Nuys,91411.0,"34.17847, -118.459472",34.17847,-118.459472
8937-RDTHP,United States,California,Burbank,91504.0,"34.213049, -118.317651",34.213049,-118.317651
1251-KRREG,United States,California,North Hollywood,91601.0,"34.1692, -118.372498",34.1692,
0094-OIFMO,United States,California,North Hollywood,91605.0,"34.207295, -118.400022",34.207295,-118.400022
9947-OTFQU,United States,California,Covina,91722.0,"34.097345, -117.906736",34.097345,-117.906736
0322-YINQP,United States,California,Covina,,"34.084747, -117.886844",34.084747,-117.886844
4629-NRXKX,,California,El Monte,,"34.079934, -118.046695",34.079934,-118.046695
9514-JDSKI,United States,California,El Monte,91732.0,"34.074492, -118.01462",,-118.01462
4959-JOSRX,United States,California,,91744.0,"34.031441, -117.936436",34.031441,-117.936436
7273-TEFQD,United States,California,,91746.0,"34.038983, -117.991372",34.038983,-117.991372
3606-TWKGI,United States,California,Rowland Heights,91748.0,"33.976753, -117.897367",33.976753,-117.897367
6323-AYBRX,United States,California,Ontario,91762.0,"34.057256, -117.667677",34.057256,-117.667677
4385-GZQXV,United States,California,Ontario,91764.0,"34.074087, -117.605618",34.074087,
6366-ZGQGL,,California,Pomona,91766.0,,34.042286,-117.756106
5940-AHUHD,United States,California,Pomona,91768.0,"34.067932, -117.785168",34.067932,-117.785168
6432-TWQLB,,California,Rosemead,91770.0,"34.065108, -118.082791",34.065108,
4484-GLZOU,United States,California,San Dimas,91773.0,,34.102119,-117.815532
9512-UIBFX,United States,California,West Covina,91791.0,"34.061634, -117.893169",34.061634,
5583-SXDAG,United States,California,Alhambra,91803.0,"34.074736, -118.145959",34.074736,-118.145959
,United States,California,Alpine,91901.0,"32.827184, -116.703729",,-116.703729
3580-REOAC,United States,California,Bonita,91902.0,"32.67117, -117.00232",32.67117,-117.00232
7534-BFESC,United States,California,Boulevard,,"32.677097, -116.304991",32.677097,-116.304991
6390-DSAZX,United States,California,Guatay,91931.0,"32.857946, -116.561917",,-116.561917
8098-LLAZX,United States,California,Jacumba,91934.0,"32.649787, -116.2237",32.649787,-116.2237
0265-EDXBD,United States,California,Mount Laguna,,"32.830852, -116.444601",32.830852,
7563-BIUPC,United States,California,Borrego Springs,92004.0,"33.200369, -116.192313",33.200369,-116.192313
2321-OMBXY,United States,California,Carlsbad,92009.0,"33.098018, -117.258203",33.098018,-117.258203
