,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
0,Putusan MAHKAMAH AGUNG Nomor 1554 K/Pid.Sus/2023,10,2,2023-06-13,2023-05-08,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
1,Putusan MAHKAMAH AGUNG Nomor 1555 K/Pid.Sus/2023,11,1,2023-06-13,2023-05-08,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2,Putusan MAHKAMAH AGUNG Nomor 1640 K/Pid.Sus/2023,11,1,2023-06-13,2023-05-25,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
3,Putusan MAHKAMAH AGUNG Nomor 1643 K/Pid.Sus/2023,8,6,2023-06-13,2023-05-25,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
4,Putusan MAHKAMAH AGUNG Nomor 1645 K/Pid.Sus/2023,7,1,2023-06-13,2023-05-25,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
5,Putusan MAHKAMAH AGUNG Nomor 1761 K/Pid.Sus/2023,8,3,2023-06-13,2023-05-30,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
6,Putusan MAHKAMAH AGUNG Nomor 1763 K/Pid.Sus/2023,7,2,2023-06-13,2023-05-30,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
7,Putusan MAHKAMAH AGUNG Nomor 2024 K/Pid.Sus/2023,11,4,2023-06-13,2023-05-25,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Farmasi,Berkekuatan Hukum Tetap
8,Upload :,8,1,2023-06-13,2023-03-02,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
9,Putus :,5,2,2023-06-13,2023-03-02,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
10,Register :,7,2,2023-06-13,2023-02-28,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
11,Putusan MAHKAMAH AGUNG Nomor 17 B/PK/PJK/2023,5,1,2023-06-13,2023-02-28,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
12,Upload :,5,2,2023-06-13,2023-04-05,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
13,Upload :,5,0,2023-06-13,2023-02-28,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
14,Putus :,6,6,2023-06-13,2023-04-05,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Keimigrasian,Berkekuatan Hukum Tetap
15,Putus :,7,3,2023-06-13,2023-04-17,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
16,Putus :,8,1,2023-06-13,2023-02-28,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
17,Register :,8,2,2023-06-13,2023-02-28,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
