id,kode_kabupaten_kota,kode_provinsi,kondisi_hutan,luas_hutan,nama_kabupaten_kota,nama_provinsi,satuan,tahun
1,3201,32,BAIK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2014
2,3201,32,SEDANG,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2014
3,3201,32,RUSAK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2014
4,3201,32,REHABILITASI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2014
5,3201,32,BERUBAH FUNGSI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2014
6,3202,32,BAIK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2014
7,3202,32,SEDANG,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2014
8,3202,32,RUSAK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2014
9,3202,32,REHABILITASI,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2014
10,3202,32,BERUBAH FUNGSI,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2014
11,3203,32,BAIK,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2014
12,3203,32,SEDANG,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2014
13,3203,32,RUSAK,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2014
14,3203,32,REHABILITASI,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2014
15,3203,32,BERUBAH FUNGSI,0,KABUPATEN CIANJUR,JAWA BARAT,HEKTAR,2014
16,3204,32,BAIK,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2014
17,3204,32,SEDANG,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2014
18,3204,32,RUSAK,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2014
19,3204,32,REHABILITASI,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2014
20,3204,32,BERUBAH FUNGSI,0,KABUPATEN BANDUNG,JAWA BARAT,HEKTAR,2014
21,3205,32,BAIK,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2014
22,3205,32,SEDANG,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2014
23,3205,32,RUSAK,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2014
24,3205,32,REHABILITASI,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2014
25,3205,32,BERUBAH FUNGSI,0,KABUPATEN GARUT,JAWA BARAT,HEKTAR,2014
26,3206,32,BAIK,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2014
27,3206,32,SEDANG,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2014
28,3206,32,RUSAK,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2014
29,3206,32,REHABILITASI,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2014
30,3206,32,BERUBAH FUNGSI,0,KABUPATEN TASIKMALAYA,JAWA BARAT,HEKTAR,2014
31,3207,32,BAIK,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2014
32,3207,32,SEDANG,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2014
33,3207,32,RUSAK,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2014
34,3207,32,REHABILITASI,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2014
35,3207,32,BERUBAH FUNGSI,0,KABUPATEN CIAMIS,JAWA BARAT,HEKTAR,2014
36,3208,32,BAIK,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2014
37,3208,32,SEDANG,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2014
38,3208,32,RUSAK,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2014
39,3208,32,REHABILITASI,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2014
40,3208,32,BERUBAH FUNGSI,0,KABUPATEN KUNINGAN,JAWA BARAT,HEKTAR,2014
41,3209,32,BAIK,13000,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2014
42,3209,32,SEDANG,1000,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2014
43,3209,32,RUSAK,2000,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2014
44,3209,32,REHABILITASI,1000,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2014
45,3209,32,BERUBAH FUNGSI,800,KABUPATEN CIREBON,JAWA BARAT,HEKTAR,2014
46,3210,32,BAIK,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2014
47,3210,32,SEDANG,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2014
48,3210,32,RUSAK,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2014
49,3210,32,REHABILITASI,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2014
50,3210,32,BERUBAH FUNGSI,0,KABUPATEN MAJALENGKA,JAWA BARAT,HEKTAR,2014
51,3211,32,BAIK,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
52,3211,32,SEDANG,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
53,3211,32,RUSAK,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
54,3211,32,REHABILITASI,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
55,3211,32,BERUBAH FUNGSI,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
56,3212,32,BAIK,15500,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
57,3212,32,SEDANG,5000,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
58,3212,32,RUSAK,25850,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
59,3212,32,REHABILITASI,7160,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
60,3212,32,BERUBAH FUNGSI,0,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
61,3213,32,BAIK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
62,3213,32,SEDANG,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
63,3213,32,RUSAK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
64,3213,32,REHABILITASI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
65,3213,32,BERUBAH FUNGSI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
66,3214,32,BAIK,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
67,3214,32,SEDANG,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
