,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
0,Putusan MAHKAMAH AGUNG Nomor 1287 PK/Pid.Sus/2022,0,0,2023-06-07,09-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
1,Putusan MAHKAMAH AGUNG Nomor 1330 K/Pid.Sus-LH/2023,1,0,2023-06-07,11-08-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Pidsus Kehutanan,Berkekuatan Hukum Tetap
2,Putusan MAHKAMAH AGUNG Nomor 1363 K/Pid.Sus/2023,2,0,2023-06-07,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
3,Putusan MAHKAMAH AGUNG Nomor 2061 K/Pid.Sus/2021,1,0,2023-06-07,26-08-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
4,Putusan MAHKAMAH AGUNG Nomor 2618 K/Pid.Sus/2021,1,0,2023-06-07,27-08-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
5,Putusan MAHKAMAH AGUNG Nomor 3359 K/Pid.Sus/2021,0,0,2023-06-07,03-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
6,Putusan MAHKAMAH AGUNG Nomor 3811 K/Pid.Sus/2020,2,1,2023-06-07,16-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
7,Putusan MAHKAMAH AGUNG Nomor 6895 K/Pid.Sus/2022,1,0,2023-06-07,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
8,Putusan MAHKAMAH AGUNG Nomor 239 PK/Pid.Sus/2023,0,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
9,Upload :,2,1,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
10,Putus :,2,0,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
11,Register :,0,0,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
12,Putusan MAHKAMAH AGUNG Nomor 132 K/TUN/TF/2023,1,0,2023-06-07,17-04-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pertanahan,Berkekuatan Hukum Tetap
13,Upload :,0,0,2023-06-07,12-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Hak Uji Materiil,Berkekuatan Hukum Tetap
14,Putus :,1,0,2023-06-07,27-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Hak Uji Materiil,Berkekuatan Hukum Tetap
15,Register :,2,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Lalu Lintas,Berkekuatan Hukum Tetap
16,Putusan MAHKAMAH AGUNG Nomor 64 P/HUM/2022,1,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
17,Putusan MAHKAMAH AGUNG Nomor 256 K/Pid/2023,2,2,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
18,Putusan MAHKAMAH AGUNG Nomor 585 K/Pid.Sus/2023,2,2,2023-06-07,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
19,Putusan MAHKAMAH AGUNG Nomor 587 K/Pid.Sus/2023,2,3,2023-06-07,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
20,Putusan MAHKAMAH AGUNG Nomor 1312 K/Pid.Sus/2023,6,0,2023-06-06,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
21,Putusan MAHKAMAH AGUNG Nomor 1458 K/Pid.Sus/2021,6,2,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
22,Putusan MAHKAMAH AGUNG Nomor 1459 K/Pid.Sus/2021,6,0,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
23,Putusan MAHKAMAH AGUNG Nomor 2660 K/Pid.Sus/2020,6,2,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
24,Putusan MAHKAMAH AGUNG Nomor 2661 K/Pid.Sus/2020,6,2,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
25,Putusan MAHKAMAH AGUNG Nomor 2876 K/Pid.Sus/2021,6,0,2023-06-06,06-10-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
26,Putusan MAHKAMAH AGUNG Nomor 3121 K/Pid.Sus/2021,6,0,2023-06-06,03-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
