,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
0,14172,457,307,4043,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,298,0
1,685,0,175,453,1,1.0,1.0,11,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,196,0
2,2010,62,71,4909,0,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,59,0
3,425,19,196,690,0,0.0,1.0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,36,0
4,416,20,7,190,0,0.0,1.0,7,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,296,0
5,7803,107,119,218,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,124,0
6,7803,107,119,218,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,101,0
7,119,0,4,108,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,188,0
8,363,34,54,3786,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,141,0
9,693,62,321,236,0,0.0,1.0,13,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,220,0
10,25694,62,104,179,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
11,10150,1430,131,3382,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,213,0
12,17142,58,60,135,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,226,0
13,15799,56,69,3860,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,226,0
14,2225,90,154,1304,0,0.0,1.0,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,50,0
15,2225,90,154,1304,0,0.0,1.0,15,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,23,0
16,18224,430,619,2717,0,0.0,1.0,8,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,30,0
17,13116,11,49,2851,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,269,0
18,2665,5,121,1493,0,0.0,1.0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,58,0
