,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
0,14172,457,307,4049,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,298,0
1,685,0,175,459,1,1.0,1.0,11,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,196,0
2,2010,62,71,4915,0,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,59,0
3,425,19,196,696,0,0.0,1.0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,36,0
4,416,20,7,197,0,0.0,1.0,7,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,296,0
5,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,124,0
6,7803,107,119,224,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,101,0
7,119,0,4,114,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,188,0
8,363,34,54,3792,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,141,0
9,693,62,321,242,0,0.0,1.0,13,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,220,0
10,25694,62,104,185,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
11,10150,1430,131,3388,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,213,0
12,17142,58,60,141,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,226,0
13,15799,56,69,3866,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,226,0
14,2225,90,154,1310,0,0.0,1.0,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,50,0
15,2225,90,154,1310,0,0.0,1.0,15,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,23,0
16,18224,430,619,2723,0,0.0,1.0,8,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,30,0
17,13116,11,49,2857,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,269,0
18,2665,5,121,1499,0,0.0,1.0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,58,0
19,6201,20,54,2369,0,0.0,1.0,9,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,45,0
20,72,829,0,172,0,0.0,1.0,15,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,272,0
21,10,0,15,546,0,0.0,1.0,12,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,38,0
22,24832,72,116,185,0,0.0,1.0,9,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
23,13301,12,69,2855,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,269,0
24,2225,53,408,2517,0,0.5,1.0,7,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,59,0
25,23337,72,73,168,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
26,1585,2074,112,231,1,1.375,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,277,0
27,1585,2074,112,231,1,1.375,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,222,0
28,112,1,11,309,0,0.0,1.0,11,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,102,0
29,1172,7,2,568,0,0.25,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,301,0
30,594,20,0,696,0,0.25,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,301,0
31,21585,1340,1407,4860,0,0.0,1.0,11,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,50,0
32,13785,19,70,2855,0,0.0,1.5,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,270,0
33,350,2,3,198,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,71,0
34,321,54,634,2184,4,4.0,1.0,6,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,195,0
