Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8656,pub.1143460380,10.1536/ihj.21-388,34853231,,Detection of Profound Myocardial Damage by Cardiac MRI in a Patient with Severe Cardiotoxicity Induced by Anti-HER2 Therapy,""Anti-HER2 therapy has greatly improved the long-term prognosis of patients with HER2-positive breast cancer. Meanwhile, by interfering with the protective effects of neuregulin-1/HER2 signaling on stressed cardiomyocytes, anti-HER2 therapy occasionally induces reversible cancer therapeutics-related cardiac dysfunction (CTRCD). Cardiac magnetic resonance (CMR) parametric mapping or myocardial feature-tracking, in combination with late gadolinium enhancement (LGE) imaging, has the potential to detect changes in the myocardium in anti-HER2 therapy-related cardiac dysfunction. Here we report a breast cancer patient who experienced life-threatening CTRCD after treatment with trastuzumab plus pertuzumab. This case showed multiple transmural LGE-positive myocardial lesions in CMR imaging and high native T1 and T2 values in CMR parametric mapping, which was apparently more extensive than those observed in most patients with anti-HER2 therapy-related cardiac dysfunction. Consistent with profound myocardial damage indicated by CMR, her cardiac function was not fully restored despite intensive care and cardioprotective drug therapy. These findings suggest the potential usefulness of LGE imaging and parametric mapping by CMR for the assessment of myocardial injury to determine the clinical severity of anti-HER2 therapy-related cardiac dysfunction."",,,International Heart Journal,,,""Adult";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8607,pub.1134365649,10.1007/s10741-020-10072-8,33405000,,Cardiotoxicity in HER2-positive breast cancer patients,""Due to the recent advances in diagnosis and management of patients with HER2-positive breast cancer, especially through novel HER2-targeted agents, cardiotoxicity becomes an emerging problem. Although chemotherapy significantly increases survival, the risk of cardiovascular disease development is high and still underestimated and could imply treatment discontinuation. Frequently, due to lack of rigorous diagnosis strategies, cardiotoxicity assessment is delayed, and, moreover, the efficacy of current therapy options in restoring heart function is questionable. For a comprehensive risk assessment, it is vital to characterize the clinical spectrum of HER2-targeted agents and anthracyclines, as well as their pathogenic pathways involved in cardiotoxicity. Advanced cardiovascular multimodal imaging and circulating biomarkers plays primary roles in early assessing cardiotoxicity and also in guiding specific preventive measures. Even though the knowledge in this field is rapidly expanding, there are still questions that arise regarding the optimal approach in terms of timing and methods. The aim of the current review aims to providean overview of currently available data."",The authors wish to acknowledge the contribution of Andrei Tomeci for graphical support.,,Heart Failure Reviews,,,""Anthracyclines";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8593,pub.1158036129,10.1186/s41747-023-00338-9,37183212,PMC10183380,Longitudinal assessment of cardiac parameters through MRI in breast cancer patients treated with anti-HER2 therapy,""BackgroundWe evaluated the early changes in left ventricular (LV) volumetric, functional, and tissue characteristics in human epidermal growth factor receptor 2 (HER2)-positive breast cancer patients treated with trastuzumab and/or pertuzumab at cardiac magnetic resonance imaging (MRI).MethodsHER2-positive breast cancer patients undergoing planned anti-HER2 therapy and nonanthracycline-based chemotherapy were enrolled and subdivided into dual anti-HER2 (trastuzumab plus pertuzumab) group and trastuzumab group. Cardiac MRI was performed before treatment and three months after starting, covering ventricular volumes, cardiac function, systolic myocardial strain, myocardial oedema, and T1 and T2 relaxation times. Cardiac dysfunction was primarily defined as a > 10% reduction in LV ejection fraction (LVEF) to < 55% and/or a > 15% global longitudinal strain (GLS) change at the follow-up MRI examination.ResultsTwenty-four HER2-positive patients were evaluated (16 in the dual anti-HER2 group, 8 in the trastuzumab group). Six patients developed cardiac dysfunction at follow-up, five of them in the dual anti-HER2 group. One patient developed symptomatic heart failure, and five patients developed asymptomatic cardiac dysfunction. Patients displayed significantly decreased systolic function and increased T1 and T2 relaxation time at follow-up (p ≤ 0.031). Systolic dysfunction remained significant in the dual anti-HER2 group. The decrease in GLS in the trastuzumab group was not significant (p = 0.169). T1 and T2 relaxation times tended to increase, but this was not significant at subgroup analysis.ConclusionsCardiac MRI scans showed frequent signs of subclinical cardiotoxicity after short-term anti-HER2 therapy and nonanthracycline-based chemotherapy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8123,pub.1164561220,10.3390/jcm12196295,37834939,PMC10573256,Multimodal Imaging of Cancer Therapy-Related Cardiac Dysfunction in Breast Cancer—A State-of-the-Art Review,""BACKGROUND: This review focuses on multimodality imaging of cardiotoxicity in cancer patients, with the aim of evaluating the effectiveness of different techniques in detecting and monitoring cardiac changes associated with cancer therapy.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METHODS: Eight studies were included in the review, covering various imaging modalities such as cardiac magnetic resonance imaging, echocardiography, and multigated acquisition scanning.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESULTS: Cardiac magnetic resonance imaging emerged as the most definitive modality, offering real-time detection, comprehensive assessment of cardiac function, the ability to detect early myocardial changes, and superior detection of cardiotoxicity when compared to the other imaging modalities. The studies also emphasize the importance of parameters such as left ventricular ejection fraction and global longitudinal strain in assessing cardiac function and predicting cardiotoxicity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCLUSION: Due to the common use of HER2 agents and anthracyclines within the breast cancer population, the LVEF as a critical prognostic measurement for assessing heart health and estimating the severity of left-sided cardiac malfunction is a commonly used endpoint. CTRCD rates differed between imaging modalities, with cardiac MRI the most sensitive. The use of multimodal cardiac imaging remains a nuanced area, influenced by local availability, the clinical question at hand, body habits, and medical comorbidities. All of the imaging modalities listed have a role to play in current care;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8107,pub.1164106610,10.1186/s12872-023-03495-2,37715125,PMC10504696,Value of Echocardiography and Cardiac Magnetic resonance in assessing left ventricular function in breast and gastric cancer patients after Anthracycline Chemotherapy,""BackgroundEchocardiography (ECHO) and cardiac magnetic resonance imaging (MRI) are used to observe changes in the left ventricular structure in patients with breast and gastric cancer after 6 cycles of chemotherapy. Based on the observed values, we aimed to evaluate the cardiotoxicity of anthracyclines in cancer patients and to analyze the consistency of the two examination methods in assessing left ventricular function after chemotherapy.MethodsFrom January 2020 to January 2022, the data of 80 patients with malignant tumors who received anthracycline chemotherapy (breast cancer, n = 40";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7880,pub.1131501962,10.1007/s10741-020-10028-y,33029698,,The role of cardiac magnetic resonance imaging in the detection and monitoring of cardiotoxicity in patients with breast cancer after treatment: a comprehensive review,""The use of chemotherapy medicines for breast cancer (BC) has been associated with an increased risk of cardiotoxicity. In recent years, there have been growing interests regarding the application of cardiovascular magnetic resonance (CMR) imaging, a safe and noninvasive modality, with the potential to identify subtle morphological and functional changes in the myocardium. In this investigation, we aimed to review the performance of various CMR methods in diagnosing cardiotoxicity in BC, induced by chemotherapy or radiotherapy. For this purpose, we reviewed the literature available in PubMed, MEDLINE, Cochrane, Google Scholar, and Scopus databases. Our literature review showed that CMR is a valuable modality for identifying and predicting subclinical cardiotoxicity induced by chemotherapy. The novel T1, T2, and extracellular volume mapping techniques may provide critical information about cardiotoxicity, in addition to other CMR features such as functional and structural changes. However, further research is needed to verify the exact role of these methods in identifying cardiotoxicity and patient management. Since multiple studies have reported the improvement of left ventricular performance following the termination of chemotherapy regimens, CMR remains an essential imaging tool for the prediction of cardiotoxicity and, consequently, decreases the mortality rate of BC due to heart failure."",,,Heart Failure Reviews,,,""Breast Neoplasms";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7839,pub.1128196299,10.1186/s12872-020-01497-y,32493217,PMC7268598,Cardiotoxicity evaluation using magnetic resonance imaging in breast Cancer patients (CareBest): study protocol for a prospective trial,""BackgroundCardiovascular disease is second only to cancer recurrence as a determinant of lifespan in cancer survivors, and cancer therapy-related cardiac dysfunction is a clinically important risk factor. We aim to investigate the use of cardiac magnetic resonance imaging (MRI) to evaluate early tissue changes and perform functional assessment of chemo- and radiation-induced cardiotoxicity and to identify MRI prognostic indicators of cardiotoxicity in breast cancer patients.MethodsA 3-min cardiac imaging protocol will be added to the breast MRI examination to diagnose cardiotoxicity in breast cancer patients. Standardized MRI-based evaluation of breast cancer and the left ventricular myocardium will be performed at baseline and at 3, 6, and 12 months and 2 years or more after cancer treatment. We will analyze both ventricular volume and ejection fraction (EF), strain of left ventricle (LV), native T1, extracellular volume fraction (ECV), and T2 values acquired in the mid LV.DiscussionThe primary result of this study will be the comparison of the prognostic value of MRI parameters (native T1, ECV, both ventricular systolic function and LV strain) for cardiotoxicity. The endpoint is defined as the occurrence of a major adverse cardiac event (MACE). The secondary outcome will be an assessment of the temporal relationships between contractile dysfunction and microstructural injury over 4 years using MRI. This study will assess the usefulness of quantitative MRI to diagnose cardiotoxicity and will clarify the temporal relationships between contractile dysfunction and microstructural injury of the LV myocardium using MRI during breast cancer treatment.Trial registrationThe protocol was registered at clinicaltrials.gov (Clinical trial no. NCT03301389) on October 4, 2017."",""The authors would like to thank MID (Medical Illustration &amp";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
