id,kode_provinsi,nama_provinsi,kesatuan_pengelolaan_hutan,jenis_kayu,produksi_kayu_bulat,satuan,tahun
1,32,JAWA BARAT,BOGOR,JATI,0.0,M3,2016
2,32,JAWA BARAT,BOGOR,PINUS,0.0,M3,2016
3,32,JAWA BARAT,BOGOR,MAHONI,0.0,M3,2016
4,32,JAWA BARAT,BOGOR,SENGON,0.0,M3,2016
5,32,JAWA BARAT,BOGOR,AGATHIS,0.0,M3,2016
6,32,JAWA BARAT,BOGOR,SONOKELING,0.0,M3,2016
7,32,JAWA BARAT,BOGOR,RASAMALA,0.0,M3,2016
8,32,JAWA BARAT,BOGOR,PUSPA,0.0,M3,2016
9,32,JAWA BARAT,BOGOR,MAESOPSIS,0.0,M3,2016
10,32,JAWA BARAT,BOGOR,ACACIA MANGIUM,7245.0,M3,2016
11,32,JAWA BARAT,BOGOR,RIMBA CAMPURAN,0.0,M3,2016
12,32,JAWA BARAT,SUKABUMI,JATI,1059.0,M3,2016
13,32,JAWA BARAT,SUKABUMI,PINUS,1320.0,M3,2016
14,32,JAWA BARAT,SUKABUMI,MAHONI,2195.0,M3,2016
15,32,JAWA BARAT,SUKABUMI,SENGON,0.0,M3,2016
16,32,JAWA BARAT,SUKABUMI,AGATHIS,0.0,M3,2016
17,32,JAWA BARAT,SUKABUMI,SONOKELING,5.0,M3,2016
18,32,JAWA BARAT,SUKABUMI,RASAMALA,581.0,M3,2016
19,32,JAWA BARAT,SUKABUMI,PUSPA,222.0,M3,2016
20,32,JAWA BARAT,SUKABUMI,MAESOPSIS,210.0,M3,2016
21,32,JAWA BARAT,SUKABUMI,ACACIA MANGIUM,79.0,M3,2016
22,32,JAWA BARAT,SUKABUMI,RIMBA CAMPURAN,336.0,M3,2016
23,32,JAWA BARAT,CIANJUR,JATI,3488.0,M3,2016
24,32,JAWA BARAT,CIANJUR,PINUS,923.0,M3,2016
25,32,JAWA BARAT,CIANJUR,MAHONI,2975.0,M3,2016
26,32,JAWA BARAT,CIANJUR,SENGON,0.0,M3,2016
27,32,JAWA BARAT,CIANJUR,AGATHIS,0.0,M3,2016
28,32,JAWA BARAT,CIANJUR,SONOKELING,0.0,M3,2016
29,32,JAWA BARAT,CIANJUR,RASAMALA,3160.0,M3,2016
30,32,JAWA BARAT,CIANJUR,PUSPA,141.0,M3,2016
31,32,JAWA BARAT,CIANJUR,MAESOPSIS,9.0,M3,2016
32,32,JAWA BARAT,CIANJUR,ACACIA MANGIUM,458.0,M3,2016
33,32,JAWA BARAT,CIANJUR,RIMBA CAMPURAN,406.0,M3,2016
34,32,JAWA BARAT,PURWAKARTA,JATI,897.0,M3,2016
35,32,JAWA BARAT,PURWAKARTA,PINUS,250.0,M3,2016
36,32,JAWA BARAT,PURWAKARTA,MAHONI,11.0,M3,2016
37,32,JAWA BARAT,PURWAKARTA,SENGON,1.0,M3,2016
38,32,JAWA BARAT,PURWAKARTA,AGATHIS,0.0,M3,2016
39,32,JAWA BARAT,PURWAKARTA,SONOKELING,10.0,M3,2016
40,32,JAWA BARAT,PURWAKARTA,RASAMALA,0.0,M3,2016
41,32,JAWA BARAT,PURWAKARTA,PUSPA,0.0,M3,2016
42,32,JAWA BARAT,PURWAKARTA,MAESOPSIS,0.0,M3,2016
43,32,JAWA BARAT,PURWAKARTA,ACACIA MANGIUM,1347.0,M3,2016
44,32,JAWA BARAT,PURWAKARTA,RIMBA CAMPURAN,77.0,M3,2016
45,32,JAWA BARAT,BANDUNG UTARA,JATI,56.0,M3,2016
46,32,JAWA BARAT,BANDUNG UTARA,PINUS,0.0,M3,2016
47,32,JAWA BARAT,BANDUNG UTARA,MAHONI,0.0,M3,2016
48,32,JAWA BARAT,BANDUNG UTARA,SENGON,0.0,M3,2016
49,32,JAWA BARAT,BANDUNG UTARA,AGATHIS,0.0,M3,2016
