id,kode_provinsi,nama_provinsi,jenis_kayu,volume_penjualan,satuan,tahun
37,32,JAWA BARAT,JATI,38240.06,M3,2018
38,32,JAWA BARAT,PINUS,24936.97,M3,2018
39,32,JAWA BARAT,DAMAR,8.3,M3,2018
40,32,JAWA BARAT,MAHONI,18614.02,M3,2018
41,32,JAWA BARAT,RASAMALA,5791.57,M3,2018
42,32,JAWA BARAT,ACACIA MANGIUM,25797.59,M3,2018
43,32,JAWA BARAT,RIMBA,6695.5,M3,2018
44,32,JAWA BARAT,KAYU BAKAR JATI,167.0,STAPEL METER,2018
45,32,JAWA BARAT,KAYU BAKAR RIMBA,1983.0,STAPEL METER,2018
46,32,JAWA BARAT,JATI,64424.0,M3,2019
47,32,JAWA BARAT,PINUS,20834.0,M3,2019
48,32,JAWA BARAT,DAMAR,2.0,M3,2019
49,32,JAWA BARAT,MAHONI,24626.0,M3,2019
50,32,JAWA BARAT,RASAMALA,1555.0,M3,2019
51,32,JAWA BARAT,ACACIA MANGIUM,16291.0,M3,2019
52,32,JAWA BARAT,RIMBA,1966.0,M3,2019
53,32,JAWA BARAT,KAYU BAKAR JATI,240.0,STAPEL METER,2019
54,32,JAWA BARAT,KAYU BAKAR RIMBA,1217.0,STAPEL METER,2019
55,32,JAWA BARAT,JATI,64424.0,M3,2020
56,32,JAWA BARAT,PINUS,20834.0,M3,2020
57,32,JAWA BARAT,DAMAR,2.0,M3,2020
58,32,JAWA BARAT,MAHONI,24626.0,M3,2020
59,32,JAWA BARAT,RASAMALA,1555.0,M3,2020
60,32,JAWA BARAT,ACACIA MANGIUM,16291.0,M3,2020
61,32,JAWA BARAT,RIMBA,1966.0,M3,2020
62,32,JAWA BARAT,KAYU BAKAR JATI,240.0,STAPEL METER,2020
63,32,JAWA BARAT,KAYU BAKAR RIMBA,1217.0,STAPEL METER,2020
