id,kode_provinsi,nama_provinsi,jenis_kayu,jumlah_penjualan,satuan,tahun
1,32,JAWA BARAT,JATI,89424065081,RUPIAH,2018
2,32,JAWA BARAT,PINUS,14679198952,RUPIAH,2018
3,32,JAWA BARAT,DAMAR,6243800,RUPIAH,2018
4,32,JAWA BARAT,MAHONI,18363275247,RUPIAH,2018
5,32,JAWA BARAT,RASAMALA,6364524910,RUPIAH,2018
6,32,JAWA BARAT,ACACIA MANGIUM,11263570270,RUPIAH,2018
7,32,JAWA BARAT,RIMBA,4853774844,RUPIAH,2018
8,32,JAWA BARAT,KAYU BAKAR JATI,30117000,RUPIAH,2018
9,32,JAWA BARAT,KAYU BAKAR RIMBA,147700200,RUPIAH,2018
10,32,JAWA BARAT,JATI,141140156,RUPIAH,2019
11,32,JAWA BARAT,PINUS,13288689,RUPIAH,2019
12,32,JAWA BARAT,DAMAR,1228,RUPIAH,2019
13,32,JAWA BARAT,MAHONI,24311300,RUPIAH,2019
14,32,JAWA BARAT,RASAMALA,1724431,RUPIAH,2019
15,32,JAWA BARAT,ACACIA MANGIUM,6910894,RUPIAH,2019
16,32,JAWA BARAT,RIMBA,867753,RUPIAH,2019
17,32,JAWA BARAT,KAYU BAKAR JATI,44137,RUPIAH,2019
18,32,JAWA BARAT,KAYU BAKAR RIMBA,81067,RUPIAH,2019
19,32,JAWA BARAT,JATI,141140156,RUPIAH,2020
20,32,JAWA BARAT,PINUS,13288689,RUPIAH,2020
21,32,JAWA BARAT,DAMAR,1228,RUPIAH,2020
22,32,JAWA BARAT,MAHONI,24311300,RUPIAH,2020
23,32,JAWA BARAT,RASAMALA,1724431,RUPIAH,2020
24,32,JAWA BARAT,ACACIA MANGIUM,6910894,RUPIAH,2020
25,32,JAWA BARAT,RIMBA,867753,RUPIAH,2020
26,32,JAWA BARAT,KAYU BAKAR JATI,44137,RUPIAH,2020
27,32,JAWA BARAT,KAYU BAKAR RIMBA,81067,RUPIAH,2020
