Cc 2;Country;Engtype 2;Gid 0;Gid 1;Gid 2;Hasc 2;Name 1;Name 2;Nl Name 1;Nl Name 2;Type 2;Varname 2;Geometry
1107;Indonesia;Regency;IDN;IDN.1_1;IDN.1.2_1;ID.AC.AB;Aceh;Aceh Barat;NA;NA;Kabupaten;NA;Polygon
1112;Indonesia;Regency;IDN;IDN.1_1;IDN.1.1_1;ID.AC.AD;Aceh;Aceh Barat Daya;NA;NA;Kabupaten;NA;MultiPolygon
1108;Indonesia;Regency;IDN;IDN.1_1;IDN.1.3_1;ID.AC.AR;Aceh;Aceh Besar;NA;NA;Kabupaten;NA;MultiPolygon
1116;Indonesia;Regency;IDN;IDN.1_1;IDN.1.4_1;ID.AC.AJ;Aceh;Aceh Jaya;NA;NA;Kabupaten;NA;MultiPolygon
1103;Indonesia;Regency;IDN;IDN.1_1;IDN.1.5_1;ID.AC.AS;Aceh;Aceh Selatan;NA;NA;Kabupaten;NA;MultiPolygon
1102;Indonesia;Regency;IDN;IDN.1_1;IDN.1.6_1;ID.AC.AN;Aceh;Aceh Singkil;NA;NA;Kabupaten;NA;MultiPolygon
1114;Indonesia;Regency;IDN;IDN.1_1;IDN.1.7_1;ID.AC.AM;Aceh;Aceh Tamiang;NA;NA;Kabupaten;NA;MultiPolygon
1106;Indonesia;Regency;IDN;IDN.1_1;IDN.1.8_1;ID.AC.AT;Aceh;Aceh Tengah;NA;NA;Kabupaten;NA;Polygon
1104;Indonesia;Regency;IDN;IDN.1_1;IDN.1.9_1;ID.AC.AG;Aceh;Aceh Tenggara;NA;NA;Kabupaten;NA;Polygon
1105;Indonesia;Regency;IDN;IDN.1_1;IDN.1.10_1;ID.AC.AI;Aceh;Aceh Timur;NA;NA;Kabupaten;NA;Polygon
1111;Indonesia;Regency;IDN;IDN.1_1;IDN.1.11_1;ID.AC.AU;Aceh;Aceh Utara;NA;NA;Kabupaten;NA;Polygon
1171;Indonesia;City;IDN;IDN.1_1;IDN.1.12_1;ID.AC.BA;Aceh;Banda Aceh;NA;NA;Kota;NA;Polygon
1117;Indonesia;Regency;IDN;IDN.1_1;IDN.1.13_1;ID.AC.BM;Aceh;Bener Meriah;NA;NA;Kabupaten;NA;Polygon
1110;Indonesia;Regency;IDN;IDN.1_1;IDN.1.14_1;ID.AC.BI;Aceh;Bireuen;NA;NA;Kabupaten;NA;Polygon
1113;Indonesia;Regency;IDN;IDN.1_1;IDN.1.15_1;ID.AC.GL;Aceh;Gayo Lues;NA;NA;Kabupaten;NA;Polygon
1173;Indonesia;City;IDN;IDN.1_1;IDN.1.16_1;ID.AC.LA;Aceh;Langsa;NA;NA;Kota;NA;MultiPolygon
1174;Indonesia;City;IDN;IDN.1_1;IDN.1.17_1;ID.AC.LH;Aceh;Lhokseumawe;NA;NA;Kota;NA;Polygon
1115;Indonesia;Regency;IDN;IDN.1_1;IDN.1.18_1;ID.AC.NR;Aceh;Nagan Raya;NA;NA;Kabupaten;NA;Polygon
1109;Indonesia;Regency;IDN;IDN.1_1;IDN.1.20_1;ID.AC.PD;Aceh;Pidie;NA;NA;Kabupaten;NA;Polygon
1118;Indonesia;Regency;IDN;IDN.1_1;IDN.1.19_1;ID.AC.PJ;Aceh;Pidie Jaya;NA;NA;Kabupaten;NA;Polygon
1172;Indonesia;City;IDN;IDN.1_1;IDN.1.21_1;ID.AC.SA;Aceh;Sabang;NA;NA;Kota;NA;MultiPolygon
1101;Indonesia;Regency;IDN;IDN.1_1;IDN.1.22_1;ID.AC.SI;Aceh;Simeulue;NA;NA;Kabupaten;NA;MultiPolygon
1175;Indonesia;City;IDN;IDN.1_1;IDN.1.23_1;ID.AC.SU;Aceh;Subulussalam;NA;NA;Kota;NA;Polygon
5103;Indonesia;Regency;IDN;IDN.2_1;IDN.2.1_1;ID.BA.BD;Bali;Badung;NA;NA;Kabupaten;NA;MultiPolygon
5106;Indonesia;Regency;IDN;IDN.2_1;IDN.2.2_1;ID.BA.BN;Bali;Bangli;NA;NA;Kabupaten;NA;Polygon
5108;Indonesia;Regency;IDN;IDN.2_1;IDN.2.3_1;ID.BA.BL;Bali;Buleleng;NA;NA;Kabupaten;NA;MultiPolygon
5171;Indonesia;City;IDN;IDN.2_1;IDN.2.4_1;ID.BA.DE;Bali;Denpasar;NA;NA;Kota;NA;MultiPolygon
5104;Indonesia;Regency;IDN;IDN.2_1;IDN.2.5_1;ID.BA.GI;Bali;Gianyar;NA;NA;Kabupaten;NA;Polygon
5101;Indonesia;Regency;IDN;IDN.2_1;IDN.2.6_1;ID.BA.JE;Bali;Jembrana;NA;NA;Kabupaten;NA;Polygon
5107;Indonesia;Regency;IDN;IDN.2_1;IDN.2.7_1;ID.BA.KA;Bali;Karangasem;NA;NA;Kabupaten;NA;Polygon
5105;Indonesia;Regency;IDN;IDN.2_1;IDN.2.8_1;ID.BA.KL;Bali;Klungkung;NA;NA;Kabupaten;NA;MultiPolygon
5102;Indonesia;Regency;IDN;IDN.2_1;IDN.2.9_1;ID.BA.TA;Bali;Tabanan;NA;NA;Kabupaten;NA;Polygon
1901;Indonesia;Regency;IDN;IDN.3_1;IDN.3.4_1;ID.BB.BA;Bangka Belitung;Bangka;NA;NA;Kabupaten;NA;MultiPolygon
1903;Indonesia;Regency;IDN;IDN.3_1;IDN.3.1_1;ID.BB.BB;Bangka Belitung;Bangka Barat;NA;NA;Kabupaten;NA;MultiPolygon
1905;Indonesia;Regency;IDN;IDN.3_1;IDN.3.2_1;ID.BB.BS;Bangka Belitung;Bangka Selatan;NA;NA;Kabupaten;NA;MultiPolygon
1904;Indonesia;Regency;IDN;IDN.3_1;IDN.3.3_1;ID.BB.BG;Bangka Belitung;Bangka Tengah;NA;NA;Kabupaten;NA;MultiPolygon
1902;Indonesia;Regency;IDN;IDN.3_1;IDN.3.6_1;ID.BB.BE;Bangka Belitung;Belitung;NA;NA;Kabupaten;NA;MultiPolygon
1906;Indonesia;Regency;IDN;IDN.3_1;IDN.3.5_1;ID.BB.BT;Bangka Belitung;Belitung Timur;NA;NA;Kabupaten;NA;MultiPolygon
1971;Indonesia;City;IDN;IDN.3_1;IDN.3.7_1;ID.BB.PP;Bangka Belitung;Pangkalpinang;NA;NA;Kota;NA;Polygon
3672;Indonesia;City;IDN;IDN.4_1;IDN.4.1_1;ID.BT.CL;Banten;Cilegon;NA;NA;Kota;NA;MultiPolygon
3673;Indonesia;City;IDN;IDN.4_1;IDN.4.2_1;ID.BT.SK;Banten;Kota Serang;NA;NA;Kota;NA;MultiPolygon
3671;Indonesia;City;IDN;IDN.4_1;IDN.4.3_1;ID.BT.TM;Banten;Kota Tangerang;NA;NA;Kota;NA;Polygon
3602;Indonesia;Regency;IDN;IDN.4_1;IDN.4.4_1;ID.BT.LE;Banten;Lebak;NA;NA;Kabupaten;NA;MultiPolygon
3601;Indonesia;Regency;IDN;IDN.4_1;IDN.4.5_1;ID.BT.PA;Banten;Pandeglang;NA;NA;Kabupaten;NA;MultiPolygon
3604;Indonesia;Regency;IDN;IDN.4_1;IDN.4.6_1;ID.BT.SR;Banten;Serang;NA;NA;Kabupaten;NA;MultiPolygon
3603;Indonesia;Regency;IDN;IDN.4_1;IDN.4.8_1;ID.BT.TG;Banten;Tangerang;NA;NA;Kabupaten;NA;Polygon
3674;Indonesia;City;IDN;IDN.4_1;IDN.4.7_1;ID.BT.TS;Banten;Tangerang Selatan;NA;NA;Kota;NA;Polygon
1771;Indonesia;City;IDN;IDN.5_1;IDN.5.4_1;ID.BE.BE;Bengkulu;Bengkulu;NA;NA;Kota;NA;Polygon
