id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1655783339562004486,"https://twitter.com/AmirDemokrat/statuses/1655783339562004486","https://twitter.com/AmirDemokrat/statuses/1655783339562004486","AmirDemokrat","RT @Abaaah: Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih b…","Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih berpeluang memenangkan Pilpres 2024 dibandingkan duet Anies-Khofifah Indar Parawansa.  #DemokratS14P AniesAHY untuk Perubahan https://t.co/HSRiIz4P1n","2023-05-08 23:54:45","Twitter for Android",0,20,"in","","retweet","",0,0,"Abaaah",44295605,1655121767256707075,1387091219172388864,"https://pbs.twimg.com/profile_images/1387096742244409345/LiCdc0Oo_normal.jpg",23434,1314,941,"2021-04-27 13:08:28","Partai Demokrat","Gayo Lues, Nangro Aceh Darussa","",
2,1655774016135905280,"https://twitter.com/hanggonomurtopo/statuses/1655774016135905280","https://twitter.com/hanggonomurtopo/statuses/1655774016135905280","hanggonomurtopo","Bursa Cawapres Anies Baswedan Berdasaran Raker NasDem, Andika Perkasa Hingga Khofifah Indar Parawansa https://t.co/2Gphf3uRfc","Bursa Cawapres Anies Baswedan Berdasaran Raker NasDem, Andika Perkasa Hingga Khofifah Indar Parawansa https://t.co/2Gphf3uRfc","2023-05-08 23:17:42","dlvr.it",0,0,"in","","original","",0,0,"",0,0,905254398078500864,"https://pbs.twimg.com/profile_images/905260612837457920/4747qpYX_normal.jpg",8548,43,122,"2017-09-05 22:20:42","","","",
3,1655769680106360832,"https://twitter.com/BANGSAygSUJUD/statuses/1655769680106360832","https://twitter.com/BANGSAygSUJUD/statuses/1655769680106360832","BANGSAygSUJUD","RT @Alie_Fahnoor: Politisi Gerindra Ahmad Riza mengungkapkan sejumlah nama kandidat calon wakil presiden, antara lain: Ada Pak Sandiaga Uno…","Politisi Gerindra Ahmad Riza mengungkapkan sejumlah nama kandidat calon wakil presiden, antara lain: Ada Pak Sandiaga Uno, Ibu Khofifah Indar Parawansa, Pak Mahfud MD hingga Gibran Rakabuming dan jadi pertimbangan Ketua Umum plus calon presiden #Prabowo2024 di Pilpres 2024 besok https://t.co/uEa7EOtn9N","2023-05-08 23:00:29","Twitter for Android",0,1,"in","","retweet","",0,0,"Alie_Fahnoor",1121831857098641408,1655769574992936961,1189039138835554304,"https://pbs.twimg.com/profile_images/1654738726281691138/NWvQwPPQ_normal.jpg",66130,20210,28114,"2019-10-29 00:40:11","#PrabowoPresiden2024 #⛔Khilafah #PenghebatanAkhlak #PegiatPancasila #PejuangOrangPapuaMandiri #LovePapua❤️🇮🇩 #JalinPersatuan #KitabNatanegara #UKMHebat","","",
4,1655769574992936961,"https://twitter.com/Alie_Fahnoor/statuses/1655769574992936961","https://twitter.com/Alie_Fahnoor/statuses/1655769574992936961","Alie_Fahnoor","Politisi Gerindra Ahmad Riza mengungkapkan sejumlah nama kandidat calon wakil presiden, antara lain: Ada Pak Sandiaga Uno, Ibu Khofifah Indar Parawansa, Pak Mahfud MD hingga Gibran Rakabuming dan jadi pertimbangan Ketua Umum plus calon presiden #Prabowo2024 di Pilpres 2024 besok https://t.co/uEa7EOtn9N","Politisi Gerindra Ahmad Riza mengungkapkan sejumlah nama kandidat calon wakil presiden, antara lain: Ada Pak Sandiaga Uno, Ibu Khofifah Indar Parawansa, Pak Mahfud MD hingga Gibran Rakabuming dan jadi pertimbangan Ketua Umum plus calon presiden #Prabowo2024 di Pilpres 2024 besok https://t.co/uEa7EOtn9N","2023-05-08 23:00:04","Twitter for Android",5,1,"in","","original","",0,0,"",0,0,1121831857098641408,"https://pbs.twimg.com/profile_images/1520822141490712576/z6I_siV6_normal.jpg",153533,1145,2584,"2019-04-26 13:42:12","You\'𝕖𝕣_MyFirst_Light","𝙅𝙖𝙠𝙖𝙧𝙩𝙖","",
5,1655766785348759553,"https://twitter.com/Giacinta__/statuses/1655766785348759553","https://twitter.com/Giacinta__/statuses/1655766785348759553","Giacinta__",",,Gubernur Jatim Khofifah Indar Parawansa, dan Bupati Gresik Fandi Akhmad Yani.",",,Gubernur Jatim Khofifah Indar Parawansa, dan Bupati Gresik Fandi Akhmad Yani.","2023-05-08 22:48:58","Twitter Web App",0,0,"in","","reply","Giacinta__",1355019935223697411,1655766782836342789,"",0,0,1355019935223697411,"https://pbs.twimg.com/profile_images/1355019988147441665/hiuB2ov7_normal.jpg",6223,34,249,"2021-01-29 00:08:27","Kpoper. BTS | EXO | SUJU","","",
6,1655708083858079747,"https://twitter.com/RashidMuchtar/statuses/1655708083858079747","https://twitter.com/RashidMuchtar/statuses/1655708083858079747","RashidMuchtar","Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih berpeluang memenangkan Pilpres 2024 dibandingkan duet Anies-Khofifah Indar Parawansa.  #DemokratS14P AniesAHY untuk Perubahan https://t.co/a2wXT7lFCX","Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih berpeluang memenangkan Pilpres 2024 dibandingkan duet Anies-Khofifah Indar Parawansa.  #DemokratS14P AniesAHY untuk Perubahan https://t.co/a2wXT7lFCX","2023-05-08 18:55:43","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,1510424636189659137,"https://pbs.twimg.com/profile_images/1510424841035268097/JYzR0Bi4_normal.jpg",7503,282,273,"2022-04-02 21:11:24","Anak Medan di Jakarta, Cinta Indonesia","","",
7,1655692274049908736,"https://twitter.com/SitaFais/statuses/1655692274049908736","https://twitter.com/SitaFais/statuses/1655692274049908736","SitaFais","RT @JatimPemprov: Gubernur Jawa Timur, Khofifah Indar Parawansa, menghadiri sekaligus membuka Festival Rujak Ulek Tahun 2023 di Kya Kya, Ja…","Gubernur Jawa Timur, Khofifah Indar Parawansa, menghadiri sekaligus membuka Festival Rujak Ulek Tahun 2023 di Kya Kya, Jalan Kembang Jepun Surabaya, Sabtu Malam (6/5/2023). @KhofifahIP @EmilDardak @kemkominfo @kempanrb @BanggaSurabaya @SapawargaSby https://t.co/aXl4nZKNdp","2023-05-08 17:52:54","Twitter for Android",0,4,"in","","retweet","",0,0,"JatimPemprov",771337601269714944,1655371769828573184,840327328471306241,"https://pbs.twimg.com/profile_images/1415125198135730177/lSl9bias_normal.jpg",2130,166,280,"2017-03-10 17:23:42","","Nganjuk, Indonesia","",
8,1655624137682096129,"https://twitter.com/monologis_id/statuses/1655624137682096129","https://twitter.com/monologis_id/statuses/1655624137682096129","monologis_id","Gubernur Lampung Arinal Djunaidi dan Gubernur Jawa Timur Khofifah Indar Parawansa melakukan penandatanganan perjanjian kerja sama misi dagang dan investasi.  https://t.co/K6o4s3hQTj","Gubernur Lampung Arinal Djunaidi dan Gubernur Jawa Timur Khofifah Indar Parawansa melakukan penandatanganan perjanjian kerja sama misi dagang dan investasi.  https://t.co/K6o4s3hQTj","2023-05-08 13:22:09","Twitter Web App",0,0,"in","","original","",0,0,"",0,0,1058474317,"https://pbs.twimg.com/profile_images/1239644146920337411/XlvAxF_P_normal.jpg",49179,440,1371,"2013-01-03 13:30:19","referensi cerdas","BANDAR LAMPUNG","",
9,1655601570585939969,"https://twitter.com/pemprov_lampung/statuses/1655601570585939969","https://twitter.com/pemprov_lampung/statuses/1655601570585939969","pemprov_lampung","Misi Dagang dan Investasi Pemprov Lampung dan Jatim, Gubernur Arinal Sambut Hangat Gubernur Jatim Khofifah Indar Parawansa  https://t.co/KHOAeVMBtz https://t.co/iFoZAueSyk","Misi Dagang dan Investasi Pemprov Lampung dan Jatim, Gubernur Arinal Sambut Hangat Gubernur Jatim Khofifah Indar Parawansa  https://t.co/KHOAeVMBtz https://t.co/iFoZAueSyk","2023-05-08 11:52:28","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,890394175035777024,"https://pbs.twimg.com/profile_images/1547544455955218432/cvs-6JB3_normal.jpg",4046,72,2749,"2017-07-26 22:11:28","Dikelola oleh Biro Administrasi Pimpinan Setda Provinsi Lampung || Rakyat Lampung Berjaya || Call Center (24 Jam) : 0811-790-5000","Bandar Lampung, Lampung","",
10,1655595390131896323,"https://twitter.com/GunawanBG2/statuses/1655595390131896323","https://twitter.com/GunawanBG2/statuses/1655595390131896323","GunawanBG2","RT @Abaaah: Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih b…","Peneliti Indikator: Anies-AHY Berpeluang Menang dibanding Anies-Khofifah. Bawono Kumoro menilai duet Anies Baswedan-AHY lebih berpeluang memenangkan Pilpres 2024 dibandingkan duet Anies-Khofifah Indar Parawansa.  #DemokratS14P AniesAHY untuk Perubahan https://t.co/HSRiIz4P1n","2023-05-08 11:27:55","Twitter Web App",0,20,"in","","retweet","",0,0,"Abaaah",44295605,1655121767256707075,1235624879908466690,"https://pbs.twimg.com/profile_images/1235625409137356802/djdsLBmR_normal.jpg",5520,280,42,"2020-03-05 12:55:30","Berbuat baik","","",
