,title,date,description,link
0,Begini Cara Ampuh Biar ASN Tak Langgar Banyak Aturan,"Selasa, 18 Apr 2023 14:50 WIB","Lembaga Administrasi Negara (LAN) menyatakan penerapan Nilai Dasar, Kode Etik, Kode Perilaku (NKK) penting dilakukan untuk mengendalikan pelanggaran oleh ASN.",https://finance.detik.com/berita-ekonomi-bisnis/d-6680199/begini-cara-ampuh-biar-asn-tak-langgar-banyak-aturan
1,PNS Jabatan Ini Punya Diminta Melek Teknologi Informasi,"Senin, 20 Mar 2023 15:09 WIB",Adanya jabatan fungsional analis kebijakan diharapkan bisa mengawal mutu dan kualitas kebijakan di Indonesia.,https://finance.detik.com/berita-ekonomi-bisnis/d-6629614/pns-jabatan-ini-punya-diminta-melek-teknologi-informasi
2,PNS Didorong buat Genjot Kompetensi di Sektor Digital,"Sabtu, 11 Feb 2023 16:54 WIB",Lembaga Administrasi Negara (LAN) memastikan mendorong kompetensi para aparatur sipil negara (ASN) atau PNS berbasis elektronik atau digital.,https://finance.detik.com/berita-ekonomi-bisnis/d-6563823/pns-didorong-buat-genjot-kompetensi-di-sektor-digital
3,"Punya Hak 20 Jam Pelajaran Setiap Tahun, PNS Diminta Lakukan Ini","Kamis, 01 Des 2022 16:28 WIB",Pemerintah berupaya untuk mempersiapkan sumber daya manusia (SDM) aparatur yang kompeten dan profesional.,https://finance.detik.com/berita-ekonomi-bisnis/d-6438063/punya-hak-20-jam-pelajaran-setiap-tahun-pns-diminta-lakukan-ini
4,Wow! Jumlah Pejabat Fungsional Analis Kebijakan PNS Naik 1.400% dari 2019,"Selasa, 25 Okt 2022 14:36 WIB",Lembaga Administrasi Negara (LAN) mencatat per 1 Oktober 2022 terdapat 7.465 PNS sebagai Pejabat Fungsional Analis Kebijakan (JFAK).,https://finance.detik.com/berita-ekonomi-bisnis/d-6368372/wow-jumlah-pejabat-fungsional-analis-kebijakan-pns-naik-1400-dari-2019
5,Sri Mulyani Sanjung Instansi yang Bisa Pakai Anggaran buat Hal Ini,"Jumat, 23 Sep 2022 17:36 WIB",Sri Mulyani menjelaskan APBN jadi garda terdepan dalam menghadapi tantangan penanganan Covid-19 di dalam negeri dan pemulihan ekonomi nasional.,https://finance.detik.com/berita-ekonomi-bisnis/d-6309100/sri-mulyani-sanjung-instansi-yang-bisa-pakai-anggaran-buat-hal-ini
6,"ASN Dituntut untuk Ikuti Perkembangan Zaman, Caranya?","Kamis, 15 Sep 2022 16:52 WIB",Aparatur Sipil Negara (ASN) dituntut untuk bisa adaptif dalam mengikuti perkembangan zaman yang terjadi saat ini.,https://finance.detik.com/berita-ekonomi-bisnis/d-6294008/asn-dituntut-untuk-ikuti-perkembangan-zaman-caranya
7,"Komposisi Birokrasi di RI, Kebanyakan Diisi PNS 'Tua'","Jumat, 05 Agu 2022 14:14 WIB","Kepala Lembaga Administrasi Negara (LAN) Adi Suryanto mengungkapkan berdasarkan laporan BKN, birokrasi saat ini menghadapi fase penuaan.",https://finance.detik.com/berita-ekonomi-bisnis/d-6218130/komposisi-birokrasi-di-ri-kebanyakan-diisi-pns-tua
8,"Dorong Kompetensi, PNS Dapat Pelatihan Khusus Lagi","Rabu, 29 Jun 2022 13:35 WIB",Badan Nasional Penanggulangan Bencana (BNPB) mencatat kenaikan angka total bencana alam dari tahun 2020 ke 2021.,https://finance.detik.com/berita-ekonomi-bisnis/d-6153856/dorong-kompetensi-pns-dapat-pelatihan-khusus-lagi
9,LAN Turun Tangan Atasi Masalah CPNS di Papua,"Rabu, 22 Jun 2022 16:13 WIB",Mengatasi berbagai permasalahan terkait dengan pelaksanaan Latsar CPNS di Provinsi Papua dibutuhkan kolaborasi dan sinergi dari pemerintah pusat dan daerah.,https://finance.detik.com/berita-ekonomi-bisnis/d-6141506/lan-turun-tangan-atasi-masalah-cpns-di-papua
