,title,date,description,link
0,LAN Berharap Kementerian dan Lembaga Update Data Analis Kebijakan melalui eNIAKN,"Selasa, 25 Oktober 2022 - 09:51 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/25/09515811/lan-berharap-kementerian-dan-lembaga-update-data-analis-kebijakan-melalui
1,"Kembali Gelar Virtual Public Lecturer Seri IX, LAN Terus Dorong Peran Analis Kebijakan dalam Pencapaian Tujuan SDGs","Kamis, 20 Oktober 2022 - 16:58 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/20/16584251/kembali-gelar-virtual-public-lecturer-seri-ix-lan-terus-dorong-peran-analis
2,"Miliki Laporan Keuangan Transparan dan Akuntabel, LAN Raih WTP 15 Kali Berturut-turut","Jumat, 23 September 2022 - 09:55 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/23/09551061/miliki-laporan-keuangan-transparan-dan-akuntabel-lan-raih-wtp-15-kali
3,"Menjadi Pusat Studi Kebijakan EROPA sejak 2018, Ini Peran LAN","Sabtu, 17 September 2022 - 12:34 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/12344281/menjadi-pusat-studi-kebijakan-eropa-sejak-2018-ini-peran-lan
4,Seminar Policy Brief Rumuskan Super-App sebagai Media Integrasi Manajemen Talenta ASN ,"Sabtu, 17 September 2022 - 11:44 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/11443491/seminar-policy-brief-rumuskan-super-app-sebagai-media-integrasi-manajemen
5,"Tingkatkan Kualitas ASN, LAN Gelar Advokasi Corporate University hingga Sosialisasi Kebijakan Orientasi PPPK","Kamis, 15 September 2022 - 14:30 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/15/14302391/tingkatkan-kualitas-asn-lan-gelar-advokasi-corporate-university-hingga
6,"Peringati Hari Jadi Ke-65, LAN Berikan Apresiasi “LAN Award” Kepada Stakeholder","Selasa, 9 Agustus 2022 - 19:56 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/09/19563271/peringati-hari-jadi-ke-65-lan-berikan-apresiasi-lan-award-kepada-stakeholder
7,"Kembangkan Model Pelatihan Kepemimpinan Milenial, LAN Gandeng GNIK Luncurkan ""ASN Talent Academy""","Jumat, 5 Agustus 2022 - 10:05 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/05/10053241/kembangkan-model-pelatihan-kepemimpinan-milenial-lan-gandeng-gnik-luncurkan
8,"Kualitas ASN Terus Meningkat, tetapi Masih di Bawah Parameter Global","Rabu, 27 Juli 2022 - 10:52 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/07/27/10525971/kualitas-asn-terus-meningkat-tetapi-masih-di-bawah-parameter-global
9,Kepala LAN Sebut Butuh Kolaborasi dan Sinergi untuk Atasi Permasalahan Latsar CPNS Papua,"Rabu, 22 Juni 2022 - 12:07 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/06/22/12074491/kepala-lan-sebut-butuh-kolaborasi-dan-sinergi-untuk-atasi-permasalahan
10,LAN Berharap Kementerian dan Lembaga Update Data Analis Kebijakan melalui eNIAKN,"Selasa, 25 Oktober 2022 - 09:51 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/25/09515811/lan-berharap-kementerian-dan-lembaga-update-data-analis-kebijakan-melalui
11,"Kembali Gelar Virtual Public Lecturer Seri IX, LAN Terus Dorong Peran Analis Kebijakan dalam Pencapaian Tujuan SDGs","Kamis, 20 Oktober 2022 - 16:58 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/20/16584251/kembali-gelar-virtual-public-lecturer-seri-ix-lan-terus-dorong-peran-analis
12,"Miliki Laporan Keuangan Transparan dan Akuntabel, LAN Raih WTP 15 Kali Berturut-turut","Jumat, 23 September 2022 - 09:55 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/23/09551061/miliki-laporan-keuangan-transparan-dan-akuntabel-lan-raih-wtp-15-kali
13,"Menjadi Pusat Studi Kebijakan EROPA sejak 2018, Ini Peran LAN","Sabtu, 17 September 2022 - 12:34 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/12344281/menjadi-pusat-studi-kebijakan-eropa-sejak-2018-ini-peran-lan
