,title,date,description
0,LAN Raih Peringkat II Pelaksanaan Kinerja Anggaran Terbaik Tahun 2022,2023-05-17T22:01:59+07:00,Lembaga Administrasi Negara (LAN) kembali mengukir prestasi dengan meraih peringkat ke II Pelaksanaan Kinerja Anggaran Terbaik Tahun 2022
1,Netralitas Lembaga Administrasi Negara Diapresiasi KASN,2023-04-19T19:16:45+07:00,"Lembaga Administrasi Negara (LAN) berhasil meraih predikat tertinggi “Patuh” pada pengukuran Instrumen Maturitas Penerapan Nilai Dasar, Kode Etik, Kode Perilaku (NKK) ASN yang dilakukan oleh Komisi Aparatur Sipil Negara (KASN)"
2,Semua&nbsp;Pegawai Lembaga Administrasi Negara Sudah Lapor LHKPN ke KPK,2023-03-25T17:00:12+07:00,Tingkat kepatuhan pejabat dan wajib lapor Lembaga Administrasi Negara (LAN) dalam menyampaikan Laporan Hasil Kekayaan Pejabat Negara (LHKPN) sangat tinggi.
3,LAN Raih 10 Besar Indikator Kinerja Pelaksanaan Anggaran Kementerian/Lembaga 2022 Terbaik,2023-03-21T21:15:16+07:00,"Lembaga Administrasi Negara (LAN) memperoleh Nilai Indikator Kinerja Pelaksanaan Anggaran (IKPA) Tahun 2022 95,83."
4,Lembaga Administrasi Negara Komitmen Wujudkan SDM Berkualitas,2023-02-18T10:45:20+07:00,Lembaga Administrasi Negara berupaya agar birokrasi semakin lebih berkualitas menuju reformasi birokrasi
5,Implementasi Sistem Pemerintahan Berbasis Elektronik LAN 2022 Diakui Menpan RB,2023-02-13T17:48:45+07:00,Lembaga Administrasi Negara (LAN) memperoleh nilai tertinggi untuk kategori Lembaga Pemerintah Non Kementerian (LPNK) pada pada penerapan indeks Sistem Pemerintahan Berbasis Elektronik (SPBE) tahun 2022
6,LAN Komitmen Perkuat Pengembangan Kompetensi ASN,2023-01-21T19:15:50+07:00,Lembaga Administrasi Negara (LAN) sebagai instansi pembina pelatihan aparatur di seluruh Indonesia
7,"Lulus Magang di LAN, ASN Papua Harus Jadi Agen Perubahan di Wilayahnya",2022-12-21T16:20:42+07:00,Dalam rangka mewujudkan Indonesia emas 2045 mendatang perlu didukung dengan birokrasi yang handal dan profesional tidak terkecuali bagi Aparatur Sipil Negara (ASN) di Provinsi Papua
8,"Terima DIPA Anggaran dari Jokowi, LAN Siap Kebut Program Prioritas Nasional",2022-12-01T18:40:28+07:00,"Kepala Lembaga Administrasi Negara (LAN) Dr. Adi Suryanto, M.Si menerima Daftar Isian Pelaksanaan Anggaran (DIPA) Tahun 2023 dari Presiden Jokowi."
9,"Jamin Kualitas SDM, LAN Serahkan Sertifikat Akreditasi 44 Lembaga Pelatihan",2022-11-30T13:15:06+07:00,Lembaga pelatihan memiliki peran strategis dalam mempersiapkan talenta sumber daya manusia (SDM) aparatur yang kompeten dan profesional.
10,Lembaga Administrasi Negara Dorong Terwujudnya Birokrasi Digital,2022-11-17T16:56:29+07:00,Mewujudkan birokrasi digital merupakan sebuah tantangan baru pasca pandemi Covid-19 yang melanda seluruh dunia termasuk Indonesia.
11,"Tingkatkan Kompetensi, LAN Buka Program Magang ASN Papua",2022-11-08T16:00:45+07:00,Lembaga Administrasi Negara (LAN) membuka Piloting Magang Bagi ASN Provinsi Papua Tahun 2022 dan Soft Launching Pedoman Magang
12,"LAN Luncurkan e-Nomor Induk Analis Kebijakan Nasional, Apa Fungsinya?",2022-10-25T16:44:17+07:00,"Berdasarkan data yang dihimpun oleh Lembaga Administrasi Negara (LAN), hingga 1 Oktober 2022, saat ini telah terdaftar sebanyak 7.465 Pejabat Fungsional Analis Kebijakan"
13,Mampukah Indonesia Kejar Target Birokrasi Kelas Dunia di 2024?,2022-09-17T20:30:25+07:00,Pemerintah memiliki visi mewujudkan world class bureaucracy atau birokrasi kelas dunia pada tahun 2024.
14,LAN: PPPK Jadi Solusi Jitu Kebutuhan SDM di Pemerintahan,2022-09-16T17:15:00+07:00,Lembaga Administrasi Negara (LAN) memandang kehadiran PPPK sebagai bagian dari ASN adalah jawaban atas kebutuhan SDM aparatur negara.
15,LAN Apresiasi Kerja Sama Pemda Wujudkan ASN Kompeten,2022-08-10T22:42:58+07:00,Lembaga Administrasi Negara (LAN) genap berusia 65 (enam puluh lima) tahun.
16,LAN Kembangkan Model Pelatihan Kepemimpinan Milenial,2022-08-06T16:30:23+07:00,Lembaga Administrasi Negara (LAN) terus bertekad untuk terus mengakselerasi pengembangan kompetensi Aparatur Sipil Negara (ASN)
17,ASN Diminta Jadi Agen Perubahan Kualitas Lingkungan,2022-06-29T23:10:34+07:00,"Gentingnya kondisi alam yang semakin hari semakin memburuk, ASN harus menjadi agen perubahan untuk peningkatan kualitas lingkungan."
