,Tweet,Sentiment
0,"""Di hadapan pengusaha muda se-Jawa Tengah, Kepala LKPP RI Hendrar Prihadi menegaskan terkait clean and clear nya proses pengadaan pemerintah hari ini",Netral
1,"""@kumparan @DPR_RI @Kemenag_RI @LKPP_RI @BPKHRI 3 ancaman besar pengelolaan negara: 1.Kelembaman birokrasi terjebak rutin administrasi, boros dan tidak kreatif; 2.Gejala parkinson karena membengkak penunjang;3",Positif
2,"""@KemenkeuRI @LKPP_RI @BappenasRI terus bersinergi dalam mendorong percepatan pembangunan IKN demi mewujudkan 4 pilar dalam visi Indonesia 2045",Positif
3,"""Untuk itu Hendi bersama LKPP RI kemudian menerbitkan Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah dengan Badan Usaha di Ibu Kota Nusantara.""",Netral
4,"""Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah atau LKPP RI Hendrar Prihadi menyebutkan, untuk menyelesaikan tahap awal pembangunan Ibu Kota Negara (IKN) Nusantara yang ditargetkan pada tanggal 17 Agustus 2024, perlu adanya dukungan yang diberikan oleh semua pihak.""",Positif
5,"""—baik investor dalam negeri maupun investor asing untuk ikut membangun Ibu Kota Nusantara (IKN),” Kata Kepala LKPP Hendrar Prihadi saat membuka dan memberi arahan dalam Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara pada Kamis (9/1).""",Positif
6,"""“Berbagai inovasi pengadaan yang telah digagas oleh LKPP terkait dengan tata cara Pengadaan Badan Usaha melalui skema KPBU di Ibu Kota Nusantara diharapkan dapat mengakselerasi pembangunan di Ibu Kota Nusantara sekaligus menarik investor—""",Positif
7,"""—dan Peraturan LKPP Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah Dengan Badan Usaha di Ibu Kota Nusantara dengan mengedepankan aspek kemudahan, percepatan, kepastian, dan simplifikasi dalam pelaksanaanya.""",Netral
8,"""Pembiayaan yang mencakup Persiapan, Pembangunan, dan Pemindahan Ibu Kota Negara serta Penyelenggaraan Pemerintahan Daerah Khusus Ibu Kota Nusantara ini, dilakukan melalui skema KPBU yang diatur dalam Peraturan Pemerintah Nomor 17 Tahun 2022–""",Netral
9,"""Oleh karena itu, pemerintah telah menetapkan Skema Pembiayaan melalui Kerja Sama Pemerintah dengan Badan Usaha (KPBU) sebagai salah satu skema pembiayaan prioritas",Positif
10,"""Sejalan dengan itu, proses pemindahan Ibu Kota Negara membutuhkan pembiayaan yang sangat besar dan tidak mungkin dipenuhi oleh APBN sepenuhnya, sehingga lebih dari 80% kebutuhan anggaran diharapkan akan melibatkan partisipasi swasta.""",Netral
11,"""Penetapan perpindahan Ibu Kota Negara diharapkan dapat mengurangi kesenjangan dan mewujudkan pembangunan Indonesia yang berkelanjutan.""",Positif
12,"""—melainkan transformasi besar bangsa Indonesia yang menjadi prioritas nasional pemerintah dalam rangka mewujudkan visi Indonesia Emas 2045.""",Positif
13,"""Jakarta - Pemindahan Ibu Kota Negara RI semula dari DKI Jakarta ke Ibu Kota Nusantara, Kalimantan Timur tidak hanya sekadar membangun gedung pemerintahan—""",Netral
14,"""@hendrarprihadi @LKPP_RI hooh LKPP""",Netral
15,"""Selamat memperingati #HariPersNasional2023.Pers berperan sebagai penyebar informasi kebenaran dan pilar penegak aspirasi masyarakat.Wujudkan Pers bebas yang bertanggung jawab dengan berdasarkan prinsip-prinsip etika jurnalistik",Positif
16,"""@Strategi_Bisnis Coba di lelang di LPSE deh",Netral
17,"""@hendrarprihadi @LKPP_RI LKPP""",Netral
18,"""Halo RekansDJPPR!Ingin tahu tentang peraturan skema KPBU untuk pembangunan Ibu Kota Nusantara (IKN)?Yuk ikut menyimak acara:🌟Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara🌟Kolaborasi antara @KemenkeuRI @BappenasRI dan @LKPP_RI",Positif
19,"""""Penggunaan PDN di Gorontalo Ditargetkan Naik Menjadi 88,9 Persen""https://t.co/3Fug1dpqXk@kemkominfo @KemenkopUKM @LKPP_RI https://t.co/P5RPMzweS2""",Positif
20,"""Kepala LKPP RI, Hendrar Prihadi (Hendi) keliling Indonesia untuk gemakan semangat Bangga Buatan Indonesia https://t.co/WAtOCT8G1W""",Positive
21,"""Dinas Koperasi UKM Perindustrian Perdagangan Kolaborasi dengan LKPP RI Dampingi 55 Pelaku UMKM Cantumkan Produk di Katalog Elektronik Lokal#KolaborasiMedanBerkah#MedanBerkah#SalamKolaborasi https://t.co/A6P3SJGyep""",Positive
22,"""Hai sobat kompeten!Dlm rangka peningkatan profesionalitas SDM PBJ, @bpsdmdjtg @provjateng sbg TUK Mandiri @LKPP_RI, Th 2023 ini akan melaksanakan Ujikom PBJ",Positive
23,"""Hai #SobATRBPN Selamat kepada PPSDM Kementerian ATR/BPN yang telah menerima  Sertifikat Akreditasi Lembaga Penyelenggara Pelatihan Pengadaan Barang/Jasa (LPPBJ) dari Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Republik Indonesia (LKPP RI) ✨""",Positive
24,"""Kepala LKPP RI Hendrar Prihadi mengatakan, pihaknya sering menemui beberapa kasus ASN yang sengaja tidak meluluskan ujian sertifikasi pengadaan barang/jasa.https://t.co/soUF5Oo0sT""",Negative
25,"""Kepala LKPP RI Soroti Banyak #ASN Takut Terlibat Dalam Proses Pengadaan #klikRMOLhttps://t.co/iRf1ZQvDEH""",Negative
26,"""@LKPP_RI Hallo LKPP, mau nanya sertifikasi PBJ lv.1, bisa diunduh di akun mulai kapan, setelah dinyatakan lulus..terimakasih""",Neutral
27,"""For information, Hevearita G Rahayu, who is familiarly called Ms Ita, was sworn in as Mayor of Semarang for the remainder of her 2021-2026 term",Neutral
28,"""Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya.#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak#CatatanPolitik https://t.co/GLcKbjY3mV""",Positive
29,"""Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan #PDIPerjuangan#SolidBersamaRakyat#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak https://t.co/lfK7mKDvJ4""",Positive
30,"""Yuk gabung dan daftarkan produk usahamu pada Katalog Elektronik, ikut terlibat dalam Pengadaan Barang/Jasa Pemerintah!Jangan lupa, update terus informasi terbaru seputar kebijakan LKPP melalui https://t.co/dEIwzryoLi#LKPP#DukungUMKM #KatalogElektronik#BanggaBuatanIndonesia https://t.co/nG1pUOudoq""",Positif
31,"""Haloo Sobat Kredibel, Para Pelaku Usaha!#TahukahKamu bagaimana cara menayangkan Produk di Katalog Elektronik? Simak infografik berikut ini untuk informasi selengkapnya terkait tata cara menayangkan produk di Katalog Elektronik ya.#LKPP#DukungUMKM #KatalogElektronik https://t.co/pPIM7qbTFY""",Positif
32,"""Sekilas info: Acara pelantikan digelar di Gedung Gradhika Bakti Praja lantai dua",Netral
33,"""Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan di Kota Semarang https://t.co/nt2jHhAqQP""",Positif
34,"""@hendrarprihadi @LKPP_RI @erickthohir Mantab khas Hendy👍👍👍""",Positif
35,"""@LKPP_RI dan sampai detik ini masih lemot",Negatif
36,"""@LKPP_RI Servernya tertulis didnt respon""",Negatif
37,"""@LKPP_RI Knp website ekatalog bmasalah saat diakses",Negatif
38,"""@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID The link in the OG tweet should now be working :)""",Positif
39,"""@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Yip",Positif
40,"""@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Ah you're correct Rahma",Netral
41,"""@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Hi Ivy! Rahma here",Netral
42,"""Haduhhh bagaimana ini loginpun syusah @LKPP_RI https://t.co/OhV8ijkwKy""",Negatif
