,Date,User,Tweet
0,2023-02-12 11:21:14+00:00,PDI_Perjuangan,"Di hadapan pengusaha muda se-Jawa Tengah, Kepala LKPP RI Hendrar Prihadi menegaskan terkait clean and clear nya proses pengadaan pemerintah hari ini. https://t.co/dX3XrvP9HT"
1,2023-02-11 03:26:01+00:00,muslimf,"@kumparan @DPR_RI @Kemenag_RI @LKPP_RI @BPKHRI 3 ancaman besar pengelolaan negara: 1.Kelembaman birokrasi terjebak rutin administrasi, boros dan tidak kreatif; 2.Gejala parkinson karena membengkak penunjang;3. Penggunaan anggaran non produktif dan tidak mampu mendorong daya beli rakyat, daya saing global dan daya tawar negara"
2,2023-02-10 13:33:13+00:00,DJPPRkemenkeu,"@KemenkeuRI @LKPP_RI @BappenasRI terus bersinergi dalam mendorong percepatan pembangunan IKN demi mewujudkan 4 pilar dalam visi Indonesia 2045. 🚀

Berita selengkapnya tentang peluncuran peraturan ini dapat kamu akses di https://t.co/RXLgdeaveZ https://t.co/R9QHL5k8XV"
3,2023-02-09 14:48:59+00:00,PDI_Perjuangan,Untuk itu Hendi bersama LKPP RI kemudian menerbitkan Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah dengan Badan Usaha di Ibu Kota Nusantara.
4,2023-02-09 14:48:57+00:00,PDI_Perjuangan,"Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah atau LKPP RI Hendrar Prihadi menyebutkan, untuk menyelesaikan tahap awal pembangunan Ibu Kota Negara (IKN) Nusantara yang ditargetkan pada tanggal 17 Agustus 2024, perlu adanya dukungan yang diberikan oleh semua pihak."
5,2023-02-09 07:25:31+00:00,LKPP_RI,"—baik investor dalam negeri maupun investor asing untuk ikut membangun Ibu Kota Nusantara (IKN),” Kata Kepala LKPP Hendrar Prihadi saat membuka dan memberi arahan dalam Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara pada Kamis (9/1)."
6,2023-02-09 07:25:29+00:00,LKPP_RI,“Berbagai inovasi pengadaan yang telah digagas oleh LKPP terkait dengan tata cara Pengadaan Badan Usaha melalui skema KPBU di Ibu Kota Nusantara diharapkan dapat mengakselerasi pembangunan di Ibu Kota Nusantara sekaligus menarik investor—
7,2023-02-09 07:25:28+00:00,LKPP_RI,"—dan Peraturan LKPP Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah Dengan Badan Usaha di Ibu Kota Nusantara dengan mengedepankan aspek kemudahan, percepatan, kepastian, dan simplifikasi dalam pelaksanaanya."
8,2023-02-09 07:25:27+00:00,LKPP_RI,"Pembiayaan yang mencakup Persiapan, Pembangunan, dan Pemindahan Ibu Kota Negara serta Penyelenggaraan Pemerintahan Daerah Khusus Ibu Kota Nusantara ini, dilakukan melalui skema KPBU yang diatur dalam Peraturan Pemerintah Nomor 17 Tahun 2022–"
9,2023-02-09 07:25:25+00:00,LKPP_RI,"Oleh karena itu, pemerintah telah menetapkan Skema Pembiayaan melalui Kerja Sama Pemerintah dengan Badan Usaha (KPBU) sebagai salah satu skema pembiayaan prioritas. https://t.co/h0TqYShQS9"
10,2023-02-09 07:25:21+00:00,LKPP_RI,"Sejalan dengan itu, proses pemindahan Ibu Kota Negara membutuhkan pembiayaan yang sangat besar dan tidak mungkin dipenuhi oleh APBN sepenuhnya, sehingga lebih dari 80% kebutuhan anggaran diharapkan akan melibatkan partisipasi swasta."
11,2023-02-09 07:25:20+00:00,LKPP_RI,Penetapan perpindahan Ibu Kota Negara diharapkan dapat mengurangi kesenjangan dan mewujudkan pembangunan Indonesia yang berkelanjutan.
12,2023-02-09 07:25:17+00:00,LKPP_RI,—melainkan transformasi besar bangsa Indonesia yang menjadi prioritas nasional pemerintah dalam rangka mewujudkan visi Indonesia Emas 2045.
13,2023-02-09 07:25:16+00:00,LKPP_RI,"Jakarta - Pemindahan Ibu Kota Negara RI semula dari DKI Jakarta ke Ibu Kota Nusantara, Kalimantan Timur tidak hanya sekadar membangun gedung pemerintahan—"
14,2023-02-09 06:08:18+00:00,ferdyarizal,@hendrarprihadi @LKPP_RI hooh LKPP
15,2023-02-09 00:00:00+00:00,LKPP_RI,"Selamat memperingati #HariPersNasional2023.

Pers berperan sebagai penyebar informasi kebenaran dan pilar penegak aspirasi masyarakat.

Wujudkan Pers bebas yang bertanggung jawab dengan berdasarkan prinsip-prinsip etika jurnalistik. 

“Pers Bebas, Demokrasi Bermartabat”

#LKPP https://t.co/fATgS8AIk6"
16,2023-02-08 12:55:46+00:00,zlfkrhbdg,@Strategi_Bisnis Coba di lelang di LPSE deh. Cc @LKPP_RI
17,2023-02-08 12:36:36+00:00,DonnyPraone,@hendrarprihadi @LKPP_RI LKPP
18,2023-02-08 07:44:02+00:00,DJPPRkemenkeu,"Halo RekansDJPPR!

Ingin tahu tentang peraturan skema KPBU untuk pembangunan Ibu Kota Nusantara (IKN)?

Yuk ikut menyimak acara:
🌟Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara🌟

Kolaborasi antara @KemenkeuRI @BappenasRI dan @LKPP_RI. https://t.co/7GiiPnblEO"
