,Date,User,Tweet
0,2023-02-13 16:54:37+00:00,dioramatrauma,@sajadahaladin @penyeranta halo perhutani ini ada kayunya ngglundung tolong diantisipasi
1,2023-02-13 13:27:39+00:00,BUMNPalembangku,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/BNimVJbQR4"
2,2023-02-13 11:26:22+00:00,mshsade,"Selamat buat yang lolos tes BUMN batch ke 2 hari ini dan semangat buat yg belum lolos, kalian terbaik.

Buat yang lolos perhutani semangattt gessssss"
3,2023-02-13 10:47:34+00:00,BUMNBanyumasHbt,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/UcL3cjk6nx"
4,2023-02-13 10:44:15+00:00,StyGmbjossss,"Pasiter Kodim 0709/Karanggayam Kapten Inf Ali Kuntara, Plh Danramil 05/Karanggayam Letda Arh Budi Santoso, Kepala Perhutani Kecamatan Karanggayam Bapak Kisno Mengecek Lokasi tempat yang akan dilakukan Reboisasi/Penghijauan di wilayah kecamatan Karanggayam. https://t.co/lg6nUFqmXD"
5,2023-02-13 09:05:24+00:00,bumnlahat2021,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/drllacafXV"
6,2023-02-13 08:44:46+00:00,KonaweBUMNHebat,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/vU8GIuvRtI"
7,2023-02-13 07:25:08+00:00,hellkugz,"@ganangwisantoro @Arsenal20xucl @idextratime Seorang penggemar yang klub nya tidak pernah mengangkat trophy Champions league sedang menghibur diri.

Dapet salam dari tim Perhutani. https://t.co/y4cxqyaB64"
8,2023-02-13 06:25:11+00:00,blackadenium,"Gubernur Jawa Tengah Ganjar Pranowo bersama Kapolda Jateng Ahmad Luthfi, Pangdam IV Diponegoro Widi Prasetijono dan Perm Perhutani menjalin kemitraan penanaman Jagung guna mendukung ketahanan pangan daerah.

#UpayaGanjarSejahterakanRI https://t.co/bbxPS7hNjB"
9,2023-02-13 05:04:37+00:00,bumnplgsigap,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien."
