,Date,User,Tweet
0,2023-02-10 01:42:22+00:00,donymaya,"Video nya baru jadi ☺☺
Senangnya bisa berkumpul bersama orang-orang baik. 
@PerumPerhutani @DitjenPPKL @yonarmed12kost1 https://t.co/ajm1HClCJg"
1,2023-02-09 05:15:37+00:00,subisaja,@kompascom Semangat Bu @SumarniGrobogan Pak @Moh_Sumarsono @PPID_Perhutani @PerumPerhutani @ProKlim_KLHK @diskominfo_grob @InfoPWD @KK_Purwodadi @dishutbunBTG
2,2023-02-06 11:29:29+00:00,martin_rachmant,"@KementerianLHK @PerumPerhutani @PPID_Perhutani @jokowi @ListyoSigitP @msoekarnoputri @puanmaharani_ri @AzwarAnas_A3 @KotaGenteng @infobwi @SN_Banyuwangi @InformasiBWI 
https://t.co/BWDzPFTMuh"
3,2023-02-01 06:14:59+00:00,PerumPerhutani,Perhutani dan BPBD Kabupaten Subang Tandatangani MoU dan Perjanjian Kerjasama https://t.co/vc0Ww1XoOz
4,2023-02-01 06:14:43+00:00,PerumPerhutani,"Melalui Program TJSL, Perhutani Resmikan Jembatan Kali Cipanas Di Indramayu https://t.co/4EBZ8SeRwW"
5,2023-02-01 06:14:26+00:00,PerumPerhutani,Perhutani Bandung Selatan Lepas Praktek Kerja lapangan (PKL) Siswa SMKN 1 Pasir Kuda Cianjur https://t.co/RCkv7lnYyH
6,2023-02-01 06:14:11+00:00,PerumPerhutani,"Perkuat Sinergitas dan Kelembagaan, Perhutani dan Kelompok Tani Hutan Laksanakan Pertemuan di Ciamis https://t.co/EAcn5Dc6r6"
7,2023-02-01 06:12:03+00:00,PerumPerhutani,Perhutani Jalin Koordinasi Harmonis Dengan BPBD Banjarnegara https://t.co/yxlkB5ng71
8,2023-02-01 03:54:27+00:00,PerumPerhutani,Inhutani I Laksanakan Kegiatan Leader Talks AKHLAK “Loyal” https://t.co/XMdLYo1H06
9,2023-02-01 01:57:38+00:00,PerumPerhutani,"Perhutani Sebut Hutan Lindung Boleh Dimanfaatkan Investor, Tapi Ada Aturannya https://t.co/DwduPA9HAR"
10,2023-02-01 01:18:59+00:00,PerumPerhutani,Perhutani Jalin Sinergi Bersama PWI Kabupaten Blora https://t.co/lnd5kkHOzV
11,2023-02-01 01:08:57+00:00,PerumPerhutani,Perhutani Lakukan Kegiatan Donor Darah Dalam Rangka Bulan K3 Nasional di Balapulang https://t.co/sYFF0qECCw
12,2023-02-01 01:00:40+00:00,PerumPerhutani,"Peringati Bulan K3, Perhutani Gelar Kegiatan Donor Darah di Rembang https://t.co/2d2Z2D23nV"
13,2023-02-01 00:54:50+00:00,PerumPerhutani,Perhutani Gandeng Disnakertrans Purworejo Kampanye K3 dan PHBS https://t.co/uPziIu1dHO
14,2023-02-01 00:46:42+00:00,PerumPerhutani,"Peringati Bulan K3, Perhutani Gelar Donor Darah di Pekalongan Barat https://t.co/7lw3yfRuOW"
15,2023-02-01 00:02:47+00:00,PerumPerhutani,Perhutani Terima Kunjungan BPDAS Solo Guna Koordinasi Pengelolaan Kawasan Hutan di Magetan https://t.co/fH1RpZmUq5
16,2023-01-31 11:17:57+00:00,PerumPerhutani,Menteri BUMN Lakukan Pergantian Direksi Perum Perhutani https://t.co/r2K2ZjFqnX
17,2023-01-31 09:07:53+00:00,PerumPerhutani,"Perhutani, Biro Kesra Jatim dan Stakeholders terkait Gelar Sarasehan di Wisata Mangrove Lembung https://t.co/qZU93UVLLx"
18,2023-01-31 07:44:55+00:00,PerumPerhutani,Perhutani Bersama LMDH Teken Perpanjangan PKS Wisata Religi di Pamekasan https://t.co/vaOA3M6aLR
19,2023-01-31 07:29:04+00:00,PerumPerhutani,Perhutani Bersama LMDH Tapen Gelar Pelatihan Pembuatan Pupuk Organik Ramah Lingkungan https://t.co/8ZBHTmzvoj
20,2023-01-31 03:48:52+00:00,PerumPerhutani,"Event Pertama Tahun 2023, Kawah Putih Perhutani Hadirkan Pentas Seni Barongsai Tonggak https://t.co/6Yl52J7yTo"
21,2023-01-31 02:41:21+00:00,PerumPerhutani,Perhutani Bersama Gubernur Jawa Tengah Tanam Jagung Dukung Ketahanan Pangan https://t.co/JQcVBkZMzo
22,2023-01-31 02:18:26+00:00,bondolclekitet,"izin dipantau komandan
@SitiNurbayaLHK 
@KementerianLHK 
@GakkumKLHK 
@PerumPerhutani https://t.co/mVOlCJcHIk"
23,2023-01-31 02:08:44+00:00,PerumPerhutani,Perhutani Madiun Menerima Kunjungan Lapangan Mahasiswa Universitas Gadjah Mada di Ponorogo https://t.co/qgl742PKAa
24,2023-01-31 01:27:53+00:00,PerumPerhutani,Perhutani Sosialisasikan Penerapan SNI 8911 Tahun 2020 dan PUHH Bersama LMDH di Balapulang https://t.co/VNcuW6y8uB
25,2023-01-31 01:14:23+00:00,PerumPerhutani,Wisata Bumi Perkemahan Glagah Arum Dikelola Pramuka https://t.co/7ldvOOK5il
26,2023-01-31 00:23:00+00:00,PerumPerhutani,Perhutani Bondowoso Terima Penghargaan Zero Accident Award 2022 Tingkat Provinsi Jatim dari Gubernur https://t.co/qUuXK2IEUh
27,2023-01-30 23:49:22+00:00,PerumPerhutani,Perhutani Lakukan Monev Kepada LMDH yang Melakukan PKS di Bangkalan https://t.co/UgDOKeWysy
28,2023-01-30 23:22:22+00:00,PerumPerhutani,"Tingkatkan Koordinasi dengan Pemerintah Daerah, Perhutani Lakukan Kunker ke Bupati Ponorogo https://t.co/3OnGhEr4KM"
29,2023-01-30 09:44:14+00:00,PerumPerhutani,PeFI Bersama Tim Peneliti UGM Kaji Tanaman Kayu Putih yang Menguning di Madiun https://t.co/b2Ep3aSrr3
30,2023-01-30 09:12:22+00:00,PerumPerhutani,Perhutani Bersama LMDH Bertekad Sukseskan Program Kemiteraan Kehutanan di Banyuwangi https://t.co/GYIZKsEJvN
31,2023-01-30 07:35:12+00:00,PerumPerhutani,"Perhutani Gandeng Pemdes, Sosialisasikan Program Kerja kepada Masyarakat Desa Hutan di Banyuwangi https://t.co/RQ2qrvjvgA"
32,2023-01-30 07:18:54+00:00,PerumPerhutani,Perhutani Bersama Lembaga Terkait Sukseskan Prgram Kemiteraan Kehutanan di Banyuwangi https://t.co/PZauTvriza
33,2023-01-30 07:17:56+00:00,PerumPerhutani,"Peringati Hari K3 Nasional, Perhutani Bandung Selatan bersama PMI Kota Bandung Adakan Kegiatan Donor Darah https://t.co/HUOLl6zlT4"
34,2023-01-30 07:17:31+00:00,PerumPerhutani,"Demi Memajukan Dunia Pendidikan, Perhutani Bersinergi Dengan Fakultas Ekonomi dan Bisnis UNIKU Kabupaten Kuningan https://t.co/CfKjWMn0f0"
35,2023-01-30 07:16:36+00:00,PerumPerhutani,Perhutani Lakukan Pemantapan Pembahasan Rencana Kerjasama Wisata Alam Forest Walk Dengan PT. Kampung Makmur Di Sumedang https://t.co/dzqBrbMejO
36,2023-01-30 07:15:28+00:00,PerumPerhutani,Perhutani Bersama Pemdes Lakukan Perbaikan Jalan di Kuningan https://t.co/pQWXCn7a2A
37,2023-01-30 07:12:19+00:00,PerumPerhutani,Paska Libur Sekolah Objek Wisata Kebon Pinus Diserbu Pengunjung https://t.co/IzcfA01KRq
38,2023-01-30 06:53:43+00:00,bondolclekitet,@PerumPerhutani Ass wr wb
39,2023-01-30 06:51:26+00:00,PerumPerhutani,"Jaga Sinergitas, Perhutani Gowes Bareng Forkompimcam Sale https://t.co/WxR0RV7sKM"
40,2023-01-30 06:43:40+00:00,bondolclekitet,@PerumPerhutani Selamat siang
41,2023-01-30 06:29:22+00:00,PerumPerhutani,Perhutani Bersama YKP3JS Serahkan Bantuan Beasiswa Bagi Pelajar Berprestasi di Cepu https://t.co/hICEan0hN6
42,2023-01-30 06:24:42+00:00,PerumPerhutani,Perhutani Bersama LMDH Tandatangani PKS Agroforestry di Balapulang https://t.co/jNXheqRmMs
43,2023-01-30 06:24:04+00:00,PerumPerhutani,Perhutani Bersama LMDH Realisasikan Kerjasama Budidaya Tanaman Sengon di Banyuwangi https://t.co/RV5oFPqVS6
44,2023-01-30 03:55:17+00:00,PerumPerhutani,Perhutani Lakukan Penguatan Kelembagaan terhadap LMDH di Lamongan https://t.co/pjNYqlpsE5
45,2023-01-30 03:03:42+00:00,PerumPerhutani,Perhutani Parengan Rangkul Pelaku Usaha Kuliner Resmi Launching Cafe DJodrodjo dan Santuni Anak Yatim https://t.co/qgrEAAJCTm
46,2023-01-30 02:52:39+00:00,PerumPerhutani,Perhutani KPH Banten Bersama Sekar berikan Santunan Untuk Keluarga Karyawan Meninggal Dunia https://t.co/WOVfHax4jF
47,2023-01-30 02:52:16+00:00,PerumPerhutani,Perhutani KPH Cianjur bersama PT. Djarum Jajaki Kerjasama Bidang Ekowisata https://t.co/h5pbjS2E8b
48,2023-01-30 02:51:53+00:00,PerumPerhutani,Perhutani Bersama Pemdes Dan LMDH Bahu Membahu Bangun Gapura Wisata Situ Wulukut https://t.co/nAcO6EqVMX
49,2023-01-30 02:51:33+00:00,PerumPerhutani,Perhutani Terima Praktek Kerja Lapangan dan Magang Mahasiswa Fakultas Kehutanan Uniku Kabupaten Kuningan https://t.co/gs2SjPdR0p
50,2023-01-30 01:01:18+00:00,PerumPerhutani,Perhutani Bersama Dinas Pertanian Gandeng Investor Untuk Hijaukan Kembali Pegunungan Kendeng Utara https://t.co/oNSQvHffKj
51,2023-01-30 00:41:18+00:00,PerumPerhutani,Wisata Pantai Logending Perhutani Sajikan Panorama Pantai dan Hijaunya Hutan Jati https://t.co/374Knvnm87
52,2023-01-27 11:31:40+00:00,PerumPerhutani,Perhutani Madiun Terima Kunjungan Lapangan Executive Director JIFPRO di Madiun https://t.co/Hg4Ca8ygrP
53,2023-01-27 09:38:58+00:00,PerumPerhutani,Perhutani Bondowoso Bersama Lembaga Kesehatan Lakukan Cek Kesehatan Berkala bagi Karyawan https://t.co/26wlyTo3Iu
54,2023-01-27 08:41:38+00:00,PerumPerhutani,Perhutani Lawu Ds Terima Kunjungan Studi Banding Gapoktanhut dan LMDH dari Ngawi https://t.co/0U0QNHsH53
55,2023-01-27 07:13:23+00:00,PerumPerhutani,Perhutani Ngawi Terima Kunjungan Lapangan Mahasiswa Universitas Lambung Mangkurat https://t.co/rS9iCAZuxT
56,2023-01-27 06:52:51+00:00,PerumPerhutani,Perhutani Madura Sosialisasikan Program Kerja kepada LMDH Khususnya Penggarap Lahan di Bawah Tegakan di Sumenep https://t.co/J3tB3GA0rs
57,2023-01-27 06:21:31+00:00,PerumPerhutani,Perhutani Tandatangani Perjanjian Kerjasama Bidang Hukum Bersama Kejaksaan Negeri Tegal https://t.co/UiW4IhS1fi
58,2023-01-27 06:06:28+00:00,PerumPerhutani,Perhutani Lakukan Aksi Donor Darah di Blora https://t.co/UiKeVS1MJb
59,2023-01-27 05:57:56+00:00,PerumPerhutani,Pesona Alam Yang Menawan di Puncak Gunung Telomoyo https://t.co/a0RTlFR68X
60,2023-01-26 07:51:51+00:00,PerumPerhutani,"Memulai Pekerjaan di Tahun 2023, Perhutani Jombang Gelar Out Bond dan Santuni Anak Yatim https://t.co/PChbgCoQqf"
61,2023-01-26 06:28:41+00:00,PerumPerhutani,Perhutani Ngawi Gelar Aksi Donor Darah Bersama PMI https://t.co/9lkGcI3xaN
62,2023-01-26 05:46:09+00:00,KakekHalal,"Gub @Ganjarpranowo menghadiri penanaman jagung di Petak 49 Hutan Produksi Jragung, Desa Candirejo, Kab. Semarang (24/1).

Kegiatan yang diinisiasi oleh Satgas Pangan @poldajateng_, @PerumPerhutani &amp; kelompok petani tersebut menjadi langkah meningkatkan produksi komoditas pangan. https://t.co/slFV0Xlpdk"
63,2023-01-26 04:02:46+00:00,PerumPerhutani,Aksi Donor Darah Mewarnai Peringatan Bulan K3 Nasional di Perhutani Lawu DS https://t.co/fkVysFGdNj
