id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1662996111530024961,"https://twitter.com/VeronicaKartik3/statuses/1662996111530024961","https://twitter.com/VeronicaKartik3/statuses/1662996111530024961","VeronicaKartik3","Funny things happen yesterday is... Waktu aku mau foto di Prambanan Temple, ada bule halangin pemandangan and we said ""excuse me, sir"" dengan tujuan biar bulenya minggir. Malah dia ikut foto bareng, dikira kami minta foto... 😭😭😭","Funny things happen yesterday is... Waktu aku mau foto di Prambanan Temple, ada bule halangin pemandangan and we said ""excuse me, sir"" dengan tujuan biar bulenya minggir. Malah dia ikut foto bareng, dikira kami minta foto... 😭😭😭","2023-05-28 21:35:44","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,1454879510529122309,"https://pbs.twimg.com/profile_images/1622578255445524481/22RnNY9H_normal.jpg",929,141,16,"2021-10-31 14:34:59","Real account  Agak jaim","","",
2,1662622045811920896,"https://twitter.com/antighibahh/statuses/1662622045811920896","https://twitter.com/antighibahh/statuses/1662622045811920896","antighibahh","the legend of prambanan temple https://t.co/K7HUaCBJQ9","the legend of prambanan temple https://t.co/K7HUaCBJQ9","2023-05-27 20:49:20","Twitter Web App",2,0,"en","https://t.co/HBxQkei4rf","quote","hourly_absurd",1541104871935737856,1662469080606179328,"",0,0,1556155440928813056,"https://pbs.twimg.com/profile_images/1590245404355940352/6IcxGrSy_normal.jpg",2556,162,136,"2022-08-07 01:49:24","it\'s getting hot in here","","",
3,1662609771470499842,"https://twitter.com/anuradhagoyal/statuses/1662609771470499842","https://twitter.com/anuradhagoyal/statuses/1662609771470499842","anuradhagoyal","इंडोनेशिया का प्रमबनन मंदिर – कहानियां सुनाते खण्डहर https://t.co/tZKyjVeT4R   #travel #Indonesia","इंडोनेशिया का प्रमबनन मंदिर – कहानियां सुनाते खण्डहर https://t.co/tZKyjVeT4R   #travel #Indonesia","2023-05-27 20:00:33","Buffer",3,0,"hi","","original","",0,0,"",0,0,14255925,"https://pbs.twimg.com/profile_images/1095349501399834626/gnO5UIRx_normal.jpg",44804,504,29185,"2008-03-30 00:23:59","Pilgrim at the intersection of Innovation, Travel, Indic Knowledge & Life Books - https://t.co/A4DTl9nNgR IG - https://t.co/iIlxtp1cgn","Bengaluru, India","",
4,1662462013434650625,"https://twitter.com/anotherofme___/statuses/1662462013434650625","https://twitter.com/anotherofme___/statuses/1662462013434650625","anotherofme___","RT @4_Jawarlis: Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam…","Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam Indonesia https://t.co/2kuIKBhQyb","2023-05-27 10:13:25","Twitter for Android",0,11,"in","","retweet","",0,0,"4_Jawarlis",1255878542337830916,1661946586568736768,981738456,"https://pbs.twimg.com/profile_images/1661401411773685761/bgnVzyur_normal.jpg",407,2884,2744,"2012-11-30 22:33:59","Just for fun.  ____________________________________________  ____________________________________________  ____________________________________________","Unlabeled","",
5,1662334073233379336,"https://twitter.com/Mr_bob1916/statuses/1662334073233379336","https://twitter.com/Mr_bob1916/statuses/1662334073233379336","Mr_bob1916","RT @4_Jawarlis: Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam…","Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam Indonesia https://t.co/2kuIKBhQyb","2023-05-27 01:45:02","Twitter for Android",0,11,"in","","retweet","",0,0,"4_Jawarlis",1255878542337830916,1661946586568736768,2708324382,"https://pbs.twimg.com/profile_images/1630487762637033472/nv89iT-B_normal.jpg",27196,1225,1797,"2014-08-05 00:55:00","❤NKRI & UMKM❤ ❤cinta damai❤","❤🇮🇩indonesia🇮🇩❤","",
6,1662271834061176832,"https://twitter.com/IndiTales/statuses/1662271834061176832","https://twitter.com/IndiTales/statuses/1662271834061176832","IndiTales","RT @anuradhagoyal: Storytelling ruins of Parambanan temple complex that has the whole #Ramayana carved on its walls https://t.co/Lqmnx44crT…","Storytelling ruins of Parambanan temple complex that has the whole #Ramayana carved on its walls https://t.co/Lqmnx44crT  #travel #Indonesia #worldheritage","2023-05-26 21:37:43","Twitter for Android",0,7,"en","","retweet","",0,0,"anuradhagoyal",14255925,1548819911845318657,3018681806,"https://pbs.twimg.com/profile_images/1301784880611688448/2Kz66csL_normal.jpg",5676,168,767,"2015-02-13 11:38:12","Travel Blogger at https://t.co/pnUbu5I6VV Facebook page https://t.co/VI8hG4KGhE","Bengaluru, India","",
7,1662265207190683648,"https://twitter.com/dls2015/statuses/1662265207190683648","https://twitter.com/dls2015/statuses/1662265207190683648","dls2015","RT @anuradhagoyal: Storytelling ruins of Parambanan temple complex that has the whole #Ramayana carved on its walls https://t.co/Lqmnx44crT…","Storytelling ruins of Parambanan temple complex that has the whole #Ramayana carved on its walls https://t.co/Lqmnx44crT  #travel #Indonesia #worldheritage","2023-05-26 21:11:23","Twitter Web App",0,7,"en","","retweet","",0,0,"anuradhagoyal",14255925,1548819911845318657,2424464773,"https://pbs.twimg.com/profile_images/1644545201166221312/xPd5te_9_normal.jpg",30552,97,164,"2014-04-02 19:12:58","Books, Poetry, Travel, Sanskrit Respect for my Hindu/Indian culture & traditions. An occasional writer","","",
8,1662182014399791104,"https://twitter.com/KathyAForsythe/statuses/1662182014399791104","https://twitter.com/KathyAForsythe/statuses/1662182014399791104","KathyAForsythe","RT @4_Jawarlis: Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam…","Mount Merapi and Prambanan Temple.  Located : Sleman Regency Daerah Istimewa Yogyakarta Province. 🇮🇩   📷 Galery Pesona Alam Indonesia https://t.co/2kuIKBhQyb","2023-05-26 15:40:48","Twitter Web App",0,11,"in","","retweet","",0,0,"4_Jawarlis",1255878542337830916,1661946586568736768,1532399055296417794,"https://pbs.twimg.com/profile_images/1562896182082404352/qpHcatQw_normal.jpg",29713,141,394,"2022-06-02 12:30:39","I exist. I\'m hopeful. I love people who care, love, peace, & joy. I try to see beauty in everything! 98% photos from internet. NO PORN!!!!","PA, USA.  Small country town. ","",
9,1662117964018221056,"https://twitter.com/Raaga_Suresh/statuses/1662117964018221056","https://twitter.com/Raaga_Suresh/statuses/1662117964018221056","Raaga_Suresh","RT @vasanta_sena: Durga Mahisasuramardini Prambanan Temple Complex, Central Java, Indonesia 9th century, Sanjaya dynasty https://t.co/eyLWD…","Durga Mahisasuramardini Prambanan Temple Complex, Central Java, Indonesia 9th century, Sanjaya dynasty https://t.co/RfR7epmsZm https://t.co/eyLWDhwBNX","2023-05-26 11:26:17","Twitter for Android",0,1,"in","","quote","",0,0,"vasanta_sena",8124352,1662114929154080770,152891344,"https://pbs.twimg.com/profile_images/778987663982366721/VjGVNuDN_normal.jpg",145925,635,4176,"2010-06-07 00:06:13","AWS Cloud, Short Story Writer, Aspiring Novelist, Curator of @carnatic101","Bangalore","",
10,1662114929154080770,"https://twitter.com/vasanta_sena/statuses/1662114929154080770","https://twitter.com/vasanta_sena/statuses/1662114929154080770","vasanta_sena","Durga Mahisasuramardini Prambanan Temple Complex, Central Java, Indonesia 9th century, Sanjaya dynasty https://t.co/RfR7epmsZm https://t.co/eyLWDhwBNX","Durga Mahisasuramardini Prambanan Temple Complex, Central Java, Indonesia 9th century, Sanjaya dynasty https://t.co/RfR7epmsZm https://t.co/eyLWDhwBNX","2023-05-26 11:14:14","Twitter Web App",3,1,"in","Durga Slaying the Buffalo Demon India, Karnataka, 13th century Magnesian schist Los Angeles County Museum of Art https://t.co/8Al011zhPV https://t.co/51Kgj6OCMu","quote","vasanta_sena",8124352,1661750518413402113,"",0,0,8124352,"https://pbs.twimg.com/profile_images/1592329257837289472/Gw1vfVxt_normal.jpg",12591,1400,662,"2007-08-11 10:14:11","Philokalist. Mountain-dweller in spirit. Appreciator of art. Living, always, in Love.","Possibility","",
