Date,Price_LME,Price_BADI,Price_Aluminum,Price_Copper,Price_Alumina,Price_USD,Price_oil
2016-07-01,2410.8,677.0,1666.25,2.217,1.33,95.65,95.65
2016-07-02,2354.86,644.0,1635.3,2.1790000000000003,1.287,96.07,96.07
2016-07-03,2354.86,644.0,1635.3,2.1790000000000003,1.287,96.07,96.07
2016-07-04,2404.2,688.0,1651.25,2.192875,1.36,95.65,95.65
2016-07-05,2373.7,692.0,1655.5,2.1835,1.345,96.17,96.17
2016-07-06,2362.0,694.0,1652.75,2.1535,1.325,96.05,96.05
2016-07-07,2334.7,699.0,1637.75,2.1235,1.315,96.33,96.33
2016-07-08,2356.9,703.0,1663.5,2.119,1.32,96.3,96.3
2016-07-09,2366.3,695.2,1652.15,2.144875,1.3330000000000002,96.1,96.1
2016-07-10,2366.3,695.2,1652.15,2.144875,1.3330000000000002,96.1,96.1
2016-07-11,2364.0,704.0,1651.5,2.1475,1.39,96.57,96.57
2016-07-12,2417.5,711.0,1674.0,2.213,1.4,96.44,96.44
2016-07-13,2429.9,726.0,1670.5,2.24,1.42,96.22,96.22
2016-07-14,2441.1,738.0,1680.5,2.243,1.43,96.08,96.08
2016-07-15,2429.7,745.0,1664.75,2.2335,1.455,96.58,96.58
2016-07-16,2416.44,724.8,1668.25,2.2154,1.4189999999999998,96.378,96.378
2016-07-17,2416.44,724.8,1668.25,2.2154,1.4189999999999998,96.378,96.378
2016-07-18,2434.2,748.0,1654.75,2.237,1.46,96.56,96.56
2016-07-19,2442.9,746.0,1647.0,2.263,1.395,97.06,97.06
2016-07-20,2433.1,736.0,1625.25,2.254,1.375,97.2,97.2
2016-07-21,2431.8,726.0,1601.0,2.2585,1.355,97.0,97.0
2016-07-22,2412.7,718.0,1611.25,2.2355,1.35,97.47,97.47
2016-07-23,2430.94,734.8,1627.85,2.2496,1.387,97.058,97.058
2016-07-24,2430.94,734.8,1627.85,2.2496,1.387,97.058,97.058
2016-07-25,2406.9,709.0,1604.75,2.217,1.315,97.29,97.29
2016-07-26,2404.5,696.0,1591.5,2.2255,1.295,97.16,97.16
2016-07-27,2376.4,679.0,1591.5,2.185,1.345,97.05,97.05
2016-07-28,2403.1,665.0,1608.25,2.2125,1.33,96.74,96.74
2016-07-29,2427.9,656.0,1644.0,2.225,1.325,95.53,95.53
2016-07-30,2403.76,681.0,1608.0,2.213,1.3219999999999998,96.754,96.754
2016-07-31,2403.76,681.0,1608.0,2.213,1.3219999999999998,96.754,96.754
2016-08-01,2417.7,650.0,1633.5,2.2045,1.35,95.71,95.71
2016-08-02,2418.4,645.0,1623.0,2.214,1.33,95.06,95.06
2016-08-03,2417.6,641.0,1640.0,2.2035,1.33,95.56,95.56
2016-08-04,2395.7,636.0,1619.75,2.18,1.355,95.76,95.76
2016-08-05,2398.3,636.0,1642.0,2.16,1.365,96.19,96.19
2016-08-06,2409.54,641.6,1631.65,2.1924,1.346,95.656,95.656
2016-08-07,2409.54,641.6,1631.65,2.1924,1.346,95.656,95.656
2016-08-08,2404.5,636.0,1639.25,2.17,1.375,96.4,96.4
2016-08-09,2398.1,631.0,1638.25,2.1545,1.345,96.18,96.18
2016-08-10,2415.0,638.0,1643.0,2.175,1.33,95.65,95.65
2016-08-11,2421.7,653.0,1649.0,2.194,1.33,95.86,95.86
2016-08-12,2389.1,671.0,1651.0,2.144,1.33,95.72,95.72
2016-08-13,2405.68,645.8,1644.1,2.1675,1.342,95.962,95.962
2016-08-14,2405.68,645.8,1644.1,2.1675,1.342,95.962,95.962
2016-08-15,2406.6,681.0,1672.5,2.156,1.315,95.63,95.63
2016-08-16,2419.8,687.0,1693.0,2.176,1.335,94.79,94.79
2016-08-17,2412.4,685.0,1694.75,2.157,1.34,94.72,94.72
2016-08-18,2423.0,682.0,1683.5,2.1725,1.365,94.16,94.16
2016-08-19,2414.5,683.0,1667.25,2.1715,1.36,94.51,94.51
2016-08-20,2415.26,683.6,1682.2,2.1666,1.3430000000000002,94.762,94.762
2016-08-21,2415.26,683.6,1682.2,2.1666,1.3430000000000002,94.762,94.762
2016-08-22,2398.3,687.0,1667.5,2.1455,1.34,94.52,94.52
2016-08-23,2393.4,692.0,1669.25,2.12,1.35,94.54,94.54
2016-08-24,2360.1,706.0,1645.75,2.08,1.36,94.79,94.79
2016-08-25,2358.1,718.0,1643.75,2.079,1.37,94.77,94.77
2016-08-26,2357.8,720.0,1641.5,2.0815,1.395,95.57,95.57
2016-08-27,2373.54,704.6,1653.55,2.1012,1.363,94.838,94.838
2016-08-28,2373.54,704.6,1653.55,2.1012,1.363,94.838,94.838
2016-08-29,2367.35,709.0,1650.0625,2.0765,1.35,95.58,95.58
2016-08-30,2350.3,715.0,1627.75,2.0745,1.35,96.05,96.05
2016-08-31,2348.3,711.0,1610.75,2.075,1.33,96.02,96.02
2016-09-01,2360.5,712.0,1611.0,2.0735,1.3,95.65,95.65
2016-09-02,2360.3,720.0,1590.0,2.076,1.375,95.84,95.84
2016-09-03,2354.8500000000004,714.5,1609.875,2.0751,1.341,95.828,95.828
2016-09-04,2354.8500000000004,714.5,1609.875,2.0751,1.341,95.828,95.828
2016-09-05,2357.0,724.0,1576.0,2.07475,1.49,95.84,95.84
2016-09-06,2353.4,745.0,1585.0,2.088,1.44,94.82,94.82
2016-09-07,2362.4,773.0,1588.75,2.097,1.43,94.96,94.96
2016-09-08,2366.3,792.0,1586.25,2.0995,1.39,95.03,95.03
2016-09-09,2348.4,804.0,1573.5,2.092,1.395,95.34,95.34
2016-09-10,2357.5000000000005,767.6,1581.9,2.094125,1.4289999999999998,95.198,95.198
2016-09-11,2357.5000000000005,767.6,1581.9,2.094125,1.4289999999999998,95.198,95.198
2016-09-12,2336.9,804.0,1562.5,2.0995,1.335,95.09,95.09
2016-09-13,2330.9,796.0,1559.5,2.1,1.34,95.63,95.63
2016-09-14,2376.9,756.0,1579.5,2.1535,1.325,95.33,95.33
2016-09-15,2369.5,764.0,1566.5,2.157,1.32,95.29,95.29
2016-09-16,2370.5,800.0,1570.5,2.157,1.32,96.11,96.11
2016-09-17,2356.94,784.0,1567.7,2.1334,1.328,95.49,95.49
2016-09-18,2356.94,784.0,1567.7,2.1334,1.328,95.49,95.49
2016-09-19,2383.4,836.0,1577.25,2.1545,1.32,95.84,95.84
2016-09-20,2396.1,865.0,1576.25,2.1615,1.335,96.02,96.02
2016-09-21,2384.7,903.0,1584.0,2.151,1.38,95.66,95.66
2016-09-22,2434.4,937.0,1635.25,2.1925,1.4,95.45,95.45
2016-09-23,2432.8,941.0,1638.75,2.1975,1.42,95.48,95.48
2016-09-24,2406.28,896.4,1602.3,2.1714,1.371,95.69,95.69
2016-09-25,2406.28,896.4,1602.3,2.1714,1.371,95.69,95.69
2016-09-26,2438.8,934.0,1662.0,2.1955,1.41,95.3,95.3
2016-09-27,2429.5,930.0,1652.25,2.1675,1.39,95.44,95.44
2016-09-28,2446.8,912.0,1666.25,2.1845,1.435,95.43,95.43
2016-09-29,2459.1,888.0,1672.5,2.19,1.46,95.53,95.53
2016-09-30,2473.8,875.0,1674.5,2.2105,1.46,95.46,95.46
2016-10-01,2449.6,907.8,1665.5,2.1896,1.4309999999999998,95.432,95.432
2016-10-02,2449.6,907.8,1665.5,2.1896,1.4309999999999998,95.432,95.432
2016-10-03,2460.4,864.0,1678.0,2.192,1.455,95.69,95.69
2016-10-04,2444.6,860.0,1669.25,2.167,1.445,96.17,96.17
2016-10-05,2439.1,869.0,1675.25,2.1645,1.42,96.12,96.12
2016-10-06,2431.8,915.0,1677.5,2.1555,1.45,96.77,96.77
2016-10-07,2436.0,921.0,1675.5,2.1635,1.46,96.63,96.63
2016-10-08,2442.38,885.8,1675.1,2.1685000000000003,1.446,96.276,96.276
2016-10-09,2442.38,885.8,1675.1,2.1685000000000003,1.446,96.276,96.276
2016-10-10,2465.1,922.0,1689.0,2.1975,1.47,96.93,96.93
2016-10-11,2436.1,922.0,1677.25,2.1855,1.535,97.69,97.69
2016-10-12,2440.5,906.0,1683.0,2.1765,1.485,97.97,97.97
2016-10-13,2412.3,885.0,1689.75,2.122,1.455,97.52,97.52
2016-10-14,2400.2,892.0,1672.0,2.1105,1.525,98.02,98.02
2016-10-15,2430.84,905.4,1682.2,2.1584000000000003,1.494,97.626,97.626
2016-10-16,2430.84,905.4,1682.2,2.1584000000000003,1.494,97.626,97.626
2016-10-17,2392.7,894.0,1657.0,2.107,1.505,97.89,97.89
2016-10-18,2391.8,890.0,1642.0,2.1055,1.5,97.89,97.89
2016-10-19,2391.6,872.0,1631.75,2.1035,1.525,97.92,97.92
2016-10-20,2375.5,849.0,1612.25,2.096,1.535,98.31,98.31
2016-10-21,2369.9,842.0,1625.25,2.0885,1.525,98.69,98.69
2016-10-22,2384.3,869.4,1633.65,2.1001,1.518,98.14,98.14
2016-10-23,2384.3,869.4,1633.65,2.1001,1.518,98.14,98.14
2016-10-24,2382.7,831.0,1630.5,2.093,1.56,98.76,98.76
2016-10-25,2432.3,813.0,1669.0,2.1385,1.6,98.72,98.72
2016-10-26,2435.4,802.0,1679.5,2.1455,1.61,98.63,98.63
2016-10-27,2458.6,798.0,1699.5,2.1635,1.545,98.89,98.89
2016-10-28,2486.6,834.0,1720.0,2.197,1.565,98.35,98.35
2016-10-29,2439.12,815.6,1679.7,2.1475,1.576,98.67,98.67
2016-10-30,2439.12,815.6,1679.7,2.1475,1.576,98.67,98.67
2016-10-31,2502.2,857.0,1735.25,2.208,1.58,98.44,98.44
2016-11-01,2519.5,838.0,1736.5,2.2315,1.58,97.7,97.7
2016-11-02,2508.9,834.0,1727.5,2.2335,1.55,97.4,97.4
2016-11-03,2534.9,849.0,1732.5,2.252,1.515,97.16,97.16
2016-11-04,2535.5,855.0,1722.0,2.2685,1.54,97.06,97.06
2016-11-05,2520.2,846.6,1730.75,2.2387,1.5530000000000002,97.552,97.552
2016-11-06,2520.2,846.6,1730.75,2.2387,1.5530000000000002,97.552,97.552
2016-11-07,2578.5,870.0,1726.25,2.3135,1.64,97.78,97.78
2016-11-08,2616.7,911.0,1729.75,2.383,1.645,97.86,97.86
2016-11-09,2672.6,954.0,1751.5,2.4615,1.565,98.5,98.5
2016-11-10,2732.4,974.0,1768.5,2.554,1.67,98.78,98.78
2016-11-11,2696.4,1045.0,1742.5,2.5125,1.7,99.06,99.06
2016-11-12,2659.32,950.8,1743.7,2.4449,1.6439999999999997,98.396,98.396
2016-11-13,2659.32,950.8,1743.7,2.4449,1.6439999999999997,98.396,98.396
2016-11-14,2712.4,1065.0,1732.5,2.5235,1.65,100.11,100.11
2016-11-15,2702.6,1084.0,1735.0,2.5075,1.675,100.23,100.23
2016-11-16,2651.7,1145.0,1697.5,2.4705,1.675,100.41,100.41
2016-11-17,2666.3,1231.0,1688.5,2.4935,1.67,100.89,100.89
2016-11-18,2644.5,1257.0,1694.75,2.47,1.7,101.21,101.21
2016-11-19,2675.5,1156.4,1709.65,2.493,1.674,100.57,100.57
2016-11-20,2675.5,1156.4,1709.65,2.493,1.674,100.57,100.57
2016-11-21,2707.0,1240.0,1722.25,2.5195,1.685,101.05,101.05
2016-11-22,2737.7,1232.0,1760.25,2.548,1.72,101.04,101.04
2016-11-23,2789.1,1224.0,1778.0,2.6095,1.715,101.7,101.7
2016-11-24,2825.6,1201.0,1770.0,2.53675,1.7,101.7,101.7
2016-11-25,2840.5,1181.0,1756.75,2.673,1.73,101.49,101.49
2016-11-26,2779.98,1215.6,1757.45,2.5875000000000004,1.7100000000000002,101.396,101.396
2016-11-27,2779.98,1215.6,1757.45,2.5875000000000004,1.7100000000000002,101.396,101.396
2016-11-28,2856.7,1184.0,1746.0,2.661,1.725,101.33,101.33
2016-11-29,2758.6,1202.0,1720.0,2.6065,1.695,100.93,100.93
2016-11-30,2799.3,1204.0,1731.0,2.6295,1.655,101.5,101.5
2016-12-01,2786.5,1196.0,1720.25,2.639,1.66,101.04,101.04
2016-12-02,2770.6,1198.0,1712.75,2.622,1.605,100.77,100.77
2016-12-03,2794.34,1196.8,1726.0,2.6316,1.668,101.114,101.114
2016-12-04,2794.34,1196.8,1726.0,2.6316,1.668,101.114,101.114
2016-12-05,2842.0,1196.0,1733.0,2.6945,1.7,100.09,100.09
2016-12-06,2821.0,1186.0,1707.5,2.677,1.725,100.49,100.49
2016-12-07,2785.4,1162.0,1706.5,2.6415,1.73,100.23,100.23
2016-12-08,2776.4,1122.0,1723.0,2.6235,1.77,101.1,101.1
2016-12-09,2806.1,1090.0,1749.0,2.645,1.765,101.59,101.59
2016-12-10,2806.18,1151.2,1723.8,2.6563000000000003,1.738,100.7,100.7
2016-12-11,2806.18,1151.2,1723.8,2.6563000000000003,1.738,100.7,100.7
2016-12-12,2787.1,1069.0,1729.75,2.616,1.785,101.03,101.03
2016-12-13,2770.7,1052.0,1739.5,2.595,1.78,101.07,101.07
2016-12-14,2791.1,1003.0,1744.25,2.6015,1.77,101.76,101.76
2016-12-15,2792.6,966.0,1733.5,2.597,1.74,103.02,103.02
2016-12-16,2744.2,946.0,1714.5,2.561,1.74,102.95,102.95
2016-12-17,2777.14,1007.2,1732.3,2.5941,1.763,101.966,101.966
2016-12-18,2777.14,1007.2,1732.3,2.5941,1.763,101.966,101.966
2016-12-19,2684.7,927.0,1710.25,2.4965,1.75,103.14,103.14
2016-12-20,2692.8,914.0,1721.25,2.4995,1.77,103.29,103.29
2016-12-21,2693.4,926.0,1725.75,2.494,1.82,103.02,103.02
2016-12-22,2689.3,928.0,1722.75,2.497,1.82,103.09,103.09
2016-12-23,2663.2,961.0,1720.0,2.476,1.795,103.01,103.01
2016-12-24,2684.6800000000003,931.2,1720.0,2.4926000000000004,1.791,103.11,103.11
2016-12-25,2684.6800000000003,931.2,1720.0,2.4926000000000004,1.791,103.11,103.11
2016-12-26,2684.675,932.25,1722.4375,2.491625,1.80125,103.01,103.01
2016-12-27,2681.966666666667,938.3333333333334,1722.8333333333333,2.5125,1.8116666666666668,103.02,103.02
2016-12-28,2667.2,944.5,1705.25,2.497,1.81,103.3,103.3
2016-12-29,2634.8,961.0,1679.0,2.488,1.825,102.68,102.68
2016-12-30,2659.6,939.7472222222224,1692.75,2.5055,1.83,102.21,102.21
2016-12-31,2653.866666666667,941.4566666666666,1692.3333333333333,2.50075,1.8216666666666663,102.844,102.844
2017-01-01,2653.866666666667,944.0208333333331,1692.3333333333333,2.50075,1.8216666666666663,102.844,102.844
2017-01-02,2653.866666666667,947.9444444444443,1692.3333333333333,2.50075,1.8216666666666663,102.83,102.83
2017-01-03,2639.3,953.0,1686.25,2.489,1.845,103.21,103.21
2017-01-04,2695.7,969.0,1684.0,2.5565,1.815,102.7,102.7
2017-01-05,2683.6,983.0,1701.0,2.5375,1.795,101.52,101.52
2017-01-06,2688.5,963.0,1711.75,2.546,1.8,102.22,102.22
2017-01-07,2676.775,967.0,1695.75,2.5322500000000003,1.81375,102.496,102.496
2017-01-08,2676.775,967.0,1695.75,2.5322500000000003,1.81375,102.496,102.496
2017-01-09,2704.8,949.0,1725.0,2.5385,1.79,101.93,101.93
2017-01-10,2768.0,926.0,1748.0,2.6125,1.78,102.01,102.01
2017-01-11,2746.9,894.0,1756.75,2.6105,1.805,101.78,101.78
2017-01-12,2799.0,892.0,1788.0,2.6715,1.815,101.35,101.35
2017-01-13,2839.5,910.0,1807.0,2.69,1.77,101.18,101.18
2017-01-14,2771.6400000000003,914.2,1764.95,2.6246,1.7920000000000005,101.65,101.65
2017-01-15,2771.6400000000003,914.2,1764.95,2.6246,1.7920000000000005,101.65,101.65
2017-01-16,2811.9,925.0,1789.75,2.646125,1.78,101.18,101.18
2017-01-17,2783.9,922.0,1798.25,2.625,1.785,100.33,100.33
2017-01-18,2807.5,952.0,1834.5,2.6165,1.8,100.93,100.93
2017-01-19,2789.0,942.0,1826.0,2.6105,1.825,101.15,101.15
2017-01-20,2792.1,925.0,1846.0,2.625,1.795,100.74,100.74
2017-01-21,2796.88,933.2,1818.9,2.61925,1.797,100.866,100.866
2017-01-22,2796.88,933.2,1818.9,2.61925,1.797,100.866,100.866
2017-01-23,2809.2,914.0,1850.0,2.6475,1.79,100.16,100.16
2017-01-24,2861.3,886.0,1867.25,2.7085,1.845,100.35,100.35
2017-01-25,2844.3,862.0,1833.0,2.71,2.04,100.03,100.03
2017-01-26,2802.0,840.0,1819.25,2.673,1.8675,100.38,100.38
2017-01-27,2807.7,827.0,1815.0,2.6895,1.96,100.53,100.53
2017-01-28,2824.9,865.8,1836.9,2.6857,1.90875,100.29,100.29
2017-01-29,2824.9,865.8,1836.9,2.6857,1.90875,100.29,100.29
2017-01-30,2791.4,816.0,1800.5,2.661,1.965,100.43,100.43
2017-01-31,2856.4,800.0,1818.0,2.7335,1.94,99.51,99.51
2017-02-01,2849.0,786.0,1817.0,2.7175,1.94,99.64,99.64
2017-02-02,2836.5,770.0,1827.0,2.6925,1.95,99.79,99.79
2017-02-03,2800.2,752.0,1832.25,2.6225,1.895,99.87,99.87
2017-02-04,2826.7,784.8,1818.95,2.6854,1.938,99.848,99.848
2017-02-05,2826.7,784.8,1818.95,2.6854,1.938,99.848,99.848
2017-02-06,2818.4,735.0,1831.75,2.658,1.91,99.91,99.91
2017-02-07,2800.0,714.0,1827.25,2.6395,1.925,100.26,100.26
2017-02-08,2842.3,702.0,1844.0,2.6735,1.91,100.28,100.28
2017-02-09,2820.6,707.0,1846.5,2.6605,1.9,100.65,100.65
2017-02-10,2918.5,702.0,1870.5,2.775,1.955,100.8,100.8
2017-02-11,2839.96,712.0,1844.0,2.6813,1.92,100.38,100.38
2017-02-12,2839.96,712.0,1844.0,2.6813,1.92,100.38,100.38
2017-02-13,2926.1,688.0,1867.5,2.79,1.98,100.96,100.96
2017-02-14,2904.2,685.0,1887.0,2.746,1.99,101.25,101.25
2017-02-15,2920.6,688.0,1913.0,2.752,1.98,101.18,101.18
2017-02-16,2894.4,710.0,1896.25,2.728,2.0,100.44,100.44
2017-02-17,2872.5,741.0,1880.0,2.714,1.96,100.95,100.95
2017-02-18,2903.56,702.4,1888.75,2.746,1.982,100.956,100.956
2017-02-19,2903.56,702.4,1888.75,2.746,1.982,100.956,100.956
2017-02-20,2922.8,757.0,1900.5,2.735,1.97,100.95,100.95
2017-02-21,2905.6,778.0,1886.5,2.7515,1.95,101.37,101.37
2017-02-22,2895.5,806.0,1885.25,2.74,1.97,101.22,101.22
2017-02-23,2826.5,856.0,1868.0,2.6515,1.945,101.05,101.05
2017-02-24,2863.3,875.0,1886.25,2.6885,1.865,101.09,101.09
2017-02-25,2882.74,814.4,1885.3,2.707875,1.94,101.136,101.136
2017-02-26,2882.74,814.4,1885.3,2.707875,1.94,101.136,101.136
2017-02-27,2868.4,878.0,1901.5,2.698,1.85,101.13,101.13
2017-02-28,2889.0,859.0,1925.0,2.714,1.845,101.12,101.12
2017-03-01,2917.7,871.0,1950.5,2.736,1.83,101.78,101.78
2017-03-02,2865.4,904.0,1911.5,2.6905,1.995,102.2,102.2
2017-03-03,2859.2,939.0,1892.25,2.6965,1.92,101.54,101.54
2017-03-04,2879.94,890.2,1916.15,2.707,1.8880000000000003,101.554,101.554
2017-03-05,2879.94,890.2,1916.15,2.707,1.8880000000000003,101.554,101.554
2017-03-06,2835.1,979.0,1875.0,2.652,1.935,101.64,101.64
2017-03-07,2800.4,1033.0,1874.75,2.6185,1.95,101.81,101.81
2017-03-08,2795.0,1045.0,1875.5,2.6005,1.875,102.07,102.07
2017-03-09,2771.4,1064.0,1865.25,2.58,1.855,101.85,101.85
2017-03-10,2785.5,1086.0,1877.0,2.595,1.85,101.25,101.25
2017-03-11,2797.4800000000005,1041.4,1873.5,2.6092,1.893,101.724,101.724
2017-03-12,2797.4800000000005,1041.4,1873.5,2.6092,1.893,101.724,101.724
2017-03-13,2811.2,1099.0,1877.0,2.6255,1.82,101.31,101.31
2017-03-14,2812.2,1112.0,1859.5,2.635,1.82,101.7,101.7
2017-03-15,2839.6,1147.0,1886.5,2.6565,1.82,100.74,100.74
2017-03-16,2859.5,1172.0,1899.75,2.6775,1.855,100.36,100.36
2017-03-17,2881.8,1196.0,1914.25,2.6915,1.84,100.3,100.3
2017-03-18,2840.86,1145.2,1887.4,2.6572000000000005,1.831,100.882,100.882
2017-03-19,2840.86,1145.2,1887.4,2.6572000000000005,1.831,100.882,100.882
2017-03-20,2866.0,1205.0,1922.0,2.667,1.825,100.41,100.41
2017-03-21,2838.1,1200.0,1927.0,2.6185,1.785,99.81,99.81
2017-03-22,2852.7,1190.0,1923.75,2.6305,1.745,99.68,99.68
2017-03-23,2854.1,1196.0,1934.75,2.6445,1.785,99.76,99.76
2017-03-24,2846.2,1240.0,1940.5,2.631,1.775,99.63,99.63
2017-03-25,2851.42,1206.2,1929.6,2.6383,1.783,99.858,99.858
2017-03-26,2851.42,1206.2,1929.6,2.6383,1.783,99.858,99.858
2017-03-27,2816.2,1282.0,1931.0,2.632,1.725,99.17,99.17
2017-03-28,2865.5,1333.0,1945.25,2.676,1.765,99.71,99.71
2017-03-29,2886.8,1338.0,1962.0,2.6775,1.81,100.0,100.0
2017-03-30,2905.2,1324.0,1974.25,2.6785,1.815,100.41,100.41
2017-03-31,2858.7,1297.0,1964.25,2.66,1.79,100.35,100.35
2017-04-01,2866.4800000000005,1314.8,1955.35,2.6648,1.781,99.928,99.928
2017-04-02,2866.4800000000005,1314.8,1955.35,2.6648,1.781,99.928,99.928
2017-04-03,2819.1,1282.0,1953.0,2.612,1.795,100.54,100.54
2017-04-04,2826.3,1255.0,1938.5,2.621,1.785,100.54,100.54
2017-04-05,2872.4,1223.0,1961.25,2.6885,1.835,100.56,100.56
2017-04-06,2851.2,1215.0,1953.0,2.666,1.79,100.67,100.67
2017-04-07,2840.6,1223.0,1960.75,2.6545,1.765,101.18,101.18
2017-04-08,2841.92,1239.6,1953.3,2.6484,1.7939999999999998,100.698,100.698
2017-04-09,2841.92,1239.6,1953.3,2.6484,1.7939999999999998,100.698,100.698
2017-04-10,2799.1,1231.0,1924.75,2.611,1.8,101.02,101.02
2017-04-11,2789.1,1262.0,1919.25,2.6155,1.795,100.71,100.71
