id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1663037064282271744,"https://twitter.com/itsnaantsalatsa/statuses/1663037064282271744","https://twitter.com/itsnaantsalatsa/statuses/1663037064282271744","itsnaantsalatsa","Balaputradewa lari ke sumatera. Dapat perlindungan daei Dapunta Hyang, lalu jadi mewarisi kerajaan Sriwijaya. Lalu jadi raja dan jadi raja terbesar di Sriwijaya.  Candi -Hindu : Dieng,Ratu Boko, Prambanan -Buddha : Mendhut,Kalasan,Pawon,Sewu, Borobudur.","Balaputradewa lari ke sumatera. Dapat perlindungan daei Dapunta Hyang, lalu jadi mewarisi kerajaan Sriwijaya. Lalu jadi raja dan jadi raja terbesar di Sriwijaya.  Candi -Hindu : Dieng,Ratu Boko, Prambanan -Buddha : Mendhut,Kalasan,Pawon,Sewu, Borobudur.","2023-05-29 00:18:28","Twitter for Android",0,0,"in","","reply","itsnaantsalatsa",1221283019836641280,1663036402429476864,"",0,0,1221283019836641280,"https://pbs.twimg.com/profile_images/1654792553680752640/XOrt21Ws_normal.jpg",5391,840,1671,"2020-01-25 23:06:20","Menggapyear soshum | 22|off| Twitter ini tidak jelas mohon untuk tidak follow.","jerman","",
2,1663027960272814080,"https://twitter.com/widyswulandari/statuses/1663027960272814080","https://twitter.com/widyswulandari/statuses/1663027960272814080","widyswulandari","Biaya yang aku keluarkan untuk masuk Candi Prambanan + Candi Ratu Boko yaitu Rp85.000,00 (harga paket sudah termasuk shuttle bus). Kalau hanya ingin mengunjungi Candi Prambanan saja, sepertinya dikenakan biaya Rp50.000,00.","Biaya yang aku keluarkan untuk masuk Candi Prambanan + Candi Ratu Boko yaitu Rp85.000,00 (harga paket sudah termasuk shuttle bus). Kalau hanya ingin mengunjungi Candi Prambanan saja, sepertinya dikenakan biaya Rp50.000,00.","2023-05-28 23:42:17","Twitter for Android",0,0,"in","","reply","widyswulandari",548198186,1663027310512181255,"",0,0,548198186,"https://pbs.twimg.com/profile_images/1570029471012651010/0AITqVG2_normal.jpg",25776,376,519,"2012-04-08 02:29:48","🌼🌻💫","","",
3,1663025118459883523,"https://twitter.com/widyswulandari/statuses/1663025118459883523","https://twitter.com/widyswulandari/statuses/1663025118459883523","widyswulandari","Jalan-jalan sendiri dari KulonProgo ke Candi Prambanan + Candi Ratu Boko. https://t.co/vRhnIMnGVC","Jalan-jalan sendiri dari KulonProgo ke Candi Prambanan + Candi Ratu Boko. https://t.co/vRhnIMnGVC","2023-05-28 23:31:00","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,548198186,"https://pbs.twimg.com/profile_images/1570029471012651010/0AITqVG2_normal.jpg",25776,376,519,"2012-04-08 02:29:48","🌼🌻💫","","",
4,1662683476813041664,"https://twitter.com/Anatta_21/statuses/1662683476813041664","https://twitter.com/Anatta_21/statuses/1662683476813041664","Anatta_21","@silarakhito @muslimGL Jalan Ratu Boko mas?","@silarakhito @muslimGL Jalan Ratu Boko mas?","2023-05-28 00:53:26","Twitter for Android",1,0,"in","","reply","silarakhito",3224001421,1662623122930159618,"",0,0,1467333271025451012,"https://pbs.twimg.com/profile_images/1647169134583742465/_IwyaeKe_normal.jpg",12004,624,686,"2021-12-04 22:22:10","Gumantung tanpa centhelan","","",
5,1662442194114867201,"https://twitter.com/Zoelv_ikar/statuses/1662442194114867201","https://twitter.com/Zoelv_ikar/statuses/1662442194114867201","Zoelv_ikar","RT @4HurufNamaKu: Istana ratu Boko.... peradaban negara kita jauh lebih maju dari negara manapun,nenek moyang kita sllu menjaga kerukunan s…","Istana ratu Boko.... peradaban negara kita jauh lebih maju dari negara manapun,nenek moyang kita sllu menjaga kerukunan saling asah asih asuh dg sesama manusia dan alam semesta tentunya,klo ada yg mengaku peradaban negara mereka jauh lebih sempurna itu bohong belaka.... https://t.co/JWFgY70Yhp","2023-05-27 08:54:40","Twitter for Android",0,1,"in","","retweet","",0,0,"4HurufNamaKu",1605120474064646144,1662440476216270848,1069869426156007424,"https://pbs.twimg.com/profile_images/1604877090083733505/zVH7V0fF_normal.jpg",59206,6266,6328,"2018-12-04 03:22:03","https://t.co/ywRypCU926","Indonesia","",
6,1662440476216270848,"https://twitter.com/4HurufNamaKu/statuses/1662440476216270848","https://twitter.com/4HurufNamaKu/statuses/1662440476216270848","4HurufNamaKu","Istana ratu Boko.... peradaban negara kita jauh lebih maju dari negara manapun,nenek moyang kita sllu menjaga kerukunan saling asah asih asuh dg sesama manusia dan alam semesta tentunya,klo ada yg mengaku peradaban negara mereka jauh lebih sempurna itu bohong belaka.... https://t.co/JWFgY70Yhp","Istana ratu Boko.... peradaban negara kita jauh lebih maju dari negara manapun,nenek moyang kita sllu menjaga kerukunan saling asah asih asuh dg sesama manusia dan alam semesta tentunya,klo ada yg mengaku peradaban negara mereka jauh lebih sempurna itu bohong belaka.... https://t.co/JWFgY70Yhp","2023-05-27 08:47:50","Twitter for Android",6,1,"in","","original","",0,0,"",0,0,1605120474064646144,"https://pbs.twimg.com/profile_images/1605122834996396032/kIKqV2vJ_normal.jpg",7767,2580,1508,"2022-12-20 03:39:34","aku bukan orang itu   #LaskarBerbagiKasih","","",
7,1662374477865385988,"https://twitter.com/ABaylee14/statuses/1662374477865385988","https://twitter.com/ABaylee14/statuses/1662374477865385988","ABaylee14","Candi Ratu Boko Yogyakarta E-Ticket [WNI] P0BCAGY  https://t.co/5HTjK58N0A https://t.co/hOI9rqD3vt","Candi Ratu Boko Yogyakarta E-Ticket [WNI] P0BCAGY  https://t.co/5HTjK58N0A https://t.co/hOI9rqD3vt","2023-05-27 04:25:35","Twitter Web App",0,0,"in","","original","",0,0,"",0,0,1583279507737399297,"https://pbs.twimg.com/profile_images/1583279604789395460/gwYbV7bd_normal.jpg",39516,1,17,"2022-10-20 22:10:33","","","",
8,1662317601609981956,"https://twitter.com/brooke86tp/statuses/1662317601609981956","https://twitter.com/brooke86tp/statuses/1662317601609981956","brooke86tp","Candi Ratu Boko Yogyakarta E-Ticket [WNI] 3YKH9VS  https://t.co/iLccTSnWOK https://t.co/ozSsemLhfw","Candi Ratu Boko Yogyakarta E-Ticket [WNI] 3YKH9VS  https://t.co/iLccTSnWOK https://t.co/ozSsemLhfw","2023-05-27 00:39:35","Twitter Web App",0,0,"in","","original","",0,0,"",0,0,1577225055293022208,"https://pbs.twimg.com/profile_images/1577225185119313927/3GNtQj8Z_normal.jpg",41083,2,17,"2022-10-04 05:12:20","","","",
9,1662300710560727040,"https://twitter.com/bumncjrhebat/statuses/1662300710560727040","https://twitter.com/bumncjrhebat/statuses/1662300710560727040","bumncjrhebat","PT Taman Wisata Candi Borobudur, Prambanan &amp; Ratu Boko (TWC) sebagai Indonesia Heritage Management, senantiasa berupaya menghadirkan destinasi wisata yang Inspiratif, Edukatif dan Berbudaya #TWCEdukriyaGoGreen #ProgramNataruTWC #Injourneygroup #BUMNUntukIndonesia https://t.co/AIQRyhLhfI","PT Taman Wisata Candi Borobudur, Prambanan &amp; Ratu Boko (TWC) sebagai Indonesia Heritage Management, senantiasa berupaya menghadirkan destinasi wisata yang Inspiratif, Edukatif dan Berbudaya #TWCEdukriyaGoGreen #ProgramNataruTWC #Injourneygroup #BUMNUntukIndonesia https://t.co/AIQRyhLhfI","2023-05-26 23:32:28","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,1630852314591539203,"https://pbs.twimg.com/profile_images/1638123007452528642/Bxs7z2HA_normal.jpg",280,17,2,"2023-03-01 03:48:01","","Cianjur, Indonesia","",
10,1662258402939092992,"https://twitter.com/indrimiese/statuses/1662258402939092992","https://twitter.com/indrimiese/statuses/1662258402939092992","indrimiese","@jogmfs Agak jauh sii dr ratu boko. Lokasinya deket sgm, tp enak pol kosannya nder","@jogmfs Agak jauh sii dr ratu boko. Lokasinya deket sgm, tp enak pol kosannya nder","2023-05-26 20:44:21","Twitter for Android",0,0,"in","","reply","jogmfs",420821783,1662255842027266048,"",0,0,230947296,"https://pbs.twimg.com/profile_images/1657785724878598145/x7dILGEN_normal.jpg",6117,274,174,"2010-12-26 23:43:27","","Yogyakarta, Indonesia","",
